PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
cfwnR,3k4/3P4/3KP3/3n4/1B6/pP3b2/P7/8 b - - 0 47,d5b4 e6e7,399,103,86,259,advancedPawn endgame mate mateIn1 oneMove,https://lichess.org/3ctSpd0P/black#94,
z3NCM,4rQk1/p2q2Pp/1p5P/2pP4/5R2/2P5/P2p2P1/6K1 b - - 1 34,e8f8 g7f8q,399,101,95,911,advancedPawn endgame mate mateIn1 oneMove promotion,https://lichess.org/BFKWjlOf/black#68,
Jp7EE,8/8/8/5B1p/5P1P/kp4P1/p7/K7 w - - 0 39,f5g6 b3b2,399,87,100,183,advancedPawn bishopEndgame endgame mate mateIn1 oneMove,https://lichess.org/9EK7p7e9#77,
dpKvH,krR5/P7/KP6/8/8/8/8/8 b - - 4 66,b8c8 b6b7,399,101,85,128,advancedPawn endgame master masterVsMaster mate mateIn1 oneMove rookEndgame,https://lichess.org/Pd5SltMD/black#132,
4nrdN,krR5/P7/KP6/8/8/8/8/8 b - - 4 86,b8c8 b6b7,399,105,71,104,advancedPawn endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/9IqGMW97/black#172,
5v4z4,4k3/1PP1P3/4K3/8/8/8/p7/7B b - - 0 71,a2a1q b7b8q,399,112,95,341,advancedPawn endgame master mate mateIn1 oneMove promotion,https://lichess.org/JCPRjeeQ/black#142,
fxcPq,r1bqkb1r/1pppnp1p/p1n5/4p1p1/2B1P2N/5Q2/PPPP1PPP/RNB1K2R b KQkq - 1 6,g5h4 f3f7,399,98,78,276,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/aM84SWhu/black#12,Ruy_Lopez Ruy_Lopez_Cozio_Defense
hMRbN,r1bqk2r/p4ppp/4p3/3p4/8/2P1bQ2/PP4PP/RN3R1K b kq - 1 14,e3c5 f3f7,399,112,84,396,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/2ndohfj5/black#28,Blackmar-Diemer_Gambit Blackmar-Diemer_Gambit_Blackmar_Gambit
iNTvi,r2qk2r/1b2bp2/1p2p2p/2p1P3/PpPp1QPN/1P1P4/4B2P/R1B2RK1 b kq - 0 19,e7h4 f4f7,399,103,79,320,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/Kyh61HSY/black#38,
lS3xG,3rk1r1/1q3p2/pn2pP1p/1p2N1pQ/4R3/2P3B1/PP3PPP/R5K1 b - - 0 25,b7e4 h5f7,399,108,94,800,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/2nl4ZEAh/black#50,
Gz33a,rnb2rk1/pppp2pp/5q2/4p3/2P5/3P2P1/PP3P1P/R2QKBNR w KQ - 0 10,f1g2 f6f2,399,108,85,376,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/ZMkAMONo#19,English_Opening English_Opening_Kings_English_Variation
u4mcf,r2qkbnr/pbpppppp/1pn5/8/2B5/4PQP1/PPPP1P1P/RNB1K1NR b KQkq - 3 4,a8b8 f3f7,399,115,83,407,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/sbbfNxu3/black#8,Hungarian_Opening Hungarian_Opening_Other_variations
OvGvP,rn1qkbnr/1bp1pppp/p7/1p6/3PP3/1B3Q2/PP3PPP/RNB1K1NR b KQkq - 3 6,b8d7 f3f7,399,121,87,488,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/shSy2Zdx/black#12,
smYIm,r1bqkb1r/ppp1pppp/2n5/8/2B5/2P2Q2/P1PP1PPP/R1B1K1NR b KQkq - 2 6,c8d7 f3f7,399,111,85,1028,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/K4HZGmvx/black#12,
Wmpys,rnbqkb1r/pppppp1p/6pn/8/2B1P3/5Q2/PPPP1PPP/RNB1K1NR b KQkq - 3 3,h6g8 f3f7,399,102,85,223,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/RdAqMjJr/black#6,Modern_Defense Modern_Defense_Other_variations
x7CWs,r2qk2r/pp3ppp/2n1p3/3pP1P1/2pP2Pn/2P5/PP3Q1P/RNB2RK1 b kq - 0 14,h4g6 f2f7,399,108,88,1175,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/AytJL4BU/black#28,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation
q9o5P,r1bqkb1r/p2n1ppp/4p3/3pP3/1ppP4/2P1PQ2/PPB3PP/RNB2RK1 b kq - 2 11,f8e7 f3f7,399,91,84,258,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/fVsKipby/black#22,Canard_Opening Canard_Opening_Other_variations
3ypSy,1B1qkb1r/3ppppp/2p5/8/2BPnQ2/8/1P3PPP/1b2K1NR b Kk - 2 12,g7g5 f4f7,399,111,87,387,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/8AqitUYl/black#24,St_George_Defense St_George_Defense_Other_variations
gaR35,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5Q2/PPPP1PPP/RNB1K1NR b KQkq - 3 3,c6e7 f3f7,399,100,76,258,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/PV8Gni0g/black#6,Bishops_Opening Bishops_Opening_Other_variations
kRLCU,r4r2/pbp2qkp/1pn3pn/3Np1p1/2P1P3/1Q1B1N1P/PP3P2/3RK2R w K - 0 16,f3g5 f7f2,399,106,87,1243,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/8ieR1GM3#31,Philidor_Defense Philidor_Defense_Other_variations
MeRmN,r2qkb1r/p2n1p1p/1p2p1p1/2ppP3/3P4/2P2Q2/PP4PP/RNB2RK1 b kq - 1 13,f8g7 f3f7,399,97,81,199,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/WfMhXt3m/black#26,French_Defense French_Defense_Advance_Variation
s9VJr,3qkb1r/2pnpppp/b5r1/8/3P4/1B3Q2/PP2NPnP/RNB2K1R b k - 5 12,g2h4 f3f7,399,106,85,331,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/quq20wbC/black#24,Scandinavian_Defense Scandinavian_Defense_Modern_Variation
NCixN,rnb1k1nr/ppp2ppp/5q2/P1bpp3/7P/8/1PPPPPP1/RNBQKBNR w KQkq - 1 5,h4h5 c5f2,399,99,100,380,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/BrKzntKR#9,Ware_Opening Ware_Opening_Other_variations
7vJ0E,r1b2rk1/pp4p1/3p1qp1/3pp3/3P4/3BP1P1/PPP2P2/R2QK2R w KQ - 0 17,e3e4 f6f2,399,110,92,1417,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/ZqS7goHd#33,Horwitz_Defense Horwitz_Defense_Other_variations
J8F0A,r1bqk2r/5p2/p3p2p/1p1p2p1/4n3/1BP2QP1/PP4PP/RN3RK1 b kq - 2 16,c8b7 f3f7,399,96,100,291,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/N4xKayCB/black#32,Caro-Kann_Defense Caro-Kann_Defense_Other_variations
zu4Mm,r3k2r/pp1n1pp1/1qp1p1p1/8/3PPQ2/2P5/P1P1B1PP/R4RK1 b kq - 2 17,b6d8 f4f7,399,114,88,1044,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/ZiFReqg5/black#34,Caro-Kann_Defense Caro-Kann_Defense_Classical_Variation
nFyMW,2kr4/ppp2qpp/8/4r3/2Qp4/8/PPP2PPP/R1B3K1 w - - 0 18,c4f7 e5e1,399,102,81,130,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/lglYmlbV#35,Italian_Game Italian_Game_Two_Knights_Defense
Fbmmn,1k1r4/ppn1p3/2Q5/8/2P5/8/5PPP/1R1q2K1 w - - 0 29,b1d1 d8d1,399,93,97,481,backRankMate endgame master mate mateIn1 oneMove,https://lichess.org/3KibIeTR#57,
NFtrx,5rk1/1p1N1pp1/p3pb1p/3p3Q/4r3/8/4RPPP/4q1K1 w - - 0 29,e2e1 e4e1,399,102,92,355,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/R8OQzkDI#57,
aP5VY,r4rk1/ppq2ppp/2n2b2/1Bpp1b2/8/2PP1N1P/P1PBQPP1/R3R1K1 b - - 5 14,f8e8 e2e8 a8e8 e1e8,399,94,98,681,backRankMate master mate mateIn2 middlegame short,https://lichess.org/F5DVh6R8/black#28,Sicilian_Defense Sicilian_Defense_Nimzowitsch_Variation
M31Wh,5rk1/Bp3ppp/q7/8/2NP4/4P3/2Q2PPP/6K1 w - - 1 25,a7c5 a6a1 c2b1 a1b1,399,89,100,673,backRankMate endgame mate mateIn2 short,https://lichess.org/0RlG1JpQ#49,
z2APC,3r1Q1k/6pp/n3P3/3P2b1/ppq5/8/PP4PP/3R1R1K b - - 3 29,d8f8 f1f8,399,106,95,1069,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/Tqn335WQ/black#58,
drsnl,2q4k/r5pp/p7/1pQ5/3n1P2/P7/1PP3PP/2R1R2K b - - 0 30,c8c5 e1e8 c5f8 e8f8,399,118,83,297,backRankMate endgame mate mateIn2 short,https://lichess.org/OEmK8PpO/black#60,
zc5eO,6k1/p2r1pp1/2p3np/8/4q1Q1/6R1/PPP2PPP/6K1 w - - 0 26,g4e4 d7d1 e4e1 d1e1,399,99,83,158,backRankMate endgame mate mateIn2 short,https://lichess.org/Or4JTq00#51,
DdQBr,4r1k1/Bpp2ppp/5r2/8/8/P1P4P/1P2R1P1/3R2K1 b - - 0 28,e8e2 d1d8 e2e8 d8e8,399,95,69,87,backRankMate endgame mate mateIn2 short,https://lichess.org/WZ8Nrusy/black#56,
p3dr5,5r1r/1p1k4/p1ppp3/7p/1P1pR1P1/P2P3Q/2P3PP/4Rq1K w - - 3 25,e1f1 f8f1,399,111,95,617,backRankMate endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/vMSiAFoP#49,
sdaen,5rk1/4b1p1/p2p4/1p2rp2/8/7P/PPP3QR/1K2q1R1 w - - 10 34,g1e1 e5e1,399,95,75,125,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/5OCwEnSX#67,
Qhv1l,6k1/5ppp/3p4/1B1Pp3/pP4Pb/q2N1K1P/8/2R5 b - - 1 41,a3b3 c1c8 h4d8 c8d8,399,115,84,456,backRankMate endgame mate mateIn2 short,https://lichess.org/UZJJkTOV/black#82,
2caYr,1k1Qr3/ppp4p/4r2q/2p3p1/5p2/P3P2P/1PP2PPB/2KR3R b - - 3 24,e8d8 d1d8,399,93,100,170,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/e9uoaNLn/black#48,
