PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
MGMpK,2r3k1/pp3pb1/3p2pP/3Pp3/4q3/4B3/PP4r1/K2RQ2R b - - 0 24,g7h8 h6h7 g8f8 e3h6,979,83,93,286,advancedPawn crushing kingsideAttack middlegame short,https://lichess.org/hWIM5ouD/black#48,
Y7B2c,8/1k4pp/1p1p4/8/p3P3/5PN1/5PKP/8 w - - 0 31,f3f4 a4a3 g3f5 a3a2,956,88,84,347,advancedPawn crushing endgame knightEndgame short,https://lichess.org/S8VzTaDp#61,
4sRM1,r2q1bkr/pp4pp/2p1R3/8/4Q3/2N1B3/PPp1nPPP/R5K1 w - - 2 15,c3e2 d8d1 a1d1 c2d1q,947,80,95,2557,advancedPawn backRankMate mate mateIn2 middlegame promotion short,https://lichess.org/rRk5l4IM#29,Italian_Game Italian_Game_Two_Knights_Defense
7k2kc,5rk1/5pp1/p7/3Bb3/4PPq1/2N1B1pb/1PP4Q/R3R1K1 w - - 0 29,f4e5 g3h2 g1h2 g4g2,981,83,92,2779,advancedPawn attraction doubleCheck mate mateIn2 middlegame short,https://lichess.org/xjPPqZJw#57,
YAQee,8/2K2pp1/8/4P3/5P1p/6k1/3B4/8 w - - 0 62,c7d7 h4h3 f4f5 h3h2,987,84,79,45,advancedPawn bishopEndgame crushing endgame short,https://lichess.org/EaD8LQtx#123,
yl1Ne,8/8/7p/4P1pP/2kPKnP1/1pP5/1P6/8 b - - 1 49,f4d3 e5e6 d3b2 e6e7,935,82,79,348,advancedPawn crushing endgame knightEndgame short,https://lichess.org/69wpgDHK/black#98,
b3xlo,8/5k2/6p1/2pq3p/7P/3PQ1P1/5P1K/8 w - - 1 41,e3e4 d5e4 d3e4 c5c4 h2g2 c4c3 g2f3 c3c2,938,84,96,140,advancedPawn crushing endgame queenEndgame quietMove veryLong,https://lichess.org/ma5Y3mRw#81,
oUntI,3R2k1/4b1pp/4P3/4p3/1pB1P3/1Pp4P/r1P5/6K1 b - - 1 36,e7d8 e6e7 g8h8 e7d8q,920,80,78,121,advancedPawn backRankMate discoveredAttack endgame mate mateIn2 promotion short,https://lichess.org/vXWF0cmh/black#72,
6M0tg,2k5/2b4R/p1P1pB2/1p3r2/8/1P4r1/4K3/2R5 b - - 3 40,f5f6 h7h8 c7d8 c6c7,939,77,90,94,advancedPawn crushing endgame master short,https://lichess.org/joWhzrgt/black#80,
SXo1B,3r4/p2P1kp1/1p2p3/4PP1p/4K3/8/P5R1/8 b - - 0 42,e6f5 e4f5 d8d7 e5e6 f7e8 e6d7,937,101,70,43,advancedPawn crushing endgame fork long master rookEndgame,https://lichess.org/gfQJinDB/black#84,
QrSTe,4k3/pppR4/3p4/1P3B1P/3N4/2Pp4/rB2p3/2K5 w - - 0 43,c1d2 a2b2 d2d3 e2e1q,990,77,96,2282,advancedPawn crushing deflection endgame hangingPiece promotion short,https://lichess.org/lDc1UQ9H#85,
yoigp,2rr2k1/5ppp/p5n1/1q1p4/2p5/PP2P1B1/1QPR1PPP/1K1R4 w - - 0 26,b3b4 c4c3 b2b3 c3d2,993,75,97,2683,advancedPawn crushing fork middlegame short,https://lichess.org/GhsxBUOU#51,
FzB0J,6k1/1p2r1pp/p1b5/2Pp1R2/1P1P4/P7/4p2P/4R2K w - - 0 36,f5e5 e7e5 d4e5 d5d4 h1g1 d4d3 g1f2 d3d2,959,85,96,706,advancedPawn crushing discoveredAttack endgame veryLong,https://lichess.org/GuMThyDs#71,
lTXNj,8/8/7p/1B2p1p1/P2k4/4p2P/3bK1P1/8 b - - 3 46,d4c3 a4a5 c3b4 a5a6 b4b5 a6a7,939,86,90,49,advancedPawn bishopEndgame crushing endgame long quietMove sacrifice,https://lichess.org/pdIQQily/black#92,
4lz8b,7k/4PKp1/7p/3p4/8/7P/1p4P1/8 b - - 0 46,b2b1q e7e8q h8h7 e8g8,901,78,100,142,advancedPawn endgame mate mateIn2 promotion queenEndgame short,https://lichess.org/bsAuOORw/black#92,
8tcGl,2r3k1/2P2p1p/6p1/1r3q2/8/2BR2QP/6PK/8 b - - 0 39,b5c5 d3d8 c8d8 c7d8q,912,75,68,95,advancedPawn endgame mate mateIn2 promotion short,https://lichess.org/0OvqR65N/black#78,
VODK5,8/1p5R/1k1p1K2/1p1P3P/pP3P2/6r1/8/8 w - - 2 44,h7g7 g3g7 f6g7 a4a3 h5h6 a3a2 g7g8 a2a1q,930,94,95,881,advancedPawn crushing endgame promotion rookEndgame veryLong,https://lichess.org/RcGi9leg#87,
UtVND,rn4k1/pp3Ppp/2p2q2/4N2B/2P5/8/PP1r1P1P/2K1R1R1 b - - 0 19,g8f8 e5d7 b8d7 e1e8 a8e8 f7e8q,980,80,90,605,advancedPawn clearance long mate mateIn3 middlegame promotion sacrifice,https://lichess.org/rUAhUHaf/black#38,Scandinavian_Defense Scandinavian_Defense_Modern_Variation
