PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
02iLq,r6k/pR5p/2p2N2/4n3/3p4/7P/2q3P1/4R2K b - - 0 32,c2d2 b7h7,1025,77,85,188,arabianMate endgame mate mateIn1 oneMove,https://lichess.org/J5wotFMa/black#64,
04vxC,r6k/1bq4p/p4NpQ/5p2/3pp3/1P5R/5PPP/6K1 b - - 3 33,e4e3 h6h7 c7h7 h3h7,1018,118,76,114,arabianMate endgame mate mateIn2 short,https://lichess.org/aYm8cdu3/black#66,
0BZeg,7k/5R2/5N1p/4pK2/2PpPn2/P7/7p/6r1 b - - 5 43,g1g7 f7f8 g7g8 f8g8,1094,79,88,187,arabianMate endgame mate mateIn2 short,https://lichess.org/6QTS4BaV/black#86,
0CcKi,4r2k/3b1p1n/pr3N1P/1pp1P1R1/3p3n/2PP1Q1P/PPB2P2/6RK b - - 0 31,h4f3 g5g8 e8g8 g1g8,1090,79,88,93,arabianMate kingsideAttack mate mateIn2 middlegame short,https://lichess.org/iMbzliuF/black#62,
0CvKc,8/1p2pp1k/p2p3p/2p4p/4P2r/2P2n1q/PP3PRN/3R1Q1K w - - 3 27,d1d3 h3h2 g2h2 h4h2,1020,76,95,1065,arabianMate kingsideAttack mate mateIn2 middlegame short,https://lichess.org/Z45QcZ3h#53,
0GBBE,r4b2/p4P1k/bp2RN1p/2p5/3r2R1/8/PP4PP/6K1 b - - 1 29,h7h8 g4g8,1035,182,69,31,arabianMate mate mateIn1 middlegame oneMove,https://lichess.org/prJPm123/black#58,
0JQnl,3r4/p3k1pp/2p1pp2/N1P1p3/1P1n4/5b2/P2r2PP/R1R2BK1 w - - 0 26,g2f3 d4f3 g1h1 d2h2,1035,79,93,131,arabianMate kingsideAttack mate mateIn2 middlegame short,https://lichess.org/gjYTGC8M#51,
0L1cy,6rk/2R3Q1/p2p1N1p/4p1pP/4P3/5P2/Pq2p3/5RK1 b - - 0 35,g8g7 c7c8 g7g8 c8g8,1031,77,100,608,arabianMate endgame master mate mateIn2 short,https://lichess.org/8f1W16KJ/black#70,
0MoLO,1R6/5ppk/7p/8/5P2/4NnP1/3r3P/6K1 w - - 3 31,g1h1 d2h2,1094,75,97,1986,arabianMate endgame mate mateIn1 oneMove,https://lichess.org/t1wtXCGI#61,
0S9ng,4r2k/pp3r1p/5N2/2p1P2R/2Pb4/5p2/P7/5K1R b - - 2 31,e8e5 h5h7 f7h7 h1h7,1065,95,52,65,arabianMate endgame mate mateIn2 short,https://lichess.org/WzsVUoYN/black#62,
