PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0eP9W,r1b1rk2/1p2bppB/1q2p3/p2pn1B1/7P/P3P3/1PQN1P2/R3K1R1 b Q - 3 18,g7g6 g5h6,1146,81,93,1716,doubleBishopMate mate mateIn1 middlegame oneMove,https://lichess.org/ovOqumsS/black#36,Indian_Defense Indian_Defense_Other_variations
1iy11,r3kb1r/1bqn2p1/p2pp2p/1p2P2B/7B/2N5/PPP2PPP/2KR3R b kq - 0 14,g7g6 h5g6,1157,217,65,21,doubleBishopMate mate mateIn1 middlegame oneMove,https://lichess.org/etUguiVA/black#28,Sicilian_Defense Sicilian_Defense_Najdorf_Variation
3E873,4r2k/7p/pp4p1/2p5/2B1N3/3PnP2/PPPBK3/R5q1 b - - 7 35,g1a1 d2c3 e8e5 c3e5,1168,76,100,654,doubleBishopMate endgame mate mateIn2 short,https://lichess.org/P4hb5xoG/black#70,
8B1EB,8/1p1B4/8/3b2k1/P4Bpp/4K3/r6P/8 b - - 1 48,g5h5 d7e8 d5f7 e8f7,1138,88,80,313,doubleBishopMate endgame mate mateIn2 short,https://lichess.org/HtYBWcww/black#96,
ARMHo,8/8/3bk1b1/pp4B1/4p2P/1P1np3/P3R1BK/8 w - - 2 41,h2h3 g6f5,1120,91,80,919,doubleBishopMate endgame master masterVsMaster mate mateIn1 oneMove,https://lichess.org/8VTKTGhm#81,
BO6rW,8/ppp4k/1b6/4Nb2/1N3B2/3p4/PP5P/R6K w - - 0 28,b4d3 f5e4 e5f3 e4f3,1122,258,83,72,doubleBishopMate endgame mate mateIn2 short,https://lichess.org/ZS22pCt6#55,
DLpMJ,r2qkbnr/pppbp3/2n2p1p/3p2p1/3P4/3BPNB1/PPP2PPP/RN1QK2R b KQkq - 3 7,h6h5 d3g6,1129,194,80,152,doubleBishopMate mate mateIn1 oneMove opening,https://lichess.org/kJ3tu266/black#14,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System
E6xe8,6k1/p4p1p/1b4p1/4Q3/b4P2/P7/6PP/7K w - - 1 33,g2g4 a4c6 e5e4 c6e4,1189,117,76,160,doubleBishopMate endgame mate mateIn2 short,https://lichess.org/CN0nOz2t#65,
EAUVP,r3q2k/4b2p/p2rBpp1/2pPQ3/1pP1R3/6B1/PP4PP/R5K1 b - - 0 26,f6e5 g3e5 e7f6 e5f6,1150,106,74,292,doubleBishopMate fork mate mateIn2 middlegame short,https://lichess.org/ijiFfmlN/black#52,
GXp4v,3r3k/2R2B1p/b5p1/4b3/8/5P2/4p1PP/4B1K1 b - - 6 29,e5c7 e1c3 d8d4 c3d4 c7e5 d4e5,1127,108,82,828,doubleBishopMate endgame long mate mateIn3,https://lichess.org/EbbjftkO/black#58,
HSjyj,5bkr/p1p3pp/8/1B2pb2/8/2NP2P1/PPK2P1P/R1B4q b - - 0 18,h1h2 b5c4 f5e6 c4e6,1102,199,23,33,doubleBishopMate kingsideAttack mate mateIn2 middlegame short,https://lichess.org/47Y37bWR/black#36,Italian_Game Italian_Game_Two_Knights_Defense
HbYlJ,k4b1r/p2rpp2/1p2bn1p/qB2B1p1/P2Qp3/2N2P2/1PP3PP/2KR3R b - - 1 17,d7d4 b5c6,1160,93,82,1131,doubleBishopMate master mate mateIn1 middlegame oneMove,https://lichess.org/eIfuE1ua/black#34,Richter-Veresov_Attack Richter-Veresov_Attack_Other_variations
IVVRe,rnb1kb1r/1p1n1pp1/p3N2p/4q3/7B/2N1Q3/P1P1B1PP/1R2K2R b Kkq - 1 15,e5e6 e3e6 f7e6 e2h5 g7g6 h5g6,1133,89,78,2094,doubleBishopMate long mate mateIn3 middlegame,https://lichess.org/tKR07lOq/black#30,Sicilian_Defense Sicilian_Defense_Najdorf_Variation
JHW5b,2kr2nr/pppq1ppp/2p5/4P3/1b1P4/2N1B2P/bPPQ1PP1/2KR1B1R w - - 0 12,b2b3 b4a3,1183,103,56,88,doubleBishopMate mate mateIn1 oneMove opening,https://lichess.org/doEYUzfP#23,Zukertort_Opening Zukertort_Opening_The_Walrus
L4KXu,3r4/p4k2/1p4pB/2b2b2/2P2P2/6P1/P6P/3R3K w - - 0 27,d1d8 f5e4,1122,227,65,54,doubleBishopMate endgame mate mateIn1 oneMove,https://lichess.org/US8oCBDP#53,
Md9X5,rn3r1k/ppp3pp/8/8/4B1b1/1N3q2/PPPPNb1P/R1BQ1R1K w - - 3 16,e4f3 g4f3,1160,275,74,76,doubleBishopMate kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/D5O2SoqG#31,Latvian_Gambit_Accepted Latvian_Gambit_Accepted_Other_variations
NP1x6,3r3k/1p3B1p/p5p1/5b2/PqPb1B2/7P/6P1/3Q1R1K b - - 1 25,d4f6 d1d8 f6d8 f4e5 d8f6 e5f6,1144,87,92,563,doubleBishopMate long mate mateIn3 middlegame sacrifice,https://lichess.org/XuYG4ysX/black#50,
