PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
001xl,8/4R1k1/p5pp/3B4/5q2/8/5P1P/6K1 b - - 5 40,g7f6 e7f7 f6e5 f7f4,1127,77,94,11287,advantage endgame master masterVsMaster short skewer superGM,https://lichess.org/bEQkfPQD/black#80,
00au3,4B3/8/1p1k1p1p/5Pp1/p1P3P1/1nK4P/1P6/8 b - - 9 48,d6c5 e8a4 b3c1 b2b4,1179,76,89,431,crushing endgame master masterVsMaster short,https://lichess.org/yPpeNCSO/black#96,
02eFQ,8/1p3qk1/p1p3p1/P2b4/3P1r2/6QP/2B3P1/4R1K1 w - - 4 36,e1e7 f4f1 g1h2 f7e7,1101,85,93,3417,crushing endgame master masterVsMaster short,https://lichess.org/MVd65Pun#71,
030DH,r4r1k/p5pp/1np2n2/1p3B2/2pPR3/P2q2BQ/5PPP/R5K1 b - - 2 25,f6e4 h3h7,1168,206,33,8,kingsideAttack master masterVsMaster mate mateIn1 middlegame oneMove,https://lichess.org/OyWh4EPa/black#50,
03726,r3q2k/6b1/p5pp/1nQ1Nr2/5P2/2P5/PP4PP/R3R1K1 b - - 0 23,a8c8 e5g6 e8g6 c5c8,1153,80,94,963,advantage deflection kingsideAttack master masterVsMaster middlegame short,https://lichess.org/chVzwZ2c/black#46,
0394d,8/1b1kpp2/p6p/1p1q4/3B1Q1P/PP3P2/2P5/2KN2r1 b - - 0 30,d5f3 f4f3 b7f3 d4g1,1136,136,100,22,advantage endgame master masterVsMaster short,https://lichess.org/ka6grr0n/black#60,
03Ria,3r4/5k1p/2p1p3/1p3p2/3r3P/1P2K3/2PN1PP1/2R4R w - - 2 32,d2f3 d4e4,1181,78,93,318,endgame master masterVsMaster mate mateIn1 oneMove,https://lichess.org/diTqsLiy#63,
05Q61,5rk1/R1Q2pp1/p3p2p/1p6/r3P3/2PR1P2/PKP3qP/8 w - - 0 26,c7e7 a4a2 b2a2 g2c2,1114,77,94,5977,attraction crushing deflection endgame master masterVsMaster sacrifice short,https://lichess.org/cNeN1U17#51,
09R0h,2n2rk1/6p1/5r1p/1RN4P/1P2R3/1P6/5P2/6K1 w - - 1 40,c5d3 c8d6 b5e5 d6e4,1189,76,87,705,advantage endgame fork master masterVsMaster short,https://lichess.org/VWETqxVJ#79,
09hGn,6k1/p5pp/b7/5p2/1P3P2/5B2/P2rp1PP/2R3K1 b - - 0 31,d2a2 f3d5 g8f8 d5a2,1166,78,91,2187,crushing endgame fork master masterVsMaster short,https://lichess.org/VOH3HFtk/black#62,
0CloI,r4rk1/p6R/3p2p1/2pN1bNp/3p1P1P/4R1K1/P1P3P1/8 b - - 0 29,d4e3 d5e7,1135,78,79,116,endgame master masterVsMaster mate mateIn1 oneMove,https://lichess.org/Kokkn3uT/black#58,
0EARO,8/p1pr4/1p3p2/5P2/4k1n1/8/PPP3N1/2K2R2 b - - 0 29,d7h7 f1f4 e4e5 f4g4,1169,76,100,632,advantage endgame fork master masterVsMaster short,https://lichess.org/WPKwdAid/black#58,
0ECqW,6rk/pp3pq1/8/4rB1P/6P1/8/PP3P2/2Q2RK1 w - - 13 37,c1c3 e5f5 c3g7 g8g7,1171,75,93,1655,crushing endgame master masterVsMaster pin short,https://lichess.org/QbrI4gEG#73,
0EnGo,6k1/6p1/4P2p/8/3b1PP1/2p3RK/2R1Q2P/q3r3 w - - 2 48,e6e7 e1e2 c2e2 a1f1,1172,75,98,1561,endgame master masterVsMaster,https://lichess.org/AMn6LBtH#95,
0HAmP,1k3r2/1p3qp1/1n3b2/1Pp3P1/p1PpP2r/P2Q4/1BR1N3/K2R4 b - - 0 38,f6g5 d3g3 f7c7 g3g5,1149,75,95,2894,advantage fork master masterVsMaster middlegame short,https://lichess.org/Gt1ljjXu/black#76,
0HVO7,2R5/6pp/4P1k1/5qr1/4p1P1/r3P3/4QP2/5RK1 w - - 1 29,f1c1 g5g4 e2g4 f5g4,1165,78,86,251,crushing endgame master masterVsMaster short,https://lichess.org/XboGYo87#57,
0I6QI,1r3k1r/2p2ppp/p1Qb1qn1/8/2P5/1P2B3/P2P1PPP/RN3RK1 w - - 3 16,b1c3 d6h2 g1h2 f6c6,1198,76,92,4280,crushing discoveredAttack master masterVsMaster middlegame short,https://lichess.org/yACNQ3i4#31,Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Modern_Variation
0IUUO,8/R2b4/3qkp2/3p2pp/8/2BB2PP/2PK2P1/8 b - - 11 46,d6c6 a7a6 c6a6 d3a6,1179,76,98,348,advantage endgame master masterVsMaster pin short,https://lichess.org/O1mGQhpF/black#92,
0IZLz,1Q6/4rppk/6p1/P7/2Bb1n2/8/6P1/7K w - - 1 42,g2g3 e7e1 h1h2 d4g1,1163,78,85,310,crushing endgame master masterVsMaster short,https://lichess.org/BVetDIAI#83,
0JI69,2r1r3/1p3k2/1q1bNpp1/1p1P3p/6PQ/P7/7P/4R2K b - - 0 30,b6d4 e6d4 e8e1 h4e1,1115,76,93,2762,crushing hangingPiece master masterVsMaster middlegame short,https://lichess.org/lR2wThZ1/black#60,
0Kgj5,8/p2b3p/1p1k2p1/3B1p2/1P1K3P/P5P1/1P6/8 b - - 0 36,d7c6 d5c6 d6c6 d4e5,1160,77,93,3337,bishopEndgame crushing endgame master masterVsMaster short,https://lichess.org/X6ni9x5G/black#72,
0L0ZB,R6k/7p/6pN/6K1/6P1/5r1P/6b1/8 b - - 4 37,h8g7 a8g8,1199,79,89,429,endgame master masterVsMaster mate mateIn1 oneMove,https://lichess.org/fOMBSJsd/black#74,
0L59e,5r2/6kp/b3Q1p1/q2p4/3b4/2P4P/1P4P1/1N1R3K w - - 1 33,d1d4 f8f1 h1h2 a5c7,1160,75,72,153,crushing endgame fork master masterVsMaster short,https://lichess.org/Nt9jSSNz#65,
0MqLc,4r1k1/5pp1/1b5p/1p2Pq2/2p1N3/1n3N1n/1PQ2PP1/3RBK2 b - - 1 39,h3f4 e4f6 f5f6 e5f6,1170,76,74,161,advantage kingsideAttack master masterVsMaster middlegame short,https://lichess.org/fYQ8v1hm/black#78,
0NJMM,1r6/8/pBp1pkp1/2P2n2/8/P7/1P1R4/6K1 b - - 1 41,f6e5 b6c7 e5e4 c7b8,1136,76,93,86,advantage endgame fork master masterVsMaster short,https://lichess.org/DwZYlp42/black#82,
0NMAL,3q2kr/3r1pp1/p1BBp2p/1p2P1b1/8/P1P5/1P3QPP/5RK1 b - - 12 28,d7d6 f2f7 g8h7 c6e4,1135,75,98,1424,kingsideAttack master masterVsMaster mate mateIn2 middlegame short,https://lichess.org/HeMzrzxS/black#56,
0O5Lh,5r2/4Np1k/6pp/7P/3P1Q2/4P3/q5PK/8 b - - 0 33,a2e6 h5g6 f7g6 f4f8,1138,79,83,410,crushing endgame master masterVsMaster short,https://lichess.org/NyK4ZDOM/black#66,
0OARW,2r2r1k/5ppp/p2p2n1/3NpP1Q/1BB1P3/1P4Pb/P4q1P/3R3K w - - 7 28,h5h3 f2f3 h3g2 f3d1,1126,79,93,2156,advantage fork master masterVsMaster middlegame short,https://lichess.org/5moyKuxY#55,
0Orqk,3rk3/6pQ/p1np4/6P1/8/8/PrP2PP1/6K1 b - - 0 32,e8d7 h7g7 c6e7 g7b2,1119,207,54,3,advantage endgame fork master masterVsMaster short,https://lichess.org/wMdZpCYm/black#64,
0PF5L,4r1k1/5Qpp/p1b5/2b3P1/1p2q3/5R2/P1P4P/1K3R2 b - - 1 29,g8h8 f7f8 c5f8 f3f8 e8f8 f1f8,1151,79,60,67,backRankMate long master masterVsMaster mate mateIn3 middlegame sacrifice,https://lichess.org/dqChiytx/black#58,
0PIe4,6k1/pp4pp/2b1p1p1/3qn3/P2pQ3/3P2r1/2P2P1P/R3R1K1 w - - 0 22,h2g3 e5f3 g1g2 f3e1,1131,75,98,743,advantage endgame fork master masterVsMaster pin short,https://lichess.org/ANvJ3OVY#43,
0Qwyv,7k/3q2p1/3r3p/8/3n4/pPB1Q3/PKP3PP/4R3 w - - 0 29,b2a3 d4c2 a3b2 c2e3,1116,76,100,908,crushing endgame fork master masterVsMaster short,https://lichess.org/FGQ4UYxp#57,
0S4oi,3r2k1/ppq1rp1p/2p2Qp1/8/8/2PB2NP/PP3PP1/3R2K1 w - - 1 19,d3c2 d8d1 c2d1 e7e1 g1h2 e1d1,1189,77,80,385,advantage fork long master masterVsMaster middlegame,https://lichess.org/ZuZPQfyd#37,Caro-Kann_Defense Caro-Kann_Defense_Two_Knights_Attack
0SVqB,8/p4p2/8/1k1pP3/1B1R2b1/8/PPP3r1/3K4 w - - 1 41,d1c1 g2g1 c1d2 g1d1 d2c3 d1d4,1137,79,88,105,advantage endgame long master masterVsMaster,https://lichess.org/RRHyZvUF#81,
0TDyp,8/1q4k1/4p1pp/2QbP3/3P2N1/1p3PK1/6P1/8 w - - 0 40,g4f6 b3b2 c5d6 b2b1q,1196,128,54,38,advancedPawn crushing endgame master masterVsMaster promotion short,https://lichess.org/28zDZDRN#79,
0TIiY,4k3/p6R/1p2p1p1/5pP1/r7/4KB2/Pr2N2P/8 b - - 0 39,e6e5 f3c6 e8f8 c6a4,1144,75,97,1020,advantage endgame fork master masterVsMaster short,https://lichess.org/KPBePaGs/black#78,
0UN3r,5rk1/2R1q1p1/p5Q1/P2p1p2/3Pp2P/4P1P1/5PK1/8 w - - 2 51,g6g7 e7g7 c7g7 g8g7,1187,85,83,65,crushing endgame master masterVsMaster short,https://lichess.org/j5ntHTno#101,
0Vr9p,8/pp6/8/P1P1p2p/4pk2/7P/5PK1/8 b - - 0 40,h5h4 a5a6 b7a6 c5c6,1197,79,94,143,crushing endgame master masterVsMaster pawnEndgame short,https://lichess.org/6KYePAJ7/black#80,
