PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00Bg4,3r2k1/1q3ppp/p2rp3/Qp1B4/7P/P4P2/1PP3P1/1K1R3R b - - 0 21,d6d5 a5d8 d5d8 d1d8,1370,85,75,308,backRankMate endgame mate mateIn2 short xRayAttack,https://lichess.org/6qWf8wOP/black#42,
00gH0,3r2k1/6pp/8/5Q2/2pP4/2Pq2P1/5RKP/8 b - - 2 35,d3c3 f5f7 g8h8 f7f8 d8f8 f2f8,1339,89,83,809,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/vnNaoc4v/black#70,
00r1D,r4k1r/p3nppp/3Qp1b1/8/B7/P1q5/2P2PPP/3R1RK1 b - - 5 18,g6c2 d6d8 a8d8 d1d8,1394,93,47,76,backRankMate mate mateIn2 middlegame sacrifice short,https://lichess.org/nb7Z1HHv/black#36,Scandinavian_Defense Scandinavian_Defense_Main_Line
0175u,4r1k1/4qp2/3p3p/3P1np1/8/2Q5/1P3PPP/R2N2K1 w - - 2 30,g1f1 e7e2 f1g1 e2e1 c3e1 e8e1,1304,132,85,16,backRankMate endgame long mate mateIn3,https://lichess.org/ZAjVr7XP#59,
01KSz,2r3k1/1p3ppp/p3p3/3pP2Q/2r2b2/P1Pq3P/1P2R2B/5R1K b - - 1 29,f4h2 h5f7 g8h8 f7f8 c8f8 f1f8,1398,92,74,328,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/9F9G6yiK/black#58,
01Wqv,5r1k/1pp2Npp/p6r/4pP2/2Q1Pq2/8/PP4PP/3R3K b - - 5 32,f8f7 d1d8 f7f8 d8f8,1301,77,86,205,backRankMate endgame mate mateIn2 short,https://lichess.org/HvS3Pp9C/black#64,
01gBD,2r4k/pb4pp/1p6/3pP3/3Pn3/2PBq1NQ/PP5P/5R1K b - - 4 23,e3d3 h3c8 b7c8 f1f8,1382,77,84,256,backRankMate mate mateIn2 middlegame sacrifice short,https://lichess.org/Oojuy157/black#46,
023sA,5r1k/p1p2qpp/6b1/1P1nP3/8/1Q2P1R1/PB4PP/3R2K1 w - - 2 26,b3d5 f7f2 g1h1 f2f1 d1f1 f8f1,1330,88,83,292,backRankMate fork long mate mateIn3 middlegame sacrifice,https://lichess.org/xSDjaF7E#51,
02W3t,1r2r1k1/1p3ppp/p4q2/2p1P3/2Q5/2P2R1P/PP4P1/5RK1 b - - 0 23,f6e5 c4f7 g8h8 f7f8 e8f8 f3f8 b8f8 f1f8,1308,81,76,146,backRankMate endgame mate mateIn4 sacrifice veryLong,https://lichess.org/TofvbPmM/black#46,
03B43,4r1k1/3Q2pp/p7/1p1pP3/3qp3/8/PP4PP/5R1K b - - 2 26,d4e5 d7f7 g8h8 f7f8 e8f8 f1f8,1352,88,72,201,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/qFXXNLED/black#52,
