PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
01cVL,8/8/5p2/1p1p1k1p/p1pP3P/P1P2KP1/1P6/8 w - - 0 51,f3e3 f5g4 e3f2 f6f5 f2g2 f5f4 g3f4 g4f4,1336,75,100,405,crushing endgame pawnEndgame quietMove veryLong,https://lichess.org/ejlfRa6r#101,
03HMG,8/6pp/8/6P1/4KPk1/8/8/8 b - - 5 51,h7h6 g5h6 g7h6 f4f5 g4g5 e4e5 h6h5 f5f6,1363,75,94,405,crushing endgame pawnEndgame quietMove veryLong,https://lichess.org/KRCPsQwA/black#102,
03qIH,8/4Kb2/p5k1/6Pp/4P2P/P1P5/8/8 b - - 6 57,g6g7 e4e5 f7c4 e5e6,1346,76,95,19187,bishopEndgame crushing endgame quietMove short,https://lichess.org/lDnKCrbf/black#114,
040ke,2rq1rk1/5Bbp/p5p1/1p2pb2/7P/P1N5/1PQ1NPP1/1K1R3R b - - 0 18,f8f7 d1d8 c8d8 c3e4 f5e4 c2e4,1392,75,94,1414,advantage long middlegame quietMove,https://lichess.org/eq18bgSW/black#36,Sicilian_Defense Sicilian_Defense_Alapin_Variation
04O0Z,8/8/6pk/7q/1K5Q/1P6/P7/8 w - - 4 54,h4h5 g6h5 b4c5 h5h4 b3b4 h4h3 b4b5 h3h2 b5b6 h2h1q,1306,76,76,110,advancedPawn crushing endgame promotion quietMove veryLong,https://lichess.org/tYRA3Hvn#107,
04iyl,8/8/1pk5/4p1pp/2K1Pp2/2P2P1P/6P1/8 b - - 0 38,h5h4 c4b4 b6b5 c3c4 b5c4 b4c4,1365,76,92,1813,crushing endgame long pawnEndgame quietMove zugzwang,https://lichess.org/nuS5A9sa/black#76,
04t1e,8/5pk1/3p2p1/1p6/5P2/5Kp1/p7/6R1 w - - 0 40,f3g3 b5b4 g1a1 b4b3,1335,76,87,208,crushing endgame quietMove rookEndgame short,https://lichess.org/gndqDVU1#79,
05mVs,8/8/8/p1p5/1k4P1/1P3R2/1r4PK/8 b - - 0 57,b2b3 f3b3 b4b3 g4g5 c5c4 g5g6 c4c3 g6g7 b3b2 g7g8q,1371,98,13,50,advancedPawn crushing endgame promotion quietMove rookEndgame veryLong,https://lichess.org/yCwbAtca/black#114,
05ya7,r7/ppq3k1/3b3r/4p1p1/3pQpP1/PB1P1P2/1PP5/R3R1K1 w - - 8 33,e1e2 a8h8 e2g2 h6h1 g1f2 h1a1,1375,75,90,1018,crushing exposedKing long middlegame quietMove skewer,https://lichess.org/ayuhC3rN#65,
07COk,8/1p3p1p/2k3p1/3N1p2/3P4/5P2/7P/7K w - - 1 39,d5f6 b7b5 h1g2 b5b4,1322,75,85,433,crushing defensiveMove endgame knightEndgame quietMove short,https://lichess.org/0IHH0bPm#77,
07QKu,8/8/1p1K4/pB1R4/P7/8/1k6/3r4 w - - 13 78,d6d7 d1d5 d7c6 d5b5 a4b5 a5a4 c6b6 a4a3 b6c7 a3a2 b5b6 a2a1q,1373,75,94,3504,advancedPawn crushing endgame hangingPiece master masterVsMaster promotion quietMove superGM veryLong,https://lichess.org/pnzNC4QE#155,
08Flr,5k2/5P2/6P1/1p6/8/7P/8/6K1 w - - 0 55,h3h4 b5b4 g1f2 b4b3 h4h5 b3b2 h5h6 b2b1q,1311,78,71,89,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/wGszBavV#109,
08cjG,5rk1/1pr1pp1p/p2p2pQ/1q1P4/8/1P1PR3/P4PPP/5RK1 b - - 4 21,b5d5 e3h3 d5h5 h3h5,1391,73,93,7397,advantage endgame quietMove short,https://lichess.org/jRty2Of2/black#42,
09ZOa,3r2k1/1Q3p1p/p5p1/4P3/5P1b/P4P1P/2r5/6RK w - - 0 30,b7e4 d8d2 e4c2 d2c2,1391,75,93,3181,advantage endgame quietMove short,https://lichess.org/o0ZDMjdk#59,
09eLQ,6k1/5p2/5K1P/8/8/8/8/8 w - - 3 52,f6e7 f7f5 e7d6 f5f4 d6d5 f4f3,1346,75,90,1759,crushing endgame long pawnEndgame quietMove,https://lichess.org/o5OjPdhX#103,
0BbIo,2r1r1k1/pp1bq1p1/5pN1/3p1P2/2pPn3/P3PR2/1PQ3PP/5RK1 b - - 1 23,e7f7 f3h3 f7g6 f5g6 d7h3 g2h3,1389,75,84,873,advantage long middlegame quietMove,https://lichess.org/nAA8tcWD/black#46,
0CNML,2r1r3/1q3p1k/2p2PpB/7p/4p3/1P2Q2P/P4PP1/5RK1 b - - 1 37,b7d7 h6g7 d7d2 e3d2,1321,75,91,856,crushing endgame quietMove short,https://lichess.org/FVK8z2lF/black#74,
0D1cT,6k1/p4p2/3b2p1/3P3p/3Q3P/6P1/q4PK1/4B3 b - - 1 41,a2a3 e1c3 a3c3 d4c3,1394,74,100,517,crushing endgame quietMove short,https://lichess.org/GY1HZxyu/black#82,
0D1vt,r2q1rk1/pp1bn3/1bn5/3p1pN1/8/1NPB4/PP3PPP/R2QR1K1 b - - 0 16,e7c8 d1h5 d8g5 h5g5,1304,143,78,7,crushing kingsideAttack opening quietMove short,https://lichess.org/GGsKo5mk/black#32,French_Defense French_Defense_Tarrasch_Variation
0DXOn,3r4/p3pk2/8/4pp2/2p1N2P/P1P5/K1Pb4/3R4 w - - 0 34,e4d2 e5e4 a2b2 e4e3 d2c4 d8d1,1386,75,91,1218,advantage endgame long quietMove,https://lichess.org/Bs2pG9pN#67,
0ESJb,6r1/6P1/4k1K1/8/7P/8/8/8 b - - 2 56,e6e7 h4h5 g8a8 h5h6 a8a6 g6h7,1381,76,76,305,crushing defensiveMove endgame long quietMove rookEndgame,https://lichess.org/pyAFcZov/black#112,
0EXYR,8/6pk/1p2K3/p1p4P/P1P5/8/1P6/8 w - - 3 48,e6d6 h7h6 d6c7 h6h5 c7b6 g7g5 b6c5 g5g4 c5b5 g4g3,1359,82,63,50,crushing endgame pawnEndgame quietMove veryLong,https://lichess.org/2uHfOtBy#95,
0EwZb,8/8/4p1p1/6P1/8/1K1k4/2p5/2B5 w - - 1 64,b3a4 e6e5 a4b3 e5e4 b3b2 e4e3 c1e3 d3e3,1355,77,92,5114,bishopEndgame crushing endgame quietMove veryLong,https://lichess.org/GlthDpz4#127,
0FcdF,8/p7/2k1p2p/P1p1P1p1/2K3P1/1P6/7P/8 w - - 0 43,h2h3 a7a6 b3b4 c5b4 c4b4 c6d5,1316,77,84,1203,crushing endgame long pawnEndgame quietMove zugzwang,https://lichess.org/AoKTlLbz#85,
0IyTx,8/5p2/p1k5/P1p1P1pp/2K5/7P/6P1/8 b - - 0 39,g5g4 h3g4 h5g4 g2g3 f7f6 e5f6,1381,76,84,262,crushing endgame long pawnEndgame quietMove zugzwang,https://lichess.org/has3GVNM/black#78,
