PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00dnp,8/Q7/7r/8/6K1/1r2k1p1/6P1/8 b - - 2 64,e3e2 a7a2 e2e3 a2b3,1453,79,94,22829,crushing endgame fork master queenRookEndgame short,https://lichess.org/hMbf0KPM/black#128,
07Kpo,6k1/4pr2/6Q1/3rP3/1p1p1p2/1P3P1P/P6K/8 b - - 0 33,f7g7 g6e6 g7f7 e6d5,1476,77,96,28789,crushing endgame fork queenRookEndgame short,https://lichess.org/xcAWktCY/black#66,
0Bl7X,2R3R1/4kp2/4p2p/3pP3/p2q1P2/P7/K1P5/8 b - - 8 34,d4f4 c8c7,1453,87,87,98,endgame master mate mateIn1 oneMove queenRookEndgame,https://lichess.org/ODVtwoiK/black#68,
0DClB,k7/p1p4R/3p4/2p5/5R2/1PP1P3/P1P1K1q1/8 w - - 1 33,e2d3 g2g6 d3d2 g6h7,1456,75,84,594,advantage endgame fork queenRookEndgame short,https://lichess.org/XjAMe5Is#65,
0DuxQ,1k4rr/1pp5/p3P3/3P4/5R1p/2P3p1/PP6/2K4Q w - - 1 32,f4h4 h8h4 h1h4 g3g2 h4d4 g2g1q,1464,76,93,1903,advancedPawn crushing endgame long promotion queenRookEndgame,https://lichess.org/lTRLvqYS#63,
0ElbW,8/pp3Q2/2p2Pp1/6r1/3p2k1/3P4/PPP1r2P/5RK1 w - - 1 34,f7e7 g4h3 g1h1 e2h2,1471,75,97,1192,discoveredAttack endgame mate mateIn2 queenRookEndgame short,https://lichess.org/njojETTO#67,
0IhVa,8/1P3pk1/Q1p2pp1/1r6/3pr1P1/7P/5PK1/8 b - - 0 39,d4d3 a6b5 c6b5 b7b8q,1467,76,95,17847,advancedPawn advantage endgame promotion queenRookEndgame short,https://lichess.org/qdNlYkP2/black#78,
0KVei,8/pp4q1/3k4/3p2p1/3P2R1/1P4PK/P4R2/8 w - - 0 38,f2f5 g7h7 h3g2 h7f5,1494,82,81,93,crushing endgame fork master queenRookEndgame short,https://lichess.org/eIsNjg1h#75,
0MGhh,3r1rk1/5B2/1p2p3/pP2P2p/8/6qP/5PP1/3RR1K1 b - - 0 34,f8f7 d1d8 g8g7 f2g3,1439,83,55,57,crushing endgame hangingPiece queenRookEndgame short,https://lichess.org/my3Lrh68/black#68,
0P7s4,6k1/Q4p1p/5R2/3p2P1/Pp6/1Pp2P2/2Rr4/1K2r3 w - - 1 39,c2c1 d2b2 b1a1 e1c1,1456,74,86,95,deflection endgame mate mateIn2 queenRookEndgame short,https://lichess.org/N6ljaoB1#77,
0RRW8,8/p5qp/1p2R3/2pP2Pk/P1P1KR2/8/8/8 w - - 7 50,f4f5 g7d4 e4f3 d4g4 f3f2 g4f5,1425,75,46,463,crushing endgame fork long queenRookEndgame,https://lichess.org/2wVVpdOY#99,
0RiWP,R7/P4pk1/8/7p/5pp1/7P/4q1P1/5RK1 b - - 0 35,g4h3 a8g8 g7g8 a7a8q,1482,76,93,673,advancedPawn attraction crushing endgame promotion queenRookEndgame short,https://lichess.org/7o0iCLq8/black#70,
0Sn2e,1k6/p2R1p1p/1p6/1P6/4KP2/P7/1P4q1/3R4 w - - 5 56,e4f5 g2g6 f5e5 g6e6 e5d4 e6d7,1423,77,96,16637,crushing endgame interference long queenRookEndgame,https://lichess.org/5amgf8P0#111,
0Y4tp,R7/8/P3p3/6Q1/4kr2/3pp3/4K3/8 w - - 0 56,e2d1 f4f1,1451,82,79,316,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/5zOit3ep#111,
0ZDSG,6k1/p1p1rpp1/1p5p/8/PP2PQ1P/2P2P2/6PK/2r5 b - - 0 32,c1c3 f4d2 e7e6 d2c3,1485,76,91,1681,crushing endgame queenRookEndgame short,https://lichess.org/hbNyvR46/black#64,
0bJ74,8/r6r/7p/P4Q1K/1k4P1/8/8/8 w - - 3 52,h5g6 a7g7 g6h5 g7g5 f5g5 h6g5,1459,78,91,1131,crushing discoveredAttack endgame fork long queenRookEndgame,https://lichess.org/7X5Bwokn#103,
0d8xs,8/5p2/1P2p2k/7p/P7/4PP2/2Q4K/r6r w - - 1 48,h2g2 a1g1 g2f2 h1h2 f2g1 h2c2,1408,75,96,3905,crushing endgame long queenRookEndgame skewer,https://lichess.org/aNp1ZPj7#95,
0fNn7,6k1/1R4R1/7P/8/1P6/PK6/3r4/2r2q2 b - - 1 45,g8f8 b7b8 c1c8 b8c8 d2d8 c8d8,1416,77,92,86,endgame exposedKing long mate mateIn3 queenRookEndgame,https://lichess.org/3dMektEm/black#90,
0g8lT,5Qk1/pp4pp/2p3p1/4R3/8/4R2P/Pq3PK1/8 b - - 0 29,g8f8 e3f3 f8g8 e5e8,1418,75,72,456,endgame mate mateIn2 queenRookEndgame short,https://lichess.org/d2sg7qES/black#58,
0gKOR,8/pp6/3Q4/3P4/4pp2/5k2/PPPK4/7r w - - 1 33,d6e7 e4e3 d2c3 e3e2,1459,154,88,31,advancedPawn crushing endgame master queenRookEndgame short,https://lichess.org/VvXL4LgL#65,
0kQJK,8/P7/8/8/3kp3/3p4/5rPP/R2K4 w - - 0 52,a7a8q f2f1 d1d2 e4e3,1434,74,96,11140,endgame mate mateIn2 queenRookEndgame short,https://lichess.org/d9FJ1c6y#103,
0kg08,8/6p1/p3R2p/3p4/Pk1P3q/6r1/3K4/1R6 b - - 1 39,b4c4 e6c6 c4d4 b1b4 d4e5 b4h4,1424,206,86,7,advantage endgame long queenRookEndgame skewer,https://lichess.org/B28XsATW/black#78,
0o2EA,8/5rk1/2p3p1/1p1pP3/pP4Q1/2P1rPK1/P7/8 b - - 0 44,e3e5 g4d4 f7f3 g3f3,1464,80,83,54,crushing endgame pin queenRookEndgame short,https://lichess.org/LYF1fKF8/black#88,
0rR4w,6k1/ppQ3pp/3p1r2/3P4/2P5/6PK/PP3r1P/R7 w - - 3 27,g3g4 f6f3 h3h4 f2h2 h4g5 h7h6 g5g6 f3f6,1442,76,96,10443,deflection endgame mate mateIn4 queenRookEndgame veryLong,https://lichess.org/r9g75NOy#53,
0vr6g,5K2/2r3P1/3k4/5P2/8/8/2P5/8 w - - 3 57,g7g8q c7c8 f8f7 c8g8,1495,327,100,29,endgame equality queenRookEndgame short skewer,https://lichess.org/4p2eC4Nn#113,
0yHm3,7k/1Q4p1/1p2r2p/8/8/4r2P/5K2/8 b - - 0 32,e3h3 b7c8 h8h7 c8e6,1456,399,100,11,endgame equality fork queenRookEndgame short,https://lichess.org/tL1WKTyX/black#64,
0yYvz,8/6pk/7p/8/p2P4/Qp6/2r2P2/5K2 w - - 4 58,a3a4 c2c1 f1e2 b3b2 a4b3 b2b1q b3b1 c1b1,1488,75,90,2939,advancedPawn crushing endgame promotion queenRookEndgame veryLong,https://lichess.org/zXQ9rgZZ#115,
0yvlt,6k1/R2R2p1/7p/8/5p2/6qP/6P1/5K2 b - - 3 39,f4f3 d7g7 g3g7 a7g7 g8g7 g2f3,1463,108,65,31,crushing endgame fork long queenRookEndgame,https://lichess.org/G9F2gFz5/black#78,
