PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0GY5k,2r1r3/1pq1n2k/p2p1Qp1/8/P1B1PP2/3R4/1P4PP/6K1 b - - 0 24,c7c4 d3h3 h7g8 h3h8,1619,73,96,16355,endgame killBoxMate mate mateIn2 short,https://lichess.org/TNB4UWhS/black#48,
0GnqP,2r1k2r/1p6/p1q1pQ2/5b1p/P2R4/2P5/1P3P1P/3R2K1 b - - 0 29,h8h7 d4d8 c8d8 d1d8,1659,75,85,141,killBoxMate mate mateIn2 middlegame short,https://lichess.org/IPjdijwx/black#58,
0InvA,6k1/5pp1/qpPBp3/3pP2p/3N3P/2K4Q/r4PP1/r2R3R w - - 5 28,d1a1 a6c4,1656,82,89,4832,killBoxMate mate mateIn1 middlegame oneMove,https://lichess.org/f6UkAYHp#55,
0ZmqD,1r2r3/1p4k1/p1q1b3/5p2/8/2Q3P1/PP3KP1/7R b - - 7 30,g7f8 c3f6 e6f7 h1h8,1680,74,96,14656,endgame killBoxMate mate mateIn2 pin short,https://lichess.org/LDfuJV8c/black#60,
0dNyQ,r1b3k1/pppn2b1/3pR2B/7p/2Pq4/2nB4/PP1K2Q1/R7 b - - 3 20,d7c5 e6e8 g8f7 g2g6,1664,75,97,12206,killBoxMate kingsideAttack mate mateIn2 middlegame pin short,https://lichess.org/bycMU5Qe/black#40,
0g5XU,4rk2/Rb6/2pb1pQ1/1pPp4/1P1P1N2/5qBp/5P2/6K1 w - - 5 36,a7b7 e8e1 g1h2 e1h1,1688,74,94,1580,killBoxMate mate mateIn2 middlegame short,https://lichess.org/x6diiDLA#71,
0sDPT,6rk/1p4rp/p6R/8/3qP3/7P/2P1Q1P1/5R1K b - - 8 35,g7g2 h6h7 h8h7 e2h5 h7g7 f1f7,1686,75,84,636,attraction endgame killBoxMate long mate mateIn3 sacrifice,https://lichess.org/DkepYSda/black#70,
18YOQ,3r2k1/6p1/1P3p2/2Q3p1/pKP5/R3B3/5PP1/1q6 w - - 19 41,b4c3 d8d3,1686,84,87,819,endgame killBoxMate mate mateIn1 oneMove,https://lichess.org/IWPZI9tK#81,
1J5kg,4rr2/1bpq2p1/p4pnk/1p1Pp1N1/4P2P/P1N2QP1/1P3P2/2K3RR b - - 1 21,f6g5 h4g5 h6g5 h1h5,1639,73,96,20679,attraction doubleCheck killBoxMate mate mateIn2 middlegame short,https://lichess.org/fW5UgHLl/black#42,
1TQnt,5r1k/1pP3pp/p7/2B1p3/4Q3/3r3q/P4P2/RN3RK1 w - - 1 25,c5b6 d3g3 f2g3 f8f1,1682,75,89,887,killBoxMate mate mateIn2 middlegame short,https://lichess.org/mybg5MWL#49,
