PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
01bxA,5rk1/p5pp/8/6N1/2Q5/8/Pq3P1P/1b3RK1 b - - 3 30,g8h8 g5f7 h8g8 f7h6 g8h8 c4g8 f8g8 h6f7,1659,81,77,944,doubleCheck endgame mate mateIn4 sacrifice smotheredMate veryLong,https://lichess.org/wWcUqm1E/black#60,
06Jy4,r5k1/pbp3pp/1p1ppr2/5p1q/2PPn3/P1PBP2P/1BQ2nPN/5RRK w - - 0 18,f1f2 e4g3,1695,81,73,842,mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/zpbcOPQX#35,English_Defense English_Defense_Other_variations
09c6n,6k1/1p2bqpp/p7/6B1/P3p1n1/1PQP4/2P1N1PP/6K1 w - - 0 25,g5e7 f7f2 g1h1 f2f1 e2g1 g4f2,1671,84,89,5393,endgame fork long mate mateIn3 smotheredMate,https://lichess.org/wAybCNFA#49,
0YPGX,r4rk1/1pp3pp/p3Q2N/8/8/7P/Pq3PPK/RN6 b - - 4 20,g8h8 e6g8 f8g8 h6f7,1601,75,92,6634,mate mateIn2 middlegame sacrifice short smotheredMate,https://lichess.org/ZO57Ety0/black#40,
0bXL2,rn1q1r1k/p5bp/6p1/3nN3/2Q2P2/1B6/PP4PP/R1B2K2 b - - 2 19,d5f4 c4g8 f8g8 e5f7,1601,83,83,880,kingsideAttack mate mateIn2 middlegame sacrifice short smotheredMate,https://lichess.org/jExVoVIz/black#38,
0cxyU,r4rk1/ppqb2pp/1b1N2n1/3Qp3/5PP1/1B5P/PP6/R1B2R1K b - - 0 21,g8h8 d5g8 f8g8 d6f7,1618,83,82,1541,kingsideAttack mate mateIn2 middlegame sacrifice short smotheredMate,https://lichess.org/7RQhseST/black#42,
0ovNH,rn3r1k/pbp1p1bp/Bp4pN/2q5/5n2/1QN4P/PP3PP1/3R1RK1 b - - 3 17,b8a6 b3g8 f8g8 h6f7,1600,101,100,153,kingsideAttack mate mateIn2 middlegame sacrifice short smotheredMate,https://lichess.org/KlV9BvOj/black#34,Scandinavian_Defense Scandinavian_Defense_Richter_Variation
0vFLA,Q7/b1p3pk/p3b2p/1p2N3/4nN2/4q3/PPP3PP/3R1R1K w - - 7 23,e5g6 e3g1 f1g1 e4f2,1684,82,79,4774,kingsideAttack mate mateIn2 middlegame sacrifice short smotheredMate,https://lichess.org/Tn5hlf25#45,
1ETg4,5rk1/p1Q2pp1/1pN1p3/3p3p/3q2n1/PP6/6PP/2R1R1K1 w - - 4 25,g1h1 g4f2 h1g1 f2h3 g1h1 d4g1 e1g1 h3f2,1603,83,71,3128,doubleCheck kingsideAttack mate mateIn4 middlegame sacrifice smotheredMate veryLong,https://lichess.org/xSZ3DyeU#49,
1VExN,r3kb1r/pp1bpp1p/2n3p1/1q1P1n2/4N3/5N1P/PP3PP1/R1BQR1K1 b kq - 0 14,c6d8 e4f6,1690,78,90,1285,mate mateIn1 oneMove opening pin smotheredMate,https://lichess.org/l5aniYnx/black#28,Sicilian_Defense Sicilian_Defense_Old_Sicilian
1kh4g,2N2r1k/p4p1p/1n4p1/1R6/3bn3/BQ6/P2PBqPP/3R3K w - - 0 26,a3f8 f2g1 d1g1 e4f2,1602,93,86,195,kingsideAttack mate mateIn2 middlegame sacrifice short smotheredMate,https://lichess.org/uVBCF7IR#51,
1lmFc,3r1rk1/p5pp/3b3N/3Q4/3P1B2/2P4P/PP4PK/q7 b - - 3 32,g8h8 d5g8 f8g8 h6f7,1682,78,91,1561,mate mateIn2 middlegame sacrifice short smotheredMate,https://lichess.org/LbKXAaJf/black#64,
2CeKO,r2qkbnr/1p1npppp/8/1N1P4/5B2/5b2/PP3PPP/R2QR1K1 b kq - 1 13,f3d1 b5d6,1692,77,91,2206,mate mateIn1 middlegame oneMove pin smotheredMate,https://lichess.org/F4gmRO3Q/black#26,Sicilian_Defense Sicilian_Defense_Alapin_Variation
2xTLj,r1b2rk1/ppp1p1bp/6p1/2qPpp2/2P1P3/2N2P1n/PPQBB1PP/R4RK1 w - - 5 16,g1h1 c5g1 f1g1 h3f2,1658,77,91,541,kingsideAttack mate mateIn2 middlegame sacrifice short smotheredMate,https://lichess.org/BvNl4wlQ#31,Kings_Indian_Defense Kings_Indian_Defense_Orthodox_Variation
3G0Q9,7k/pq2B1pp/3N4/3Np3/8/2QP4/5KPP/1r6 b - - 2 28,b7d5 c3c8 d5g8 d6f7,1623,81,83,4395,endgame mate mateIn2 pin short smotheredMate,https://lichess.org/giP2MgQy/black#56,
3IYPj,r4r1k/1Bq3pp/p6N/2B5/8/1Q6/PP3PPb/3R1K2 b - - 0 21,c7c5 b3g8 f8g8 h6f7,1636,79,89,354,mate mateIn2 middlegame sacrifice short smotheredMate,https://lichess.org/6TBBDCCK/black#42,
3lme2,1r5k/6pp/8/4Q1N1/5p2/1q5P/pp4PK/4R3 b - - 1 43,b2b1q e5e8 b8e8 e1e8 b3g8 g5f7,1622,82,92,17813,endgame long mate mateIn3 pin sacrifice smotheredMate,https://lichess.org/vRy3Uv2e/black#86,
3oey4,r1b2rk1/pppp1ppp/8/2b1p3/3NP1nq/1B6/PPP2PPP/RNBQR1K1 w - - 1 9,d4f3 h4f2 g1h1 f2g1 f3g1 g4f2,1659,80,92,6487,kingsideAttack long mate mateIn3 opening sacrifice smotheredMate,https://lichess.org/IA2PkkvX#17,Italian_Game Italian_Game_Giuoco_Piano
3uGUQ,r4rk1/ppQ4p/3pp1p1/8/4q3/2B1nN2/PP3PPP/1K1R3R w - - 10 24,b1a1 e3c2 a1b1 c2a3 b1a1 e4b1 d1b1 a3c2,1670,81,91,11266,doubleCheck mate mateIn4 middlegame sacrifice smotheredMate veryLong,https://lichess.org/IwU6ix3u#47,
3vokJ,r2q1rk1/p5pp/1pbNQ1n1/8/5p2/1B6/PP3PPP/R1B3K1 b - - 0 19,g8h8 e6g8 f8g8 d6f7,1608,82,89,635,kingsideAttack mate mateIn2 middlegame sacrifice short smotheredMate,https://lichess.org/IKBtrPLo/black#38,
3wqIL,r2qr1k1/pQ3ppp/2p1Bn2/4N3/3P4/2n5/1PK2PPP/3R3R b - - 3 17,c3d1 b7f7 g8h8 f7g8 f6g8 e5f7,1676,79,81,443,kingsideAttack long mate mateIn3 middlegame sacrifice smotheredMate,https://lichess.org/UiwMNvAk/black#34,Italian_Game Italian_Game_Classical_Variation
49c8a,r1b3rk/2q3pn/2p1p2p/pp1pN2n/3P1P2/2PQP3/PP2NP2/R3K1R1 b Q - 3 20,h5f6 e5g6,1635,84,88,7931,mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/Ds1Fvn5j/black#40,
4O9vu,3q1rk1/6pp/2pN1Nn1/p1P5/Pp1Pp3/1Q6/1P4PP/6K1 b - - 1 35,g8h8 b3g8 f8g8 d6f7,1655,79,91,923,endgame kingsideAttack mate mateIn2 sacrifice short smotheredMate,https://lichess.org/6fSyTreF/black#70,
4R2WD,r5k1/1p3rp1/p3Q2p/4P3/1PB5/P2nq3/6PP/1R2R1K1 w - - 3 23,g1h1 d3f2 h1g1 f2h3 g1h1 e3g1 e1g1 h3f2,1606,82,74,3109,doubleCheck mate mateIn4 middlegame sacrifice smotheredMate veryLong,https://lichess.org/7mHFozLK#45,
4aQwr,3r1rk1/1pp3b1/p3b1pp/6q1/3nQp2/P1NB4/1PP2PPP/R4RKN w - - 4 21,e4g6 d4f3,1638,82,79,2552,mate mateIn1 middlegame oneMove pin smotheredMate,https://lichess.org/j8YgN2ky#41,
4d4yY,rnb2rk1/pp3p2/1b1B3p/6p1/3q2n1/2NB4/PPP3PP/R2Q1RNK w - - 0 16,d6c7 d4g1 f1g1 g4f2,1666,80,73,4401,kingsideAttack mate mateIn2 middlegame sacrifice short smotheredMate,https://lichess.org/4WDJGqrG#31,Vienna_Game Vienna_Game_Anderssen_Defense
4fKWf,r4r1k/p2R2bp/1p2Q1p1/6N1/1q2b3/1B6/Pp3PPP/1R4K1 b - - 4 25,e4f5 e6g8 f8g8 g5f7,1697,83,83,5491,kingsideAttack mate mateIn2 middlegame sacrifice short smotheredMate,https://lichess.org/CAIcLckf/black#50,
4syrR,rn3rk1/pp2Qp2/2p3p1/4P3/3q4/3B3n/PPP3PP/RN3RK1 w - - 3 18,g1h1 d4g1 f1g1 h3f2,1627,78,95,1764,kingsideAttack mate mateIn2 middlegame sacrifice short smotheredMate,https://lichess.org/HG15JdBY#35,Kings_Gambit_Accepted Kings_Gambit_Accepted_Fischer_Defense
5GgA7,r6Q/b2p1kp1/p3p1N1/5nB1/2pq2n1/8/PPP3PP/R4R1K w - - 5 25,h8a8 d4g1 f1g1 g4f2,1646,83,90,5782,kingsideAttack mate mateIn2 middlegame sacrifice short smotheredMate,https://lichess.org/P8XgmXDD#49,
5WbJW,r2q1r1k/3p2pp/1bnN1p2/p2Qp3/1P2P3/PB6/1B3PPP/R4bK1 b - - 1 22,a5a4 d5g8 f8g8 d6f7,1613,82,82,4034,kingsideAttack mate mateIn2 middlegame sacrifice short smotheredMate,https://lichess.org/ztM7RW5o/black#44,
5ZwiS,3r1rk1/6pp/b1pNQ3/p3P3/Pp6/1B6/1PPq2PP/R5K1 b - - 0 25,g8h8 e6g8 f8g8 d6f7,1629,82,84,3966,kingsideAttack master mate mateIn2 middlegame sacrifice short smotheredMate,https://lichess.org/gnh5c6wR/black#50,
5b2kB,3Q4/5ppk/4p2p/8/3N2n1/1P2q3/6PP/5RK1 w - - 8 36,g1h1 g4f2 h1g1 f2h3 g1h1 e3g1 f1g1 h3f2,1664,81,85,4500,doubleCheck endgame mate mateIn4 sacrifice smotheredMate veryLong,https://lichess.org/5jtFvVZ1#71,
5ut9J,r1bq1r1k/pp4pp/2n5/2bQNp2/4n3/1B2P1BP/PPP2PP1/RN2K2R b KQ - 0 12,e4g3 d5g8 f8g8 e5f7,1602,81,83,759,kingsideAttack mate mateIn2 middlegame sacrifice short smotheredMate,https://lichess.org/McYIMSmQ/black#24,Benoni_Defense Benoni_Defense_Old_Benoni
6IaMN,5rk1/6pp/8/p2QN3/3P4/P5PK/1P1q3P/8 b - - 4 37,g8h8 e5f7 h8g8 f7h6 g8h8 d5g8 f8g8 h6f7,1670,81,93,9631,doubleCheck endgame mate mateIn4 sacrifice smotheredMate veryLong,https://lichess.org/5TKjI5uJ/black#74,
6Lw1n,6k1/p4p2/1bp3pp/4r3/2P1n1Q1/P3qN2/6PP/R4R1K w - - 4 26,f3e5 e3g1 f1g1 e4f2,1696,78,91,11315,mate mateIn2 middlegame sacrifice short smotheredMate,https://lichess.org/H0q7UOMe#51,
