PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
001cr,8/3B2pp/p5k1/2p3P1/1p1p1K2/8/1P6/8 b - - 0 38,c5c4 d7e8,1760,78,92,1032,bishopEndgame endgame mate mateIn1 oneMove,https://lichess.org/7FFNwibw/black#76,
01bFK,5k2/8/p2p3K/2p3pP/P1PpP1P1/3P4/1b6/8 b - - 0 52,d6d5 e4d5 b2c1 h6g6,1762,76,87,291,bishopEndgame crushing endgame short,https://lichess.org/wsgR6AfE/black#104,
0346V,8/4kp1p/4p2P/2Pb2P1/3K4/8/8/8 b - - 2 38,f7f5 g5g6 h7g6 h6h7 e7f6 h7h8q,1706,75,95,5896,advancedPawn bishopEndgame crushing endgame long promotion,https://lichess.org/kofkTFwP/black#76,
03dKs,8/8/1B6/8/1PK1kp2/6p1/8/8 w - - 0 61,b4b5 f4f3 b6c7 f3f2 c7g3 f2f1q,1740,74,94,132,advancedPawn bishopEndgame crushing endgame long master promotion,https://lichess.org/yWZ6NaWp#121,
04JDR,8/p7/8/P1p5/2P3p1/5k1p/2B4K/8 w - - 2 47,c2f5 g4g3 h2h3 g3g2 f5e4 f3e4,1740,76,95,1465,advancedPawn bishopEndgame crushing endgame long,https://lichess.org/qOQhLmVw#93,
04Ojj,8/1p3k1p/p3P1p1/2PP4/2K1b2P/8/1P3P2/8 b - - 0 35,f7e7 c4d4 e4b1 d4e5,1722,74,97,328,advantage bishopEndgame defensiveMove endgame short,https://lichess.org/9iQkwadt/black#70,
05WEO,8/4k3/1p3P2/3pP1p1/bP1P2pp/3B4/5KP1/8 b - - 0 34,e7e6 d3f5 e6f5 f6f7,1709,77,96,12234,advancedPawn bishopEndgame crushing endgame master sacrifice short,https://lichess.org/UVUSP54G/black#68,
05i3A,5B2/p1p5/1k6/2p4p/P1P2Kp1/8/8/8 w - - 2 36,f4g5 g4g3 g5h5 g3g2 a4a5 b6c6,1729,71,94,12650,advancedPawn bishopEndgame crushing defensiveMove endgame long,https://lichess.org/Hh3wBqun#71,
06Rus,8/8/8/3k1K2/4pP2/4B3/2p5/8 w - - 1 58,f5f6 d5c4 f4f5 c4d3 e3c1 e4e3 f6g6 e3e2 f5f6 e2e1q,1708,112,63,15,advancedPawn bishopEndgame crushing endgame promotion veryLong,https://lichess.org/oYJHlKQp#115,
06wQr,8/5p2/pB4p1/P4p1p/3p1P1P/2k5/4K3/8 w - - 3 55,b6c7 c3c2 c7b6 d4d3,1711,74,92,1795,bishopEndgame crushing endgame master short,https://lichess.org/F8x5toMG#109,
06xmE,8/7p/p2Bp1p1/1k2P3/2p1K1P1/2P4P/P4b2/8 w - - 0 36,e4f3 f2e1 f3e4 e1c3,1749,76,95,9003,bishopEndgame crushing endgame master short,https://lichess.org/MR7bFdci#71,
084gt,1B6/4b3/p1k1p1p1/4P3/P2K2P1/8/8/8 w - - 7 36,d4c4 c6b7 b8d6 e7d6 e5d6 b7c6,1795,75,93,219,bishopEndgame crushing endgame long,https://lichess.org/sF6QIHMe#71,
08rqP,8/pbP5/3k4/3Pp3/PP2K3/6P1/8/8 w - - 1 40,g3g4 b7d5 e4f5 d5e6,1743,75,99,1359,bishopEndgame crushing endgame short,https://lichess.org/PzYTPArh#79,
0AlfR,8/8/8/5ppk/7p/2B4K/8/8 w - - 2 54,c3e5 g5g4 h3g2 h5g5,1747,74,93,222,bishopEndgame crushing defensiveMove endgame short,https://lichess.org/pBoD7xUa#107,
0B13S,8/7p/6p1/P2p4/2bK1PP1/1k6/2pB4/8 b - - 0 42,b3b2 f4f5 g6f5 g4f5 c2c1q d2c1,1712,89,84,27,bishopEndgame crushing endgame long,https://lichess.org/udzQq146/black#84,
0BCjS,5k2/1bP5/6P1/P3KP1p/1p5P/8/8/8 w - - 0 47,f5f6 b4b3 a5a6 b7a6 e5d6 b3b2 g6g7 f8f7 g7g8b f7g8,1789,77,95,11990,advancedPawn bishopEndgame crushing endgame veryLong,https://lichess.org/aAsrN405#93,
0BFvL,8/2K1k2B/5p2/5Pp1/6P1/8/8/1b6 w - - 10 50,c7c6 b1e4 c6c5 e4f3,1764,74,88,890,bishopEndgame crushing endgame short,https://lichess.org/VTLWuofW#99,
0C1Yf,8/8/3kP1p1/p2P1p1p/P1PK1P1b/8/8/8 b - - 1 45,h4g3 c4c5 d6e7 d4e5 g3f4 e5f4,1745,74,97,2732,bishopEndgame crushing endgame long,https://lichess.org/twiNafE5/black#90,
0Ct5F,8/8/4P2k/3K2p1/5b2/8/8/8 b - - 0 59,h6g6 d5c6 g6f6 c6d7 g5g4 e6e7 g4g3 e7e8q,1708,77,76,127,advancedPawn bishopEndgame crushing endgame promotion veryLong,https://lichess.org/wWV8kbwd/black#118,
