PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00pYK,2r3k1/1p2n1p1/p2b2r1/3q1pPQ/3Pp1P1/1P2B2R/P6P/5RK1 b - - 0 22,c8f8 h5h7 g8f7 g4f5 f7e8 f5g6 f8f1 g1f1,1703,162,100,18,equality kingsideAttack middlegame trappedPiece veryLong,https://lichess.org/1B6oNZCt/black#44,
01chU,1N4k1/7p/PR1n2r1/1b6/1P3R2/3p3r/1P4P1/4N1K1 w - - 0 45,e1d3 h3d3 a6a7 d3d1,1748,197,100,15,equality hangingPiece middlegame short,https://lichess.org/sEbtzZxR#89,
03ZnP,r2qr2k/p5pp/1p3p2/3PnQ2/bp2P3/7P/P2BBPP1/R4RK1 w - - 0 23,d2b4 g7g5 f2f4 a4d7 f4e5 d7f5,1707,297,-75,4,equality long middlegame quietMove trappedPiece,https://lichess.org/H6IlCoVE#45,
03elI,r2q1rk1/pb4Bp/4p3/2p4N/1P1p3n/P4B2/5bPP/R2Q1R1K b - - 1 21,h4f3 g7f8 d8h4 f8d6 f3h2 d6h2,1758,353,100,4,equality long middlegame,https://lichess.org/uvIGsVkn/black#42,
04nYt,8/pp1n1rk1/5q2/2pp1pPr/3PpQ2/1PP1P2R/P2N2P1/6K1 b - - 0 32,f6g5 h3g3 g5g3 f4g3,1744,353,100,10,equality middlegame pin short,https://lichess.org/aN3R0w7i/black#64,
0505B,3N4/1R2ppkp/6p1/6P1/4p1n1/4P1P1/r4P2/6K1 b - - 2 32,a2f2 b7e7 g7f8 e7e4,1758,145,100,37,endgame equality short,https://lichess.org/wkzwYumW/black#64,
06FA7,6k1/5pp1/4p2p/p2p4/1n1q4/1P5P/4BPP1/2Q3K1 b - - 0 29,b4d3 c1c8 g8h7 c8c2,1764,353,100,9,endgame equality short,https://lichess.org/sS1ufd06/black#58,
06Tl5,r6q/pp3p2/4p1k1/3p1p2/8/2NR4/PPP3PP/5RK1 b - - 2 19,h8h5 d3h3 h5h3 g2h3,1770,191,100,12,endgame equality short,https://lichess.org/Jn0j1RP1/black#38,
06s4a,rn2k2r/ppp2ppp/4b3/3N4/3bq3/1Q4P1/PP2NP1P/R3KB1R b KQkq - 1 11,e4h1 d5c7 e8d8 c7e6,1774,267,100,13,equality fork middlegame short,https://lichess.org/f4jFoUaN/black#22,
08Bcj,2kr2r1/1p3p2/pP3p2/3pbn1p/N2q3P/3N2P1/P4P2/1R1Q1K1R b - - 4 24,e5g3 b1b4 f5e3 f2e3,1756,326,100,27,equality middlegame short,https://lichess.org/yg8brUbe/black#48,
08UaO,r4k2/ppp3p1/2n3Qr/1q5p/1bbP2nP/4BR2/PP3P2/R5K1 b - - 5 22,g4f6 e3h6 g7h6 a1e1 b4e7 f3f6 e7f6 g6f6,1725,282,100,4,equality middlegame pin quietMove veryLong,https://lichess.org/3VFxhULG/black#44,
08dVM,8/pp6/4k2p/3p2p1/2pP2K1/P1P4P/1P6/8 b - - 0 38,b7b5 g4h5 e6f5 h5h6,1764,239,100,13,endgame equality pawnEndgame short,https://lichess.org/eAWip96Q/black#76,
08sm2,5rk1/6p1/p3P2p/1p6/4R3/P1N3qP/1P2RrP1/3Q2K1 w - - 5 33,e2f2 f8f2 d1f1 f2f1,1769,319,100,4,endgame equality short,https://lichess.org/ojEjQSJj#65,
09MJ4,6k1/2q2p2/4p1p1/1B1pP3/3P4/2r3PK/3Q1P2/8 b - - 33 54,c3f3 b5d3 f3d3 d2d3,1717,274,100,7,endgame equality short,https://lichess.org/xceQSGfl/black#108,
0CNTM,3r4/3Pbk1p/NP3pp1/R3p3/8/8/5PPP/6K1 w - - 3 40,b6b7 d8d7 g2g4 d7b7,1789,276,100,6,endgame equality short,https://lichess.org/6MwgYlsK#79,
0CTlV,2r5/p1q2p1k/1p3Ppp/2p5/4rP1Q/P7/1B4PP/3R1RK1 w - - 2 26,b2e5 c7e5,1702,374,-50,8,equality middlegame oneMove,https://lichess.org/ANKLkFCd#51,
0DVsl,r1b2rk1/pp1qb1pp/3p4/4pp2/2N5/PP1Q3R/3N1PPP/4R1K1 b - - 1 24,b7b5 d3d5 d7e6 d5a8,1711,315,100,12,equality fork middlegame short,https://lichess.org/4f0d3AaM/black#48,
0E4EM,3r1rk1/4Rpp1/pq2b2p/3p4/3P1Q2/PpP5/1P3PPP/4R1K1 b - - 3 29,f8e8 e1e6 b6e6 e7e6,1736,79,77,130,equality middlegame short,https://lichess.org/HyeH6iWz/black#58,
0Hkpj,r4rk1/1pb2ppp/p3p3/6B1/QP1nN3/P5Pb/5P1P/R3R1K1 w - - 0 19,a1d1 b7b5 d1d4 b5a4,1732,201,-33,9,equality middlegame short trappedPiece,https://lichess.org/O8NJDqsc#37,
0IJxs,2rqk2r/p1nb4/1p2p1p1/3pP1p1/3P2P1/P1Q2NB1/1P3P2/1KR1R3 w k - 0 22,f3g5 d8g5,1730,259,-60,6,equality hangingPiece middlegame oneMove,https://lichess.org/tGMFY2RG#43,
0Khmw,2kr1r2/ppp1q2p/1b1p1p2/4n3/2BPP1np/N1P4Q/PP4PP/4RR1K b - - 1 18,e5c4 h3g4 f6f5 f1f5,1781,154,0,6,equality hangingPiece middlegame short,https://lichess.org/jKBcIGVe/black#36,
0MXrW,r3k2r/6bp/p1P1p1p1/1p1n1b2/1q6/1B3N2/PP3PPP/R1BQR1K1 w kq - 0 17,d1d5 b4e1 f3e1 e6d5,1702,78,100,398,equality kingsideAttack middlegame short,https://lichess.org/pQQW2U6b#33,
0NEHe,r2qk1nr/p1pb1ppp/2Nb4/3p4/4p3/1P2P3/PBPP1PPP/RN1QK2R b KQkq - 0 8,d7c6 b2g7 d8g5 g7h8 g5g2 h1f1,1755,325,100,7,defensiveMove equality long opening trappedPiece,https://lichess.org/1D4MqRyJ/black#16,
