PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
03UJM,8/pp4p1/3p1krp/2p5/P2p1R2/1P1P1KN1/2P2P2/1r6 b - - 14 51,f6g5 f4f5 g5h4 f5h5,1760,80,79,682,endgame hookMate mate mateIn2 short,https://lichess.org/NGyghNCc/black#102,
0wNDg,2r2r2/1p3pk1/p3bNpp/3pPp2/5P1Q/2q2R2/P5PP/3R3K b - - 8 27,c3c2 h4h6 g7h6 f3h3 h6g7 h3h7,1719,75,95,10687,attraction hookMate long mate mateIn3 middlegame sacrifice,https://lichess.org/DrLP5PnP/black#54,
0yffW,6r1/2pnqpNp/1p1p1krP/pPnPp1pR/P3PPP1/6Q1/1PB5/2K4R b - - 0 29,e5f4 g3f4 g5f4 h5f5,1773,76,81,258,hookMate mate mateIn2 middlegame sacrifice short,https://lichess.org/13rbcNdn/black#58,
1Mfls,2k5/p1pb3p/1pN3p1/1P6/P3R3/2q5/2P3PP/3R3K b - - 0 25,c3c2 e4e8 d7e8 d1d8 c8b7 d8b8,1745,74,91,1050,endgame fork hookMate long mate mateIn3 sacrifice,https://lichess.org/psBpwTve/black#50,
1n7Q5,8/pp4p1/3p3k/1N1P4/1P4Rp/3Rn2P/1P3PP1/4r1K1 w - - 4 34,g1h2 e3f1 h2g1 f1g3 g1h2 e1h1,1727,80,61,241,discoveredAttack endgame hookMate long mate mateIn3,https://lichess.org/wrVP6Fvg#67,
1pIhb,r5rk/3R4/p3p1pP/1pp1Nq2/5PQ1/6P1/PP4K1/8 b - - 5 33,f5g4 e5f7 h8h7 f7g5 h7h6 d7h7,1725,80,82,743,doubleCheck endgame exposedKing hookMate long mate mateIn3,https://lichess.org/C2gZitum/black#66,
1r1qA,8/1p1R2kp/6p1/1p6/2p1PNPK/q4PP1/8/8 b - - 1 37,g7f6 g4g5 f6e5 d7d5,1732,76,96,10075,endgame hookMate mate mateIn2 short,https://lichess.org/15Et4UNw/black#74,
1sjou,r1b3k1/6p1/1p4Np/2pP1p1P/1nP5/p1K5/5PPB/4R3 b - - 1 32,a3a2 e1e8 g8f7 e8f8,1769,78,92,1772,endgame hookMate mate mateIn2 short,https://lichess.org/GU1cv0ih/black#64,
2pP2a,1R1N4/8/1P3nk1/7p/7P/6PK/1r6/8 w - - 4 48,b6b7 f6g4 d8c6 b2h2,1717,77,93,6005,endgame hookMate mate mateIn2 quietMove short,https://lichess.org/Sq6qQCxe#95,
2r6GA,3q1r1k/5pp1/4pN1p/1bp1P1P1/1p2B1PQ/3Pp2R/nP5P/6K1 b - - 3 26,b5d3 h4h6 g7h6 h3h6 h8g7 h6h7,1718,74,94,1435,hookMate kingsideAttack long master mate mateIn3 middlegame sacrifice,https://lichess.org/VZuzkNs6/black#52,
