PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
07n6T,r3k2r/1b1p1pp1/p3p2p/2qnP3/2B3Q1/P1P5/3B1PPP/R4RK1 w kq - 0 17,g4g7 e8c8 c4a6 b7a6,1870,78,92,2003,advantage castling middlegame short,https://lichess.org/sVMFbtQ9#33,Sicilian_Defense Sicilian_Defense_Open
0I4Q7,r1bkr3/p4ppp/2p5/8/8/2P5/P3BPPP/R3K2R b KQ - 2 15,c8a6 e1c1 d8c7 e2a6,1879,75,100,115,advantage castling discoveredAttack endgame short,https://lichess.org/ZoI703MX/black#30,Sicilian_Defense Sicilian_Defense_Kramnik_Variation
1tgGM,2bk1r2/p1p3p1/2p2bBp/4p3/8/6B1/PrP2PPP/R3K2R b KQ - 1 16,c8e6 e1c1 d8e7 c1b2,1845,90,92,5930,castling crushing discoveredAttack middlegame short,https://lichess.org/s2dJ2y5z/black#32,Scotch_Game Scotch_Game_Scotch_Gambit
22QEq,r1bqk2r/1p1p1p2/p1N1p2p/6p1/1b2n3/2N3B1/PPP1BPPP/R2QK2R b KQkq - 0 11,d7c6 d1d8 e8d8 e1c1,1861,81,94,19605,castling crushing discoveredAttack middlegame short,https://lichess.org/2GZ10LkN/black#22,Sicilian_Defense Sicilian_Defense_Four_Knights_Variation
2TR1n,r3k2r/pp1qb1pp/2np1n2/2p2b2/2B2B2/1N6/PPP2PPP/RN1QR1K1 w kq - 6 11,f4d6 e8c8 b3c5 d7d6,1898,77,90,2070,advantage castling intermezzo middlegame short,https://lichess.org/dyo8jkej#21,Philidor_Defense Philidor_Defense_Exchange_Variation
2bX51,r3k2r/pp4p1/2p2qb1/2bp3p/4nB2/1QP1P2P/PP1N1P2/R3KB1R w KQkq - 2 15,b3b7 e8g8 d2e4 g6e4,1866,84,91,1551,advantage castling middlegame short,https://lichess.org/77BVNn3p#29,Queens_Pawn_Game Queens_Pawn_Game_Chigorin_Variation
3QnUc,r3k2r/4bp1p/p1q1pp2/P2p1b2/1p1P4/1BN5/1PP1QPPP/R3K2R b KQkq - 0 15,b4c3 b3a4 c6a4 a1a4 c3b2 e1g1,1849,76,93,580,advantage castling defensiveMove long middlegame pin,https://lichess.org/DPjWH1OU/black#30,Caro-Kann_Defense Caro-Kann_Defense_Exchange_Variation
44E1M,4k2r/p1rq1ppp/1p1pp3/3p4/QP1n4/3PPN2/2R2PPP/2R3K1 w k - 0 18,f3d4 d7a4 c2c7 e8g8,1883,76,87,740,advantage castling defensiveMove middlegame short,https://lichess.org/Nw1ySUC6#35,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System
49Smr,r3kb1r/pp3ppp/2n2n2/2p1P3/8/2P2b2/PP2BPPP/RNBR2K1 w kq - 0 10,e5f6 f3e2 f6g7 f8g7 d1e1 e8c8,1853,79,97,3959,advantage castling defensiveMove hangingPiece long middlegame,https://lichess.org/9UryRkcl#19,Sicilian_Defense Sicilian_Defense_Alapin_Variation
4Dsdk,r2q3r/pQpk1p1p/2n2p2/1B6/8/8/P1P2PPP/4K1NR b K - 1 13,d8e7 g1e2 e7d6 e1g1,1885,77,87,387,advantage castling defensiveMove middlegame short,https://lichess.org/olBZT1cp/black#26,Alekhine_Defense Alekhine_Defense_Scandinavian_Variation
4nuQN,2r2rk1/pp3ppp/5n2/2p1p3/q3P3/1n2B2P/P1B1QPP1/R3K2R b KQ - 1 18,c5c4 e1g1 b3d4 e3d4 a4c2 e2c2,1871,82,100,42,advantage castling long middlegame,https://lichess.org/jAUfBAZS/black#36,Sicilian_Defense Sicilian_Defense_Lasker-Pelikan_Variation
4rKIk,1B2k2r/pQ1n1pp1/4b2p/2b2q2/8/2P5/PP3PPP/RN2R1K1 w k - 1 18,e1f1 e8g8 b8a7 e6d5,1845,275,100,6,castling equality middlegame short,https://lichess.org/nkaZYkTC#35,
6VdQQ,1q3rk1/1P1n1pp1/1rp1p2p/p2pN3/P2P4/1RP1P2P/2Q2PP1/4K2R b K - 4 19,b6b7 e5d7 b7b3 d7b8 f8b8 e1g1,1835,83,93,3701,advantage castling defensiveMove long middlegame,https://lichess.org/SNQKsakL/black#38,Semi-Slav_Defense Semi-Slav_Defense_Other_variations
75sfA,r1bqk2r/pppp1ppp/5n2/4n3/2B5/2N5/PP2QPPP/R1B1K2R b KQkq - 1 9,d7d6 f2f4 c8g4 e2e3 e8g8 f4e5 f8e8 e1g1,1879,74,93,13105,advantage castling defensiveMove opening pin veryLong,https://lichess.org/PZqxj5wr/black#18,Danish_Gambit Danish_Gambit_Other_variations
7n5FZ,rnb1k2r/pp2Bppp/2p5/4P3/8/2P3P1/PP2N2P/R2QKB1q b Qkq - 0 14,e8e7 d1d6 e7e8 e1c1,1818,82,90,1256,advantage castling defensiveMove middlegame short,https://lichess.org/uTjclf27/black#28,Czech_Defense Czech_Defense_Other_variations
8NJeH,r3kr2/ppp3Qp/5p2/3RnqB1/8/2P2P2/PPP4P/2K4R w q - 0 16,d5e5 f5e5 g5d2 e8c8,1804,75,93,4642,advantage castling defensiveMove hangingPiece middlegame short,https://lichess.org/gwW4NK6w#31,Vienna_Game Vienna_Game_Vienna_Gambit
8lNeH,r2k3r/1pq3pp/p3Qn2/4p3/8/1Bn5/PPP3PP/R3K2R b KQ - 0 17,c3e4 e1c1 f6d7 d1d7 c7d7 h1d1,1862,79,96,4438,advantage castling discoveredAttack exposedKing fork long master middlegame pin sacrifice,https://lichess.org/pG2yxI0U/black#34,Sicilian_Defense Sicilian_Defense_Najdorf_Variation
9Itsj,r2qk1nr/ppp1bppp/2n5/1B2p3/4PB2/5P2/PPP2P1P/RN1QK2R w KQkq - 0 8,f4e5 d8d1 e1d1 e8c8 d1e2 c6e5,1850,81,95,22682,advantage castling discoveredAttack long opening,https://lichess.org/kp5ZNTnE#15,Philidor_Defense Philidor_Defense_Other_variations
Bmzkw,2k1rbnr/pppq1pp1/2nP4/1B2N2p/5B2/5Q1P/PPP2PP1/R3K2R b KQ - 2 13,f8d6 e1c1 e8e5 f4e5,1896,75,97,320,advantage castling middlegame short,https://lichess.org/eiNRDczX/black#26,Englund_Gambit Englund_Gambit_Hartlaub-Charlick_Gambit
CZJdP,r3kb1r/ppp3pp/8/3N1p2/2BPn1bq/1Q3P2/PP4PP/R1B1R1K1 w kq - 1 13,f3e4 h4e1 c4f1 e8c8,1856,208,100,15,castling defensiveMove equality hangingPiece opening short,https://lichess.org/fKgmFd4w#25,
Ch070,r2qk2r/ppp2ppp/2b1p3/8/2QPn3/B1P5/P3PPPP/R3KB1R w KQkq - 3 11,f2f3 d8h4 g2g3 e4g3 h2g3 h4h1 c4c5 e8c8,1820,76,95,15439,advantage castling defensiveMove middlegame veryLong,https://lichess.org/Cgh92FD8#21,Queens_Pawn_Game Queens_Pawn_Game_Zukertort_Variation
DNoFl,r3k2r/pbp2p2/7p/8/8/6P1/P2K1PP1/1R3R2 w kq - 0 19,b1b7 e8c8 d2c3 c8b7,1890,77,87,1017,castling crushing discoveredAttack endgame rookEndgame short,https://lichess.org/UTeDufNP#37,
DwI23,r1b1r1k1/ppp2pp1/2n4p/8/1b1P3q/2NBP1N1/PP3QPP/R3K2R b KQ - 4 13,c6d4 e1g1 c8e6 e3d4,1875,82,88,720,advantage castling master middlegame short,https://lichess.org/szZXpDaH/black#26,Mikenas_Defense Mikenas_Defense_Other_variations
