PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0JwMd,8/2K5/5k2/3Pp1p1/4P1P1/4bP2/8/8 b - - 4 67,f6e7 d5d6 e7e6 d6d7 e3d2 d7d8n,1832,84,85,575,advancedPawn bishopEndgame crushing endgame long promotion underPromotion,https://lichess.org/KD50OMeb/black#134,
21vlh,7k/6p1/2P5/2Qp3p/1Pb4P/2K5/3pr1P1/8 w - - 0 46,c6c7 d2d1n c3d4 e2e4,1809,86,92,222100,advancedPawn endgame exposedKing mate mateIn2 promotion short underPromotion,https://lichess.org/Vpz6OEEG#91,
2Qu17,8/6P1/3n1KBk/8/8/8/1p6/8 b - - 2 52,b2b1q g7g8n,1890,79,97,1374,advancedPawn endgame mate mateIn1 oneMove promotion underPromotion,https://lichess.org/7u6iIYWV/black#104,
2Wg7H,8/1P2R3/7p/8/4p1P1/2K2k1P/1r1p4/8 w - - 0 45,b7b8q d2d1n c3d4 b2b8,1821,80,91,2465,advancedPawn advantage endgame promotion short underPromotion,https://lichess.org/YeZ5srY0#89,
2WyFZ,3R3r/p1P1kp1b/4pnpp/7P/6P1/2p5/P4P2/3R2K1 b - - 0 31,c3c2 c7c8n,1879,81,90,7282,advancedPawn endgame master mate mateIn1 oneMove promotion underPromotion,https://lichess.org/kfXf7kGY/black#62,
6HrIA,4r3/pp3Pk1/2p5/6qp/3P3P/2P1rP2/PP6/1K3RR1 b - - 0 27,g5g1 f7e8n e3e8 f1g1,1847,79,90,2448,advancedPawn advantage endgame intermezzo master promotion short underPromotion,https://lichess.org/NYYOPyuJ/black#54,
6VZpZ,8/1P3R2/2k1p2r/3p4/3P4/7p/P4p1K/8 b - - 0 44,f2f1q b7b8n c6b6 f7f1,1876,86,92,201672,advancedPawn advantage endgame promotion short underPromotion,https://lichess.org/XDQ18gwT/black#88,
6Zpmb,1k5r/1p6/p2P4/3n1Q2/1P6/P5pP/3q2P1/2R2R1K w - - 0 38,f5c2 h8h3 g2h3 g3g2 h1h2 g2f1n,1806,81,89,1669,advancedPawn advantage doubleCheck endgame fork long promotion sacrifice underPromotion,https://lichess.org/Z3G8n9hJ#75,
8fZjt,8/8/1PR5/3p1k2/3P2pK/2P5/5pr1/8 w - - 4 56,c6c8 g2h2 h4g3 f2f1n,1891,86,92,8067,advancedPawn endgame mate mateIn2 promotion rookEndgame short underPromotion,https://lichess.org/3DjHzgWu#111,
CVd1E,8/1R6/p5P1/4k3/r5PK/8/1p6/8 b - - 0 44,e5f6 g6g7 b2b1r g7g8n f6g6 b7b1,1819,83,89,683,advancedPawn advantage endgame exposedKing long promotion rookEndgame underPromotion,https://lichess.org/ObvVtT5v/black#88,
DUWPQ,5r1k/5ppP/p3pb1P/3p4/1p1Q1P2/qP2B3/P1b5/K2R2R1 b - - 1 28,f6d4 e3d4 c2d1 h6g7 h8h7 g7f8n,1805,84,88,2841,advancedPawn advantage fork long middlegame pin promotion underPromotion,https://lichess.org/fnjPk21v/black#56,
