PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
003wQ,2r2rk1/6pp/3Q1q2/8/3N1B2/6P1/PP1K3P/R4b2 w - - 0 24,a1f1 f6d6 f4d6 f8f1,1986,76,92,1855,advantage discoveredAttack middlegame pin short,https://lichess.org/W3wvnzlo#47,
006fF,r1b4r/pp1k2pp/2nb2q1/1B1p2B1/3p3Q/8/PPP2PPP/3RR1K1 b - - 5 17,h7h6 h4g4 d7c7 g5d8 h8d8 g4g6,1928,76,96,4269,advantage discoveredAttack exposedKing long middlegame,https://lichess.org/mAf9SSin/black#34,Italian_Game Italian_Game_Two_Knights_Defense
00RtC,r4k2/ppp3p1/3p3r/2q5/2NnP3/2Q2PBp/PP3R1P/5RK1 w - - 4 25,b2b4 d4e2 g1h1 c5f2 c3g7 f8g7,1943,82,86,54,advantage deflection discoveredAttack long middlegame pin,https://lichess.org/cgruxBCC#49,
00zdb,2rqr1k1/pb3p2/1p4pp/n2p4/P1pRnN2/2P2N1P/BPQ2PP1/3R2K1 b - - 2 20,c8c5 d4e4 d5e4 d1d8,1946,76,94,2212,advantage discoveredAttack master middlegame short,https://lichess.org/kUZZ0jiG/black#40,
023LV,1rq2rk1/3b1pnp/3p2p1/4b3/2PBP3/6PP/3QN1BK/1R3R2 b - - 0 22,c8c4 b1b8 f8b8 d4e5 d6e5 d2d7,1997,75,85,113,advantage discoveredAttack long middlegame,https://lichess.org/6OMk0yiz/black#44,
02YSF,8/p5k1/2p1R1P1/3p4/3P4/r7/1r6/5RK1 b - - 5 32,b2c2 f1f7 g7h6 g6g7 h6h7 e6h6 h7h6 g7g8q,1962,75,87,470,advancedPawn crushing deflection discoveredAttack endgame exposedKing promotion rookEndgame veryLong,https://lichess.org/qgP1xvdW/black#64,
02ye0,2kr1bR1/ppp2p1p/4pq2/8/5p2/2N2Q2/PPPBBK2/8 w - - 1 24,f3f4 f6f4 d2f4 f8c5 f2f3 d8g8,1983,76,92,1096,advantage discoveredAttack exposedKing long middlegame,https://lichess.org/1xo7QtPE#47,
03Oqv,r2qkn1R/p4pp1/2n1p3/1N1p2P1/1ppPPN2/5P2/PPPQ4/2K5 b q - 0 19,d8g5 h8f8 e8f8 f4e6 f7e6 d2g5,1952,74,94,9016,attraction crushing discoveredAttack long middlegame,https://lichess.org/oYj5Qz1x/black#38,Rapport-Jobava_System Rapport-Jobava_System_Other_variations
03UM7,3rr1k1/pp3pp1/n1p4p/4q3/1P2N3/P3Q3/2P3PP/1K2R2R b - - 0 22,d8d4 e4f6 g7f6 e3g3 g8f8 e1e5,1942,130,73,11,advantage discoveredAttack kingsideAttack long middlegame sacrifice,https://lichess.org/YBvmoHro/black#44,
04DZk,r3kb1r/pbp1p1pp/1pn2n2/3q1p2/2QP4/5NP1/PP2PPBP/RNB2RK1 w kq - 1 9,f3e5 d5g2 g1g2 c6e5 g2g1 e5c4,1950,75,95,4914,crushing discoveredAttack kingsideAttack long opening sacrifice,https://lichess.org/VbByWpEu#17,Dutch_Defense Dutch_Defense_Fianchetto_Variation
04Vom,r1bQ4/3p2pk/3B1p1p/pNP2P2/P3q3/3n4/1P4PP/R4RK1 w - - 0 27,d6f8 c8b7 f1f3 a8d8,1982,76,93,5280,crushing discoveredAttack middlegame quietMove short,https://lichess.org/TguJkcMT#53,
04aiA,2r5/5p1p/p2q1kr1/3p4/Q3P3/5N2/P4PPP/3R2K1 b - - 0 30,d6f4 e4e5 f6g7 a4f4,1910,76,92,2548,crushing discoveredAttack endgame short,https://lichess.org/zAQWTw5A/black#60,
05NTe,3kr2r/1RR3p1/2p5/7p/2Pq2bP/3Pn1P1/P2QP1B1/6K1 w - - 2 32,d2a5 e3c4 g1h2 c4a5,1959,81,66,34,crushing discoveredAttack master middlegame short,https://lichess.org/IpJSZRJW#63,
05plu,4q3/2p2p2/3p2kp/3P4/R3P2P/6P1/2Q3K1/1r6 b - - 1 40,b1e1 e4e5 g6g7 a4g4 g7h8 c2d2,1980,75,86,151,crushing discoveredAttack endgame long,https://lichess.org/zGFZwKtq/black#80,
06Xhx,8/p3nk2/1p5p/2b3q1/2p1N1n1/1P3B2/PBPP4/2K2R2 b - - 4 26,g5g6 f3g4 f7e8 g4h5 g6h5 e4f6 e8d8 f6h5,1986,82,83,37,attraction crushing discoveredAttack exposedKing fork middlegame pin veryLong,https://lichess.org/jqCznsWm/black#52,
074kn,1rb1r1k1/p4pb1/1p3qpp/2p5/4B2P/2N1P3/PPPQ1PP1/2KR3R w - - 2 16,d2d6 f6d6 d1d6 g7c3 e4c6 c3e5,1982,75,86,164,advantage discoveredAttack long middlegame,https://lichess.org/5G0NJ2c8#31,Modern_Defense Modern_Defense_Other_variations
07Hd9,r5b1/6R1/p7/1p5k/2n3p1/P5P1/8/2B3K1 b - - 0 37,c4e5 g7g5 h5h6 g5g8 h6h7 g8a8,1985,74,94,6255,crushing discoveredAttack endgame fork long,https://lichess.org/uSh3p7E4/black#74,
07bmr,4rr1k/6pp/p5q1/1p6/3P1Pb1/2P5/PP1N1P1P/R3R1KQ w - - 1 26,e1e8 g4h3 h1g2 g6g2,1903,76,87,1149,discoveredAttack kingsideAttack mate mateIn2 middlegame short,https://lichess.org/4EStTy95#51,
07kgQ,2r3k1/1b3p1p/p3pb2/1p2N1p1/1P6/P1n4P/5PP1/R3RBK1 w - - 0 27,a1c1 f6e5 e1e5 c3e2 f1e2 c8c1,1929,92,68,21,advantage discoveredAttack long master middlegame,https://lichess.org/xEvruKLW#53,
07y5T,r4rk1/pbq2ppp/1pnNp3/4P3/3P4/3B4/P3QPPP/1K1R3R b - - 4 16,c6d4 d3h7 g8h7 d1d4,1966,77,80,301,advantage discoveredAttack kingsideAttack middlegame short,https://lichess.org/ZOp8lfAr/black#32,English_Opening English_Opening_Other_variations
08Dz6,4R3/p2r3B/2bq1ppQ/5k2/8/1P6/P4PPK/8 w - - 3 38,g2g3 d7h7 h6h7 c6e8 h7h3 f5e5,1907,76,90,176,advantage defensiveMove discoveredAttack endgame long master masterVsMaster pin,https://lichess.org/Rb4w7sn0#75,
08QJL,1r3rk1/1p2pp1p/p1b2bp1/3Bn3/2P5/PPN3Pq/2Q1PP1P/1RB2RK1 w - - 1 19,f2f4 e5g4 e2e3 f6c3 d5c6 b7c6,1919,73,94,13844,advantage discoveredAttack long middlegame,https://lichess.org/4TftZMH6#37,English_Opening English_Opening_Symmetrical_Variation
08yIb,2kr3r/ppp1n2p/2nb1p2/5bp1/4N2B/2PBPN2/PPK2PPP/R6R w - - 0 15,h4g3 d6g3 h2g3 d8d3 c2d3 h8d8 d3e2 f5e4,1991,74,88,996,advantage attraction deflection discoveredAttack middlegame pin sacrifice veryLong,https://lichess.org/F4HodCJS#29,Englund_Gambit Englund_Gambit_Other_variations
09Pji,N6k/pp5p/4Q1p1/2pPb1q1/2P1pr2/7P/PP2BP1K/4RR2 w - - 2 24,e6e8 f4f8 e8e5 g5e5,1939,77,92,1242,advantage discoveredAttack middlegame short,https://lichess.org/szBD9nAx#47,
09frX,3r4/4R1b1/1R2Bp2/7k/4P1pN/P1r5/2n2P1P/2B3K1 w - - 2 23,e7g7 d8d1 g1g2 c2e1 g2f1 e1f3 f1e2 d1e1,1962,75,90,3698,discoveredAttack hookMate mate mateIn4 middlegame veryLong,https://lichess.org/b8Twjxpo#45,
09v10,r4rk1/5ppp/2Q3n1/8/3N4/q3PP1P/6P1/1R3RK1 w - - 1 26,b1a1 a3e3 g1h1 a8a1 f1a1 e3d4,1920,129,-100,11,advantage discoveredAttack fork long middlegame,https://lichess.org/nuZuyBiS#51,
0AR06,r3k2r/pp3ppp/1B2p3/1b1pP3/1b6/1P3N2/P3nPPP/R2Q1K1R w kq - 1 15,f3d4 e2d4 f1g1 d4e2 d1e2 b5e2,1962,74,94,5683,crushing discoveredAttack long middlegame,https://lichess.org/viRM2f3h#29,French_Defense French_Defense_Advance_Variation
0B0Ny,5r2/1q3P1k/p1r3p1/1pB1R1Qp/3p1N2/3P2PP/PPP4K/5b2 w - - 1 28,c5f8 c6c2 h2g1 c2g2 g1h1 g2g3 h1h2 g3g5,1971,84,17,37,crushing discoveredAttack master middlegame veryLong,https://lichess.org/HSj0m8OX#55,
0BGvj,5R2/k7/p1pN4/Bp2p3/3bP3/3P4/P2r4/K1R5 w - - 2 33,a1b1 d2b2 b1a1 b2b4 c1c3 d4c3,1951,76,94,10895,discoveredAttack endgame long mate mateIn3,https://lichess.org/XMHx23Gh#65,
0BK7j,r1bqk3/pp1p1p2/2p1p1pr/2Q5/4N3/2P5/PP3P1P/2KR3R b q - 1 17,d7d5 e4d6 e8f8 d6f5,1997,138,19,16,advantage discoveredAttack middlegame short,https://lichess.org/Fo1pnonl/black#34,Modern_Defense Modern_Defense_Standard_Line
0Bqpc,1r3rk1/1b2qppp/pn3n2/2bp4/7Q/P1NBPN2/1B3PPP/1R3RK1 b - - 7 17,b6c4 c3d5 b7d5 b2f6,1947,80,84,346,crushing discoveredAttack middlegame short,https://lichess.org/rNg1SBYb/black#34,Queens_Indian_Defense Queens_Indian_Defense_Kasparov-Petrosian_Variation
0CYah,2q2rk1/1p2p3/p2pb1pB/8/1n2P1P1/1Nr2P2/P1P4Q/1K1R3R w - - 0 23,h6d2 c3b3 a2b3 c8c2 b1a1 c2a2,1977,77,88,897,discoveredAttack long mate mateIn3 middlegame queensideAttack,https://lichess.org/WW5jMqt1#45,
0Ci7D,2rk4/1p2p2Q/3p1b2/p2P4/6P1/2q1P2P/P2R4/2K2R2 w - - 0 31,d2c2 c3a1 c1d2 c8c2 h7c2 a1f1,1910,75,86,130,crushing discoveredAttack endgame exposedKing long,https://lichess.org/w1yGT3y1#61,
0DDls,1r4k1/pb4p1/1p5p/5Q2/5B1q/8/PP4PP/5RK1 b - - 3 26,b8f8 f5f8 g8f8 f4g5 f8e8 g5h4,1950,78,88,47,crushing discoveredAttack endgame long sacrifice,https://lichess.org/hDjtJTVo/black#52,
0Dsnu,r2q1rk1/pppb1ppp/3b4/8/3QB3/8/PPP2PPP/R1B2RK1 w - - 1 12,e4b7 d7c6 b7c6 d6h2 g1h2 d8d4,1915,74,82,204,advantage discoveredAttack long middlegame sacrifice,https://lichess.org/kxLDRSC9#23,Four_Knights_Game Four_Knights_Game_Italian_Variation
0Dtx1,r1b1k2r/1pqpnppp/p7/2bP2B1/2B3n1/5N2/PP2QPPP/2RR2K1 b kq - 2 13,f7f6 d5d6 c5d6 c4f7 e8f7 c1c7 d6c7 e2c4 d7d5 c4c7,1904,78,91,1987,clearance crushing discoveredAttack fork middlegame veryLong,https://lichess.org/lIeiF6xL/black#26,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit_Accepted
0EfVv,5k2/R4N2/6p1/6P1/2r1n2K/3r4/P7/4R3 w - - 3 42,f7e5 e4f2 e5c4 d3h3,1956,95,84,79,discoveredAttack endgame mate mateIn2 sacrifice short,https://lichess.org/0pFnUyKB#83,
0EtnL,2r5/1b5p/1p1r1kp1/p2p4/P2Kp3/1BP1RP1P/1P4P1/3R4 w - - 2 37,d1f1 c8c4 b3c4 d5c4 d4c4 b7a6 c4b3 a6f1,1993,76,96,3395,advantage attraction discoveredAttack endgame sacrifice skewer veryLong,https://lichess.org/5Ojb8HlM#73,
0FSQw,2r2r2/pp3ppk/4p1np/4P2Q/1q1P4/1P2B2R/P5PP/R5K1 b - - 4 22,c8c2 e3h6 f8h8 h6d2,1933,74,96,431,crushing discoveredAttack middlegame short,https://lichess.org/0juTNCY5/black#44,
0G1Be,3krr2/ppp1b1Rp/2n1Q3/7p/2PP4/1P6/P4P2/2K1R3 w - - 3 27,d4d5 e7a3 c1b1 e8e6,1947,75,91,2016,advantage discoveredAttack middlegame short,https://lichess.org/VZF0NdXc#53,
