PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00VIe,8/8/8/P6p/8/2RnkN2/r7/3K4 w - - 1 60,f3e1 a2d2,1987,79,94,16887,endgame mate mateIn1 oneMove vukovicMate,https://lichess.org/ugqyRWZm#119,
01a5v,4r2k/R7/1p6/5ppp/3P1P1K/4P3/PP2QPq1/2R5 w - - 0 32,f4g5 g2h2,1915,82,83,697,endgame mate mateIn1 oneMove,https://lichess.org/NLOK8h0L#63,
04hNd,8/7p/2p5/3q1pQ1/4p3/5kPP/3P1P2/6K1 b - - 2 35,d5d3 g5h5,1976,81,90,2091,endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/acB1djfT/black#70,
05cfE,r3kb1r/p1pb1ppp/2n2n2/1B2p1N1/8/2N5/PPPP1PqP/R1BQKR2 w Qkq - 2 9,d1e2 g2g5,1945,76,76,65,advantage hangingPiece oneMove opening,https://lichess.org/lUgxJsAr#17,Italian_Game Italian_Game_Two_Knights_Defense
06CZp,2kr3r/pppbq3/2np4/2bB1p1p/PP2P1pP/2PP4/6PK/RNBQ1R2 w - - 0 16,e4f5 e7h4,1918,77,74,221,mate mateIn1 middlegame oneMove,https://lichess.org/C2KFREIu#31,Bishops_Opening Bishops_Opening_Berlin_Defense
073y1,r2qr1k1/p1p2p2/1bp2R1p/4P3/6bp/2PB4/PPQ3PP/3NR2K w - - 0 21,f6h6 d8g5,1911,78,71,58,advantage middlegame oneMove,https://lichess.org/5uuGI5ux#41,
07RMb,2r1r1k1/p4pp1/2pb4/1p1q3p/3Pn3/1P2BB1P/P1Q2PP1/2R1R1K1 b - - 4 23,d5f5 e3d2,1963,135,-100,21,crushing defensiveMove middlegame oneMove,https://lichess.org/mVVZQfQT/black#46,
0Ec0c,r2q1rk1/pp2npbp/2n3p1/2p3B1/3pN3/1P1P1N2/1PPQ1PPP/R3R1K1 b - - 0 13,f7f5 e4c5,1933,80,88,109,advantage middlegame oneMove,https://lichess.org/C9oq2Y9I/black#26,Sicilian_Defense Sicilian_Defense_Old_Sicilian
0H6MP,r1bk1Qr1/3n1pP1/pp2pq2/1Np3p1/2P5/2P5/P3BPPP/3RK2R b K - 1 17,g8f8 g7f8q,1922,103,73,68,advancedPawn mate mateIn1 middlegame oneMove pin promotion,https://lichess.org/2K4WIv57/black#34,Nimzo-Indian_Defense Nimzo-Indian_Defense_Three_Knights_Variation
0IznU,4Q1rr/1b4Q1/ppk1q2p/2nn1p2/P4B2/8/1P3PBP/2R3K1 b - - 0 28,e6e8 g7c7,1915,76,93,872,master mate mateIn1 middlegame oneMove pin,https://lichess.org/boqUvZ0c/black#56,
0KkBn,r7/ppp5/4Q1B1/3p4/3P4/2P1kP2/Pq4P1/5K2 b - - 7 35,e3d2 e6e1,1905,75,94,6665,endgame mate mateIn1 oneMove,https://lichess.org/FR72iIpC/black#70,
0OTQL,3k4/1p6/1Pp2p2/2P2B2/2qPQ2P/K7/3b4/8 w - - 5 47,e4d3 d2c1,1925,78,91,4163,endgame master mate mateIn1 oneMove,https://lichess.org/AUIvAqkH#93,
0PY1B,3rr1k1/ppp3bp/6p1/1P1qNp1n/P1pP4/4P2P/2Q2PPB/R3R1K1 w - - 5 21,c2c4 e8e5,1943,76,90,1587,advantage middlegame oneMove,https://lichess.org/LD6b7mg3#41,
0Q0Tj,8/p7/6Bp/1p4p1/b1p5/Pk4P1/1P5P/2K5 b - - 1 39,c4c3 g6f7,1938,76,98,249,bishopEndgame endgame mate mateIn1 oneMove,https://lichess.org/9BN7NLFO/black#78,
0QsjG,5rk1/1Rp2pp1/2p4p/2P1P3/2br4/5PB1/6PP/4R1K1 b - - 2 25,f8c8 b7b4,1951,139,-9,28,advantage endgame oneMove,https://lichess.org/9rQjkY2V/black#50,
0Snj6,r2q1rk1/1bp1b1pp/p1n1p2n/1p1pPP1P/1P4P1/P2B1N2/1BPNQ3/R3K2R b KQ - 0 17,h6g4 h5h6,1924,260,-41,7,advantage middlegame oneMove,https://lichess.org/HR583yho/black#34,French_Defense French_Defense_Normal_Variation
0TRiV,8/8/3B3R/1p1RPkP1/p3N2P/P7/KP6/2r1r3 w - - 0 43,b2b4 c1c2,1907,77,93,5778,endgame master mate mateIn1 oneMove,https://lichess.org/YpYxcLNM#85,
