PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
009XT,rn1qk2r/pp3ppp/3bp1b1/3p4/3Pn2N/3BB3/PPP2PPP/RN1Q1RK1 w kq - 4 10,h4g6 d6h2 g1h1 h7g6,1996,73,93,13887,crushing intermezzo opening short,https://lichess.org/bf23N8Ng#19,Caro-Kann_Defense Caro-Kann_Defense_Exchange_Variation
017u3,r2qk2r/4bppp/p3bn2/1p2N3/5B2/2N5/PP3PPP/R2QR1K1 b kq - 1 19,e8g8 e5c6 d8e8 c6e7 e8e7 f4d6 e7d8 d6f8,1930,74,94,7126,advantage kingsideAttack opening skewer veryLong,https://lichess.org/zSJZUzqR/black#38,Caro-Kann_Defense Caro-Kann_Defense_Exchange_Variation
01o71,rn2k2r/p3bppp/2p1bn2/qp6/4P3/2N1B3/PPPQN1PP/1K1R1B1R w kq - 3 14,e2d4 f6e4 d2e1 e4c3,1977,80,81,396,advantage master opening queensideAttack short,https://lichess.org/wDYpcqk8#27,Lion_Defense Lion_Defense_Lions_Jaw
01qh2,r1b1r1k1/pp1p1Npp/2p2q2/2bn3Q/2B5/3P4/PPP2PPP/R1B2RK1 w - - 0 12,c4d5 f6f2 g1h1 f2f1,1905,76,95,14022,deflection kingsideAttack mate mateIn2 opening short,https://lichess.org/3VDxYtAy#23,Italian_Game Italian_Game_Giuoco_Pianissimo
01xmi,r1bqk2r/pp2nppp/4p3/2bnP3/8/3B1N2/PP2QPPP/RNB2RK1 b kq - 1 10,e7g6 d3g6 f7g6 e2b5 c8d7 b5c5,1912,75,96,10648,clearance crushing fork long opening,https://lichess.org/SbKuJPQI/black#20,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation
02Adl,rnb1k2r/1p2npp1/p3p2p/q2pP3/1b1p1PP1/P2B1N2/1PPN3P/R1BQ1RK1 b kq - 2 10,b4c5 b2b4 c5b4 d2b3 a5b6 a3b4,1928,75,91,1416,crushing fork long opening,https://lichess.org/X7hSi27W/black#20,French_Defense French_Defense_Advance_Variation
02VhH,r1b2rk1/pp4p1/2n1p2p/3pnp2/7q/2P3BP/PPQN1PP1/RB3RK1 b - - 3 15,h4g5 g3e5 c6e5 f2f4 g5g3 f4e5,1983,72,95,14571,advantage fork long opening,https://lichess.org/AnKqfwf0/black#30,Queens_Pawn_Game Queens_Pawn_Game_Steinitz_Countergambit
038eV,r1b1kb1r/p4ppp/1pn5/2pnN3/8/6P1/PP3PBP/RNB2RK1 b kq - 1 12,c6e5 g2d5 a8b8 f1e1 f7f6 f2f4,1939,76,94,8959,advantage hangingPiece long opening pin,https://lichess.org/G9eMrQ1I/black#24,Zukertort_Opening Zukertort_Opening_Grunfeld_Reversed
03Sv4,r1b2rk1/2q2ppp/p1n2n2/1p1p4/1b6/1NN1BP2/PPPQ2PP/1K1R1B1R w - - 0 13,c3d5 f6d5 d2d5 f8d8 d5d8 c6d8,1979,75,92,1545,advantage long master opening,https://lichess.org/vbsgXZey#25,Sicilian_Defense Sicilian_Defense_Taimanov_Variation
03yz5,r2q1rk1/1b1nbppp/pp2p3/2p1N3/P1P2P1P/1P1P2B1/3N2P1/1R1Q1RK1 b - - 0 17,e7h4 g3h4 d8h4 e5d7,1963,75,79,78,advantage opening short,https://lichess.org/qLVKo5LQ/black#34,Sicilian_Defense Sicilian_Defense_Modern_Variations
