PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00G1l,5k2/1R6/3pp1P1/2p5/1pr1PK2/5P2/8/8 b - - 0 60,c4c1 f4g5 c1g1 g5f6,1942,74,90,359,crushing defensiveMove endgame master rookEndgame short,https://lichess.org/IWYBiMcT/black#120,
00WVK,k7/7R/p1P5/4K3/1P6/r6p/8/8 b - - 2 51,a3b3 h7h8 a8a7 c6c7,1917,75,92,226,advancedPawn crushing endgame master rookEndgame short,https://lichess.org/CMbwiChz/black#102,
00plb,8/1p6/p1p3r1/1kP5/7R/5P1P/5K2/8 w - - 0 54,h4g4 g6g4 f3g4 b5c5,1925,74,89,676,crushing endgame rookEndgame short,https://lichess.org/5wrsvEX6#107,
010N8,8/3r3p/pp1pk1pP/2rR1pP1/P1PRpP2/1P2P3/4K3/8 b - - 1 37,c5d5 c4d5 e6e7 d4c4,1968,74,71,89,crushing endgame rookEndgame short,https://lichess.org/SVWon15d/black#74,
0125B,8/1p6/1Pr2P2/1Rp3K1/3p4/4k3/8/8 b - - 0 44,c6f6 g5f6 c5c4 b5e5,1902,75,93,615,crushing endgame hangingPiece rookEndgame short,https://lichess.org/x10SD0Y1/black#88,
01H6V,8/RR4pk/6r1/7p/P3KP1P/4P1P1/1pr5/8 w - - 0 50,e4f3 c2c7 b7b2 c7a7,1903,75,95,766,advantage endgame master rookEndgame short,https://lichess.org/rHuUZ772#99,
01X5n,8/8/7p/p1r3p1/2PKpkP1/7P/4R3/8 b - - 2 40,c5e5 e2f2 f4g3 d4e5 g3f2 e5e4,1976,76,92,866,crushing deflection endgame long rookEndgame,https://lichess.org/WJVPHTRz/black#80,
01sBy,8/2p2k2/4R2p/1r1P2p1/2K3P1/8/7P/8 b - - 2 35,b5b6 e6b6 c7b6 c4b5 f7e7 b5c6,1978,76,84,105,crushing endgame long master rookEndgame,https://lichess.org/IEYU8CBE/black#70,
02Gyp,8/4k3/5R1K/4r1p1/6P1/8/8/8 w - - 0 63,f6f5 e5f5 g4f5 e7f6 h6h5 f6f5,1934,75,95,1068,crushing endgame long rookEndgame,https://lichess.org/VkeIu8Do#125,
02H9Q,8/5pk1/5p2/5P2/6P1/3pR3/2pKp3/8 w - - 4 51,e3e7 g7h6 e7e4 h6g5,1923,75,92,826,crushing endgame rookEndgame short,https://lichess.org/4R9HmSAo#101,
02Jyd,4rk2/5p2/3R4/3P2R1/2p1r2p/2P4P/5KP1/8 w - - 0 34,d6c6 e4f4 f2g1 e8e1 g1h2 f4f1 c6c8 f8e7 g5e5 e1e5,1987,78,92,1817,crushing endgame quietMove rookEndgame veryLong,https://lichess.org/S1e5lzGu#67,
02YSF,8/p5k1/2p1R1P1/3p4/3P4/r7/1r6/5RK1 b - - 5 32,b2c2 f1f7 g7h6 g6g7 h6h7 e6h6 h7h6 g7g8q,1962,75,87,470,advancedPawn crushing deflection discoveredAttack endgame exposedKing promotion rookEndgame veryLong,https://lichess.org/qgP1xvdW/black#64,
02b5v,8/5P2/4K3/1R6/7p/8/6k1/5r2 b - - 5 54,h4h3 b5g5 g2h1 g5f5 f1f5 e6f5,1973,75,88,117,crushing endgame long rookEndgame,https://lichess.org/nWUooxiG/black#108,
02irR,3r4/2KP1k2/8/5p2/p4Ppp/P1P5/1P2R3/8 b - - 2 54,d8d7 c7d7 h4h3 e2h2,1915,77,88,964,crushing endgame hangingPiece rookEndgame short,https://lichess.org/v7rA7M2L/black#108,
02k5Y,8/5pk1/8/4P1P1/5pr1/8/5R1K/8 w - - 1 59,f2g2 g4g2 h2g2 g7g6 g2f3 g6g5,1928,79,85,41,crushing endgame long master rookEndgame,https://lichess.org/Zth46CHs#117,
030R2,8/8/6k1/2R4p/1r3Pp1/3K2P1/8/8 w - - 0 56,c5c4 b4c4 d3c4 h5h4 g3h4 g4g3,1932,74,99,315,crushing endgame long rookEndgame,https://lichess.org/NCM2xhlH#111,
03Q5V,8/8/1p1r1pk1/pR1P2p1/P2K2P1/8/8/8 b - - 6 45,f6f5 d4e5 d6f6 d5d6,1993,75,88,868,crushing endgame rookEndgame short,https://lichess.org/5ds6oVhe/black#90,
048cA,4k3/7R/6p1/1p3r2/1r1p4/5PK1/2P5/5R2 b - - 1 45,b4b2 f1a1 f5f7 a1a8 e8e7 a8a7,1930,74,92,1145,crushing endgame exposedKing long quietMove rookEndgame,https://lichess.org/OGxc7NED/black#90,
04Mua,6k1/R4p2/P3p2p/3p1rp1/8/8/5r2/R5K1 b - - 5 42,f2b2 a7b7 b2e2 a6a7 f5f2 a7a8q,1934,75,92,1301,advancedPawn advantage endgame long master masterVsMaster promotion rookEndgame,https://lichess.org/VJsRZsLH/black#84,
04bMQ,3R4/8/p5r1/2P3p1/P7/1K2pk1P/8/8 w - - 0 39,d8d6 e3e2 d6g6 e2e1q,1933,77,93,1630,advancedPawn crushing endgame promotion rookEndgame short,https://lichess.org/k3JFE0ab#77,
05DY3,4R3/8/kp2p3/3p4/P2P1p2/K1P5/8/5r2 w - - 0 46,e8e6 f4f3 e6f6 f3f2 a3b2 a6a5 f6f4 a5a4 f4f8 a4b5,1930,75,91,1574,advancedPawn crushing defensiveMove endgame rookEndgame veryLong,https://lichess.org/MVZ8J8WZ#91,
05vpY,8/8/6RP/2k5/1p2r3/4p3/4K3/8 b - - 0 60,c5d4 h6h7 e4h4 g6g4 h4g4 h7h8q,1936,78,92,2418,advancedPawn crushing deflection endgame long promotion rookEndgame,https://lichess.org/oUV2jqqz/black#120,
06AMx,8/1p3k1r/3p4/p1pP1KP1/P1r2P2/4R3/8/8 b - - 5 40,c4a4 g5g6 f7g8 e3e8 g8g7 e8e7,1939,77,86,149,crushing endgame exposedKing fork long rookEndgame,https://lichess.org/G38FRcFu/black#80,
06KT9,8/8/4P1k1/8/p6R/2P4p/PPK1r3/8 w - - 2 37,c2c1 h3h2 e6e7 g6f7 e7e8r f7e8,1996,76,15,221,advancedPawn crushing endgame long rookEndgame,https://lichess.org/nVvffsfD#73,
