PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
02Hq5,r2qk2r/2p1n1pp/1bP2p2/pP2p3/Q2pP3/B1Pb4/P2N1PPP/RN2R1K1 w kq - 0 18,c3d4 d8d4 a4d4 b6d4 d2b3 d4a1,1947,112,8,56,advantage long middlegame trappedPiece,https://lichess.org/VpTLyxMo#35,Ruy_Lopez Ruy_Lopez_Nurnberg_Variation
02na8,r3kbnr/ppp1p1pp/2n2p2/8/4QB2/1N6/PqP2PPP/RN2K2R b KQkq - 1 9,e7e5 f4c1 f8b4 e1f1 b2a1 b3a1,1956,76,91,2537,advantage defensiveMove long middlegame trappedPiece,https://lichess.org/hTpQ7L6w/black#18,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System
03TNb,5k1r/pN3p2/2n1pQp1/3p2Pq/3P4/2P1K2r/PP3P2/R4R2 w - - 7 29,e3d2 h3f3 f1h1 f3f6 h1h5 f6f2,1943,75,91,1538,advantage long middlegame trappedPiece,https://lichess.org/EMVfvTig#57,
03TkB,4r1k1/1p2rpb1/p2p2p1/2pPP2p/2q5/2N2Q1P/PP2R1P1/5R1K b - - 0 27,d6e5 e2e4 c4f1 f3f1,1912,78,80,60,advantage middlegame short trappedPiece,https://lichess.org/yZhAzMjs/black#54,
04phO,3r4/p2q4/5kpp/1pQ2p2/4b3/P3R3/1P4PP/4R1K1 w - - 0 35,b2b4 d8c8 c5c8 d7c8,1999,77,90,641,advantage endgame short trappedPiece,https://lichess.org/XxMZ1mwc#69,
06DqR,r5k1/2n5/5r1p/p1pP1N2/PpP2p1q/1P1Q4/3B1R1N/7K b - - 0 32,h4f2 h2g4 f6f5 g4f2,1930,76,98,255,advantage fork middlegame short trappedPiece,https://lichess.org/WFMTvyki/black#64,
06q4t,r4r2/pppqp3/2npb1kP/6N1/4Pp2/P1PPQ3/2P2PB1/R3K2R w KQ - 2 18,e3f3 e6g4 f3h3 g4h3 g2h3 d7e8,1948,76,87,388,advantage defensiveMove long middlegame trappedPiece,https://lichess.org/0WbfT4jf#35,Modern_Defense Modern_Defense_Other_variations
07HWC,3rr1k1/p4pbp/1pnp1qp1/2p1p2b/4P3/1PPQ1N2/PB1PBPP1/2K3RR b - - 1 17,d6d5 g2g4 h5g4 g1g4,1998,82,87,72,advantage middlegame short trappedPiece,https://lichess.org/1wnhql7B/black#34,Zukertort_Opening Zukertort_Opening_Nimzo-Larsen_Variation
08qww,3k1b1r/2rb1Qp1/1pn1p2p/p2pP3/3p1P2/8/PPPB2PP/4RRK1 w - - 0 20,f4f5 d7e8 f7e6 e8f7 e6f7 c7f7,1958,75,95,7251,advantage long middlegame trappedPiece,https://lichess.org/YbNxj8eV#39,
0A2t1,r6r/ppp1kpp1/2p1b2p/4Pn2/8/2N2N2/PPPR1PPP/3R2K1 b - - 1 14,a8d8 g2g4 d8d2 d1d2 f5d6 e5d6,1917,75,95,3334,crushing long middlegame trappedPiece,https://lichess.org/qKD4xnGN/black#28,Ruy_Lopez Ruy_Lopez_Berlin_Defense
0Ak4g,rnb2rk1/ppb2ppp/2p2n2/3p4/3Pq3/1Q2BN2/PP1NBPPP/R3K2R b KQ - 1 11,e4g6 f3h4 g6g4 e2g4,1900,74,89,1186,crushing middlegame short trappedPiece,https://lichess.org/8260QwrY/black#22,Kings_Pawn_Game Kings_Pawn_Game_Gunderam_Gambit
0AyuM,r1bqk2r/ppp2ppp/2n5/2bpp3/6n1/3P1NP1/PPPNPPBP/R1BQ1RK1 w kq - 6 7,f3e1 c5f2 f1f2 g4e3 d2b3 e3d1,1971,74,94,11260,crushing kingsideAttack long opening sacrifice trappedPiece,https://lichess.org/hj7zzrAC#13,Zukertort_Opening Zukertort_Opening_Old_Indian_Attack
0BEqK,4r3/4P3/6R1/4k2p/4P1p1/6P1/6K1/8 w - - 0 48,g6g7 e5f6 g7h7 f6g6 h7h5 g6h5,1987,75,93,295,crushing endgame long rookEndgame trappedPiece,https://lichess.org/9B6YYiG5#95,
0EMXo,r1bqk2r/pppnppbp/2n3p1/4P1N1/2B5/8/PPP1QPPP/RNB1K2R b KQkq - 2 8,c6e5 c4f7 e5f7 g5e6 d7e5 e6d8,1957,75,86,788,advantage attackingF2F7 fork long opening sacrifice trappedPiece,https://lichess.org/QYkem5bR/black#16,Modern_Defense Modern_Defense_Other_variations
0EQnB,r5k1/1b3rb1/pp1BQ1np/2pPPpq1/6p1/3B4/PPN2PPP/R3R1K1 w - - 1 23,c2e3 g6f4 e6f7 g8f7,1909,75,91,1774,advantage fork middlegame short trappedPiece,https://lichess.org/ePtKZyb1#45,
