PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00VIe,8/8/8/P6p/8/2RnkN2/r7/3K4 w - - 1 60,f3e1 a2d2,1987,79,94,16887,endgame mate mateIn1 oneMove vukovicMate,https://lichess.org/ugqyRWZm#119,
06l4B,1k6/1p6/1Qn5/PN1p4/5b2/7P/1Pr1KP2/8 w - - 0 34,e2d3 c6b4 d3d4 c2c4,1951,79,79,489,endgame mate mateIn2 short vukovicMate,https://lichess.org/TZA9RwgR#67,
0GbTT,8/8/R4NP1/1p6/1P5k/6n1/2r5/6K1 w - - 1 44,g6g7 h4h3 a6a2 c2a2 g7g8q a2g2,1971,98,63,27,endgame long mate mateIn3 vukovicMate,https://lichess.org/SmljsZj5#87,
0U0pa,8/6p1/4B2P/p1p2P2/2P4P/5nk1/2r5/1R3K2 w - - 1 41,e6d5 c2f2,1945,78,91,708,endgame master mate mateIn1 oneMove vukovicMate,https://lichess.org/Mc9ogSGm#81,
22fDe,R7/1k1p4/3Pp1p1/1bP1B3/1p3Pn1/1P6/5r2/2RK4 w - - 10 40,a8a5 g4e3 d1e1 f2e2,1901,79,87,471,endgame mate mateIn2 short vukovicMate,https://lichess.org/xg8DHAUC#79,
24Dlx,1R1Q4/6k1/1P6/4p2p/N3Pp1n/5PpP/6r1/R5K1 w - - 0 40,g1h1 g2h2 h1g1 h4f3 g1f1 h2f2,1988,79,86,68,endgame exposedKing long mate mateIn3 vukovicMate,https://lichess.org/kBmvtbeB#79,
3bSr7,3r1r1k/pR2Np2/4bnRP/8/8/P1P5/1P2B3/2K5 b - - 0 33,f7g6 e7g6 h8g8 b7g7,1908,83,56,89,fork mate mateIn2 middlegame short vukovicMate,https://lichess.org/FEhA5GeP/black#66,
3r7yZ,R3B3/8/1k6/n6P/8/P1p5/7r/K7 w - - 5 62,e8g6 a5b3 a1b1 h2b2,1928,77,78,308,endgame mate mateIn2 short vukovicMate,https://lichess.org/kazvExUG#123,
3rSyA,r1b3nr/pp4pp/2p5/3Bp3/8/k1N5/P4PPP/R5K1 b - - 0 22,c6d5 a1b1 d5d4 b1b3,1929,76,93,584,endgame mate mateIn2 short vukovicMate,https://lichess.org/tjDT4wvc/black#44,
3sAHP,k1r4r/2Bq1pp1/p2b3p/2pN4/2n5/5B1P/P4PP1/1R4K1 b - - 3 26,d6c7 d5c7 a8a7 b1b7,1933,76,95,4895,doubleCheck mate mateIn2 middlegame queensideAttack short vukovicMate,https://lichess.org/ZwsupoyX/black#52,
