PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
01pSj,8/5k2/8/2N1p1p1/1P2Pn1p/2P2P1P/5RP1/1r4K1 w - - 4 37,g1h2 f4h5 g2g3 h4g3 h2g2 g3f2,2052,75,92,2569,advancedPawn crushing endgame fork long quietMove,https://lichess.org/WNAGgVqn#73,
0273Q,4r1k1/7R/8/p5p1/2PnB3/3P2p1/P7/6K1 w - - 1 38,h7h5 d4e2 g1f1 g3g2 f1g2 e2f4 g2f3 f4h5,2077,77,93,6674,advancedPawn attraction crushing endgame exposedKing fork master veryLong,https://lichess.org/euTOGOgv#75,
02MgP,3r1rk1/p1q3pb/1p1b4/8/3B2PQ/2P2p1P/PP3P2/R3RNK1 w - - 1 28,f1g3 d6g3 h4g3 c7g3 f2g3 d8d4 c3d4 f3f2,2078,75,89,1143,advancedPawn advantage kingsideAttack middlegame sacrifice veryLong,https://lichess.org/jRGb0WQd#55,
02aCK,8/5p1p/K3p1p1/2k5/Pp2PP2/1P6/2B4n/8 b - - 1 41,h2f3 a6b7 f3d4 a4a5 d4c2 a5a6 c2d4 a6a7,2059,77,94,1820,advancedPawn crushing endgame master masterVsMaster quietMove sacrifice veryLong,https://lichess.org/XBIUOv2a/black#82,
02c2M,6rk/1R5p/p1p5/5P2/P3PNn1/1P4Pp/1P1r3P/5RK1 w - - 1 30,b7c7 g4h2 f1f2 d2f2 g1f2 h2g4 f2g1 h3h2 g1h1 g8d8 f4d5 c6d5,2046,136,38,17,advancedPawn attraction crushing endgame quietMove veryLong,https://lichess.org/ZTd1Nl2D#59,
02h2Q,8/3N4/p7/2PP4/P4k2/1P4p1/3KR2r/8 w - - 1 49,d7f6 f4f3 e2h2 g3h2 c5c6 h2h1q,2045,77,81,99,advancedPawn crushing endgame long promotion,https://lichess.org/7L3QIplY#97,
02vpt,r2qk1r1/pbppbp2/1pP1pn2/8/2P5/1P2Pp2/PB2B1PP/RN1Q1RK1 w q - 0 13,c6b7 g8g2 g1h1 f3e2,2064,78,94,12450,advancedPawn crushing kingsideAttack master opening short,https://lichess.org/KUyJe0XB#25,Bird_Opening Bird_Opening_Other_variations
02wsO,4k3/6R1/3Bp3/1P2P1Pp/3b1P2/4p3/7r/3K4 w - - 0 35,g7e7 e8d8 e7c7 e3e2 d1e1 d4f2 e1e2 f2b6,2026,75,88,553,advancedPawn crushing discoveredAttack endgame exposedKing veryLong,https://lichess.org/fvahyPW1#69,
03JVD,r7/6P1/8/8/5p2/5P1p/3RK3/2k5 w - - 1 51,e2e1 a8e8 d2e2 h3h2 e2e8 h2h1q,2023,77,91,4511,advancedPawn crushing endgame long pin promotion rookEndgame,https://lichess.org/WGbrUnZF#101,
04Dsf,1r1k1r2/2p2qp1/1pQp3p/p2P4/4R1BP/8/PPP3p1/2K1R3 w - - 0 32,e4e7 f7e7 e1e7 g2g1q,2013,78,92,2764,advancedPawn advantage middlegame promotion short,https://lichess.org/ycsXDkmV#63,
04k5T,8/7K/6p1/5p2/4kP1P/R2p2P1/6r1/8 w - - 0 50,h7g6 g2g3 g6f6 d3d2,2017,75,94,1728,advancedPawn crushing endgame master rookEndgame short,https://lichess.org/1A2SEEZm#99,
04pX4,8/8/1b1Bk2p/1P2P1pP/1K1p2P1/5P2/8/8 w - - 0 53,d6c5 d4d3 c5b6 d3d2,2079,78,91,157,advancedPawn bishopEndgame crushing endgame sacrifice short,https://lichess.org/WscPxwSu#105,
05GCF,8/3r1kp1/2P1np2/6p1/p1KNP3/5P1P/3R2P1/8 b - - 0 42,d7d4 d2d4 e6d4 c6c7,2069,76,87,323,advancedPawn advantage endgame master short,https://lichess.org/Syg9zDwG/black#84,
05lwN,8/3k4/P5p1/1N1P3p/1b6/5K2/8/8 b - - 0 53,b4c5 a6a7 c5a7 b5a7 h5h4 a7b5,2063,75,91,1522,advancedPawn crushing defensiveMove endgame long,https://lichess.org/fGoF7Cgy/black#106,
0645D,8/1k2pp1P/3p4/4b3/PN2K3/8/8/8 b - - 2 40,b7b6 a4a5 b6b7 a5a6 b7b6 a6a7 b6b7 b4c6,2085,75,91,2534,advancedPawn crushing endgame exposedKing veryLong,https://lichess.org/xE3GnkLD/black#80,
06F3a,8/pppP3k/8/8/5Q2/3P4/PP2p1P1/1K2br2 w - - 0 34,f4h2 e1h4 b1c2 e2e1q d7d8q f1f2 c2b3 e1e6,2097,97,81,23,advancedPawn clearance crushing discoveredAttack endgame promotion veryLong,https://lichess.org/VaFrZYki#67,
06GQr,8/8/5Pk1/6P1/1r6/1p4K1/1R6/8 w - - 7 73,b2f2 b3b2 f6f7 b2b1q f7f8q b1g1,2042,77,89,596,advancedPawn crushing endgame long promotion rookEndgame,https://lichess.org/26jI80D4#145,
06IaP,4r1k1/2qn1ppp/p2p1P2/2pP2P1/P1Pp1R1Q/1r5P/1P4BK/1R6 b - - 0 28,d7e5 g2e4 e5g6 e4g6 f7g6 f6f7 c7f7 f4f7,2075,76,90,1851,advancedPawn crushing fork middlegame veryLong,https://lichess.org/NHwm8PEe/black#56,
06TVl,1R6/5pk1/1P2p1p1/4P1P1/1K3P1p/8/8/7r w - - 3 42,b6b7 h1b1 b4c3 h4h3 b8a8 h3h2 b7b8q b1b8,2088,79,88,281,advancedPawn crushing endgame master rookEndgame veryLong,https://lichess.org/4z1Mb8sU#83,
06XtR,1r6/3q1k2/3P3p/3R1P2/8/1pQ2KP1/6P1/8 w - - 8 52,c3b2 d7c6 b2e5 b8e8 e5d4 b3b2,2033,76,98,1187,advancedPawn crushing endgame long pin,https://lichess.org/t5K1Wx7u#103,
07hDM,8/7R/8/3n3p/2k2p2/2p5/4K1PP/8 w - - 2 43,h7h5 f4f3 e2f3 c3c2,2076,75,93,7599,advancedPawn crushing endgame short,https://lichess.org/55MLV53D#85,
0860a,6k1/pb3p2/1p2pQp1/4P2p/8/2R1p2P/PP1q1PPK/8 w - - 0 32,c3c7 d2f2 c7b7 f2f6 b7b8 g8h7 e5f6 e3e2,2050,75,92,912,advancedPawn advantage endgame sacrifice veryLong,https://lichess.org/2wrE913K#63,
