PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00hVE,1K6/1p6/2k5/p7/P1p5/2P5/1P6/8 b - - 3 47,b7b5 b8a7 b5b4 a7a6,2043,74,91,250,crushing endgame master pawnEndgame short,https://lichess.org/Joug17uX/black#94,
011LP,8/2k4p/p3Pp2/1p6/1P1Kp3/P7/6PP/8 b - - 1 36,f6f5 g2g4 f5g4 d4e4,2053,76,91,1990,crushing deflection endgame master pawnEndgame short,https://lichess.org/dTjUhKxj/black#72,
02Rzn,8/7p/7p/4p2k/4P2P/5KP1/8/8 w - - 1 48,f3g2 h5g4 g2f2 g4h3 f2f3 h6h5 f3f2 h3h2,2030,82,91,806,crushing endgame pawnEndgame quietMove veryLong zugzwang,https://lichess.org/Ta7npLSD#95,
02a1D,8/8/p1p2p1p/3pk1p1/PPP5/3KP1P1/6P1/8 b - - 0 34,d5c4 d3c4 e5d6 g3g4 f6f5 g4f5,2049,83,83,45,crushing endgame long pawnEndgame quietMove,https://lichess.org/THj1HQlR/black#68,
02jk5,8/1k6/1P1Kp3/5ppp/8/5P1P/5P2/8 b - - 1 48,g5g4 f3g4 f5g4 h3h4,2072,76,91,2260,crushing defensiveMove endgame pawnEndgame short,https://lichess.org/yMGa5Jzo/black#96,
02shW,8/8/6p1/5p2/2k1pP1P/4K1P1/8/8 w - - 3 55,e3e2 c4d4 g3g4 f5g4 f4f5 g6f5 h4h5 d4e5 h5h6 e5f6 h6h7 f6g7 h7h8r g7h8,2093,117,100,24,crushing endgame pawnEndgame veryLong,https://lichess.org/y5DtEshU#109,
03jWc,8/2p5/1p4p1/1P2k1P1/P1K5/8/8/8 b - - 2 44,e5f5 c4d5 f5g5 d5c6 g5f5 c6c7 g6g5 a4a5,2075,83,58,39,crushing endgame pawnEndgame veryLong,https://lichess.org/U0MIkTvy/black#88,
03rAq,8/8/4p3/1pPp1k1p/p1p4P/P1P1PK2/1P6/8 b - - 0 41,e6e5 e3e4 d5e4 f3e3,2037,75,92,1208,crushing endgame pawnEndgame short,https://lichess.org/ZMLRwcwx/black#82,
04AeM,8/p7/6p1/2ppk1Pp/7P/1PP1K3/P7/8 b - - 0 36,e5f5 b3b4 c5b4 c3b4,2032,77,90,1138,crushing endgame master pawnEndgame short,https://lichess.org/jCvTdla2/black#72,
04OgJ,8/8/8/p3p1k1/P2p2P1/5P2/4K3/8 w - - 4 49,e2e1 e5e4 f3e4 g5g4,2084,75,95,259,crushing deflection endgame pawnEndgame short,https://lichess.org/cAD0ndFx#97,
05YTo,8/p5p1/2pk4/6p1/3K2P1/P1P4P/8/8 w - - 2 35,c3c4 c6c5 d4e4 d6e6,2075,76,92,2265,crushing defensiveMove endgame pawnEndgame short,https://lichess.org/fIvjwL6k#69,
077Aw,8/8/1k1p3p/p2P2p1/1pK2p1P/1P3PP1/1P6/8 w - - 0 39,g3f4 g5h4 f4f5 b6c7,2022,76,92,225,crushing defensiveMove endgame pawnEndgame short,https://lichess.org/NyiWoKGM#77,
08tFs,8/8/1p6/p7/P7/1KPk4/8/8 b - - 3 51,d3e4 b3c4 e4e3 c4b5 e3d3 b5b6,2066,75,95,3163,crushing endgame long pawnEndgame,https://lichess.org/yaWAPEgL/black#102,
08zmY,8/7p/P1k5/5pp1/4p3/5PP1/6KP/8 b - - 0 48,e4e3 f3f4 e3e2 g2f2,2046,75,89,124,crushing endgame pawnEndgame short,https://lichess.org/P5D2brIn/black#96,
093wA,8/6pp/8/1p2k1PP/1p2P3/1P3K2/8/8 b - - 0 34,g7g6 h5g6 h7g6 f3e3,2047,79,94,11324,crushing defensiveMove endgame pawnEndgame short,https://lichess.org/vKAw1rse/black#68,
09JBz,8/1p5p/p1p3p1/P2kP3/1K1P3P/8/6P1/8 b - - 2 47,h7h5 g2g3 c6c5 d4c5,2045,75,88,98,crushing endgame master pawnEndgame quietMove short zugzwang,https://lichess.org/Q11ClwQx/black#94,
09Xtv,8/8/5k2/8/ppp3P1/2P2P2/PP3K1P/8 w - - 0 36,h2h4 a4a3 b2a3 b4b3 a2b3 c4b3 f2e3 b3b2,2052,74,51,180,advancedPawn crushing endgame pawnEndgame veryLong,https://lichess.org/mgacpJmv#71,
09Z76,8/8/8/1p3P2/2k5/4K3/8/8 b - - 0 50,b5b4 f5f6 b4b3 e3d2 c4d5 f6f7 b3b2 d2c2 b2b1q c2b1,2021,78,90,821,advancedPawn crushing endgame pawnEndgame veryLong,https://lichess.org/Caub545Q/black#100,
09oCO,8/8/7p/pp2k1p1/3p2P1/PP1K3P/2P5/8 w - - 0 32,a3a4 b5a4 b3a4 e5d5,2042,81,91,1267,crushing defensiveMove endgame pawnEndgame short zugzwang,https://lichess.org/XiXtpCwS#63,
09wNf,8/8/8/1p1k1p1p/1P1P2p1/3K2P1/7P/8 b - - 2 49,f5f4 g3f4 h5h4 d3e3,2075,78,92,7209,crushing defensiveMove endgame master pawnEndgame short,https://lichess.org/BCnwi2x4/black#98,
0ApYr,8/8/7p/p5p1/k3P3/3K2PP/8/8 w - - 0 50,e4e5 a4b5 d3e4 b5c6,2004,77,87,780,crushing defensiveMove endgame pawnEndgame short,https://lichess.org/2JTEsdZd#99,
0B4Va,8/p1p3p1/1p3k2/4pP1p/1PP1K2P/8/6P1/8 b - - 0 40,c7c6 b4b5 c6c5 g2g3,2008,75,92,1155,crushing defensiveMove endgame pawnEndgame short zugzwang,https://lichess.org/64RAX41i/black#80,
0Bf2G,4k3/1p6/8/3P4/2P5/p1K5/8/8 b - - 1 53,e8d7 c4c5 a3a2 c3b2 a2a1q b2a1,2093,76,95,191,crushing endgame long pawnEndgame quietMove,https://lichess.org/gYHdonxV/black#106,
0BwVX,8/pp6/2p3k1/8/5KPp/2PP4/P7/8 w - - 2 36,c3c4 c6c5 g4g5 h4h3 f4g3 g6g5,2082,75,92,5705,crushing endgame long pawnEndgame quietMove,https://lichess.org/RQ61Mu9G#71,
