PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00SiY,8/8/3p2N1/3Pp1n1/4Pp1p/3k1P1P/6K1/8 w - - 8 57,g6h4 d3e2 h4f5 g5f3,2078,78,91,2511,crushing endgame knightEndgame master short zugzwang,https://lichess.org/nqOd6mWK#113,
02Rzn,8/7p/7p/4p2k/4P2P/5KP1/8/8 w - - 1 48,f3g2 h5g4 g2f2 g4h3 f2f3 h6h5 f3f2 h3h2,2030,82,91,806,crushing endgame pawnEndgame quietMove veryLong zugzwang,https://lichess.org/Ta7npLSD#95,
031jj,8/8/1p3p1k/p1rR1P2/4K3/1P6/P7/8 b - - 1 50,c5d5 e4d5 b6b5 d5e6 h6g5 a2a3 b5b4 a3a4 g5f4 e6f6,2015,150,67,11,crushing endgame quietMove veryLong zugzwang,https://lichess.org/CaYI3n2q/black#100,
09JBz,8/1p5p/p1p3p1/P2kP3/1K1P3P/8/6P1/8 b - - 2 47,h7h5 g2g3 c6c5 d4c5,2045,75,88,98,crushing endgame master pawnEndgame quietMove short zugzwang,https://lichess.org/Q11ClwQx/black#94,
09oCO,8/8/7p/pp2k1p1/3p2P1/PP1K3P/2P5/8 w - - 0 32,a3a4 b5a4 b3a4 e5d5,2042,81,91,1267,crushing defensiveMove endgame pawnEndgame short zugzwang,https://lichess.org/XiXtpCwS#63,
0Axfm,8/8/4rk2/6p1/5pP1/5P2/4R1K1/8 w - - 7 52,e2e6 f6e6 g2f2 e6d5 f2e1 d5c4 e1d2 c4d4,2041,123,100,12,crushing defensiveMove endgame veryLong zugzwang,https://lichess.org/mCkzHAoa#103,
0B4Va,8/p1p3p1/1p3k2/4pP1p/1PP1K2P/8/6P1/8 b - - 0 40,c7c6 b4b5 c6c5 g2g3,2008,75,92,1155,crushing defensiveMove endgame pawnEndgame short zugzwang,https://lichess.org/64RAX41i/black#80,
0Dqu4,8/8/1p3k2/1P2pPp1/2B1Pn2/5K2/8/8 b - - 14 49,f6g7 f3g4 g7f6 c4f1 f6f7 g4g5,2066,76,84,116,crushing endgame long quietMove zugzwang,https://lichess.org/OsV7R2oe/black#98,
0EGKh,8/8/3k2p1/5pP1/5P2/r4K2/4R3/8 w - - 12 58,e2e3 a3e3 f3e3 d6c5 e3d3 c5d5,2031,76,91,188,crushing defensiveMove endgame long rookEndgame zugzwang,https://lichess.org/n1HeqzRQ#115,
0EcYZ,8/p1p3p1/1p4p1/5kPp/5P1P/2P2K2/PP6/8 b - - 4 42,c7c5 c3c4 a7a6 a2a4 f5e6 f3e4,2008,78,91,4078,crushing defensiveMove endgame long pawnEndgame quietMove zugzwang,https://lichess.org/T4dlaNBc/black#84,
0Ecp7,8/8/5pk1/6p1/4RrP1/5PK1/8/8 b - - 26 64,f6f5 e4f4 g5f4 g3f4 f5g4 f4g4 g6f6 g4f4,2011,77,89,570,crushing defensiveMove endgame rookEndgame veryLong zugzwang,https://lichess.org/x6UESa3D/black#128,
0FQd1,8/8/pp1k3p/6p1/PP2K1P1/6P1/8/8 b - - 0 46,a6a5 b4a5 b6a5 e4d4,2042,75,74,113,crushing defensiveMove endgame pawnEndgame short zugzwang,https://lichess.org/Mk2CnJaS/black#92,
0FkzE,8/8/7p/6nk/4K3/5N2/8/8 w - - 0 68,f3g5 h6g5 e4f3 h5h4 f3g2 h4g4,2032,75,87,340,crushing defensiveMove endgame long zugzwang,https://lichess.org/hTTFYFza#135,
0HUqW,8/8/7p/6p1/3k2P1/5p1P/3K1P2/8 w - - 2 52,d2e1 d4c3 e1d1 c3d3,2016,80,82,48,crushing defensiveMove endgame pawnEndgame short zugzwang,https://lichess.org/rQkwvDti#103,
0HWS5,8/5p2/6k1/3pP3/3P4/8/7K/8 w - - 1 56,h2g3 g6g5 g3f3 g5f5,2049,75,86,409,crushing endgame pawnEndgame short zugzwang,https://lichess.org/94dQq31K#111,
0IU2G,8/8/p1p4p/1p4k1/1P4P1/P1P2K2/8/8 b - - 8 44,g5h4 f3f4 h4h3 g4g5 h6g5 f4g5,2008,76,92,1302,crushing endgame long pawnEndgame zugzwang,https://lichess.org/SLDf1mfg/black#88,
0JbV8,8/p7/3p1kp1/Pp6/1P1pP1KP/3P4/8/8 b - - 1 39,f6e6 g4g5 e6f7 g5h6 f7f6 a5a6 f6f7 h6h7,2089,159,92,14,crushing endgame master pawnEndgame veryLong zugzwang,https://lichess.org/wR43VXhO/black#78,
0LGb3,8/8/6p1/kp1Pp3/7P/2K2P2/8/8 b - - 0 56,a5b6 c3b4 b6a6 b4c5 b5b4 c5b4 a6b6 b4c4,2082,77,90,702,crushing defensiveMove endgame pawnEndgame veryLong zugzwang,https://lichess.org/8nO9u2BT/black#112,
