PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
03NHS,2bqr1k1/5pbp/4pnp1/rp1P4/8/1B3N1P/PB1Q1PP1/R3R1K1 b - - 0 19,f6d5 b2g7 g8g7 b3d5,2135,83,83,48,crushing intermezzo middlegame short,https://lichess.org/hFjQOH26/black#38,Queens_Gambit_Declined Queens_Gambit_Declined_Marshall_Defense
07O5I,2r4k/6p1/p4b1p/2P1p3/3BQ3/Pq3P2/6PP/2R4K w - - 3 37,d4e5 c8c5 c1b1 f6e5,2182,79,90,847,advantage endgame intermezzo short,https://lichess.org/Bv6lSCI3#73,
07Q5s,r1q2rk1/2p3bp/1p1P2p1/p1p1p3/2P1Bn2/P1N2N1b/1P1Q1PPK/R5R1 b - - 0 19,h3g2 d6d7 c8d8 g1g2,2126,124,48,21,advancedPawn advantage intermezzo middlegame short,https://lichess.org/y3I3MOYW/black#38,Kings_Indian_Defense Kings_Indian_Defense_Normal_Variation
07SYH,r4k1r/pq2bpp1/5n2/2p1N3/5Nb1/1P4P1/PBQP4/R4RK1 w - - 4 22,e5g4 h8h1 g1f2 f6g4,2109,92,78,29,advantage intermezzo kingsideAttack middlegame short,https://lichess.org/4WSeVfcz#43,
07kFt,r2qkb1r/p1pb1ppp/8/1B1npnN1/Q7/2P5/PP1P1PPP/RNB1K2R w KQkq - 0 10,g5f7 d7b5 a4b5 e8f7,2121,76,95,2246,advantage intermezzo opening short,https://lichess.org/XwltofXR#19,Italian_Game Italian_Game_Two_Knights_Defense
08QFG,5r1k/6r1/p3Q3/1pp5/5q2/2P2b2/PP4PP/4RRK1 w - - 0 30,f1f3 g7g2 g1g2 f4f3,2112,77,91,720,advantage attraction endgame intermezzo short,https://lichess.org/ERf3PN2G#59,
08VRh,2r3k1/4brpp/p2p4/1bq1n1P1/1p2PB2/1P4QB/P2R4/1N2R2K b - - 4 28,b5d7 f4e5 d7h3 e5d4 c5g5 g3h3,2167,77,89,1110,advantage intermezzo long middlegame,https://lichess.org/2wbl497S/black#56,
08vXK,r1bq1rk1/1p2bp1p/2p1p1N1/2Pn2BQ/1p1P4/P2B4/5PPP/R4RK1 b - - 0 17,e7g5 g6e7 g8g7 h5g5 g7h8 g5h6,2126,76,84,209,crushing interference intermezzo kingsideAttack long middlegame,https://lichess.org/PC3SDqQN/black#34,Caro-Kann_Defense Caro-Kann_Defense_Karpov_Variation
0C7tj,r1br2k1/ppp1qp1p/6pb/4p1n1/2N1Pn2/2P1QN1P/PPB2PPB/R4RK1 w - - 15 18,c4e5 g5f3 e3f3 e7e5,2175,78,91,1179,advantage intermezzo kingsideAttack middlegame short,https://lichess.org/MWeyT6gH#35,Indian_Defense Indian_Defense_Other_variations
0DqRu,6k1/p1q3pp/2p2p2/4RQ2/2Pr4/1PNr1RK1/P5PP/8 w - - 17 30,f3d3 c7e5 f5e5 d4d3 g3f2 f6e5,2176,82,84,45,advantage endgame exposedKing intermezzo long,https://lichess.org/AdOgCpaB#59,
0F26o,1k1r1b1r/1p6/p1b1p3/3NP1qp/2PQ4/8/PP3B1P/2R2R1K b - - 3 23,e6d5 d4a7 b8c7 c4d5,2191,84,91,627,crushing intermezzo middlegame pin queensideAttack short,https://lichess.org/oVW7MTDg/black#46,
0GMEa,4rq1k/pp1n1p1p/2p2npN/3pN1Q1/3P4/1P6/P1P2PPP/R5K1 b - - 3 20,d7e5 g5f6 f8g7 d4e5 g7f6 e5f6,2100,104,78,23,crushing hangingPiece intermezzo kingsideAttack long middlegame pin,https://lichess.org/TjAsx7Nu/black#40,
