PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
027Nz,8/4k3/2q2pp1/P6p/3Q3P/2p1P1P1/5K2/8 w - - 0 51,d4b4 e7d7 a5a6 c3c2,2138,88,77,37,advancedPawn crushing defensiveMove endgame queenEndgame short,https://lichess.org/kcK1UZwy#101,
02Gn8,8/8/6p1/5pkp/1Q6/P5PK/1q4P1/8 b - - 0 51,b2e5 b4h4 g5h6 h4f4 e5f4 g3f4,2130,75,96,1489,crushing endgame long queenEndgame,https://lichess.org/NlnOOioQ/black#102,
03DDA,8/1pq4k/2p3p1/2P2p1p/P1Q4P/4PKP1/8/8 b - - 2 35,h7h6 c4f4 c7f4 f3f4 h6g7 f4e5,2114,76,83,232,crushing endgame long queenEndgame,https://lichess.org/xdG4mSmi/black#70,
05U1U,8/kp6/1qp5/p1Qp3P/3P4/8/6P1/7K b - - 0 45,a5a4 h5h6 a7a6 c5b6 a6b6 h6h7,2158,84,91,538,advancedPawn crushing endgame long queenEndgame,https://lichess.org/IucrdYN0/black#90,
08DEl,8/p4k2/1p1q2p1/4p3/2P3P1/1P2QP2/6K1/8 b - - 0 49,d6d4 e3d4 e5d4 f3f4,2116,79,87,93,crushing defensiveMove endgame queenEndgame short,https://lichess.org/NX59enWn/black#98,
08mbc,2Q5/1p6/p1p3p1/6Q1/8/P5k1/KP6/3qq3 b - - 3 60,g3f2 c8f8 d1f3 g5h4 f2g2 f8f3 g2f3 h4e1,2151,79,100,49,crushing endgame queenEndgame veryLong,https://lichess.org/BDzmdQBo/black#120,
0ASFQ,8/1p6/p1k5/2p1q3/P2P4/KP1Q1P2/8/8 b - - 0 44,e5d4 d3d4 c5d4 a3b4 d4d3 b4c3,2156,89,76,40,crushing endgame long queenEndgame,https://lichess.org/jZFQfhXv/black#88,
0DGOj,2Q5/4k1p1/7p/8/1P6/P3p1P1/4q2P/6K1 w - - 30 54,c8f5 e2d1 g1g2 d1d2 g2h3 e3e2,2105,132,91,15,advancedPawn crushing endgame long master queenEndgame,https://lichess.org/a9lg9oGW#107,
0DpjW,8/5Q2/8/8/3PK2p/6q1/6k1/8 w - - 3 57,d4d5 h4h3 d5d6 h3h2,2121,76,83,107,advancedPawn crushing endgame queenEndgame short,https://lichess.org/yCE0rAY2#113,
0DqzX,8/5pk1/6p1/7p/p1p5/P1Pq2PP/1P1Q1P1K/8 w - - 2 36,d2e3 d3e3 f2e3 g6g5 h2g2 g5g4,2180,111,81,24,crushing endgame long master queenEndgame quietMove,https://lichess.org/PDBhOEUw#71,
0E1Dz,7k/1P3Q2/4p1pp/3pq3/8/7P/6P1/6K1 b - - 2 42,e5e3 f7f2 e3c1 f2f1,2185,84,90,2425,crushing defensiveMove endgame queenEndgame short,https://lichess.org/6LhurVR1/black#84,
0G2ko,8/pp2Q3/2p3p1/3p1pkp/q2P4/7P/P5K1/8 b - - 9 53,g5f4 e7e5 f4g5 h3h4 g5h6 e5h8,2131,76,89,726,endgame long mate mateIn3 queenEndgame,https://lichess.org/TiPZRwFf/black#106,
0KJeI,8/8/1p6/1kp5/8/6PP/2q5/5QK1 b - - 1 42,c2c4 h3h4 c4f1 g1f1 b5c4 h4h5 c4d4 h5h6,2152,78,95,1554,crushing endgame queenEndgame quietMove veryLong,https://lichess.org/3wcutz8U/black#84,
0ZaZc,8/1p1k4/4q3/7Q/8/6PK/5P2/8 w - - 10 73,h5g4 b7b5 f2f4 e6g4 h3g4 b5b4 g4f3 b4b3,2197,77,94,2440,crushing endgame queenEndgame quietMove veryLong,https://lichess.org/I6SMWPk7#145,
0c4Vg,7k/2p3p1/1p1p3p/1P2qP2/2P3PK/3Q3P/8/8 b - - 14 53,h8g8 d3d5 g8f8 d5e5 d6e5 h4g3 f8e7 g3f3,2146,79,90,1513,crushing defensiveMove endgame queenEndgame veryLong,https://lichess.org/hrqywwnz/black#106,
0e94w,8/8/4k3/1K2qp2/1Q6/1P6/8/8 w - - 9 80,b4c5 f5f4 c5e5 e6e5,2188,86,87,122,crushing endgame queenEndgame quietMove short,https://lichess.org/IdVqvkGQ#159,
0e9l3,8/6p1/4kp2/4p3/3q2PP/4QP2/7K/8 w - - 1 48,e3e4 d4e4 f3e4 e6d6 h4h5 d6c5,2127,75,89,264,crushing defensiveMove endgame long queenEndgame,https://lichess.org/AyHMVxtp#95,
0g9Rk,8/8/8/p7/1q6/1P2Q3/1K6/3k4 b - - 11 60,a5a4 e3c1 d1e2 c1c4 b4c4 b3c4,2101,78,92,364,crushing endgame long queenEndgame,https://lichess.org/Vzr3JJRl/black#120,
0iFRz,8/6pk/1p3p1p/p2QpP2/6qP/8/PP1K4/8 b - - 1 39,g4d4 d5d4 e5d4 h4h5 h7g8 d2d3 g8f8 d3d4 f8e7 d4d5,2132,77,87,83,crushing defensiveMove endgame queenEndgame quietMove veryLong,https://lichess.org/cgKcSqy9/black#78,
0ql5z,8/8/1p2k3/p1p1p1p1/2P1Pq1p/1P1K1Q1P/P5P1/8 b - - 3 40,e6d6 f3f4 e5f4 d3e2 a5a4 e2f3 d6e5 f3g4 a4a3 g4g5 e5e4 g5h4 e4f5 h4h5,2197,93,52,33,crushing defensiveMove endgame queenEndgame veryLong,https://lichess.org/BSYQepWm/black#80,
0sGsr,8/2p5/1pQ3p1/pP4kp/P7/7P/5qP1/7K w - - 11 48,c6c7 f2f1 h1h2 f1f4 c7f4 g5f4 h2g1 f4e3,2160,77,81,77,crushing defensiveMove endgame queenEndgame veryLong,https://lichess.org/wGbDCoVs#95,
0tbjN,5q2/2pk1P2/pp6/8/1PKP4/P1P2Q2/8/8 w - - 5 61,c4d5 f8a8 d5e5 a8f3,2131,78,77,86,crushing endgame queenEndgame short skewer,https://lichess.org/nvlN25ZF#121,
0vIuw,5k2/1p1Q2pp/p5p1/4P3/3P2P1/2P4P/PPK2p2/4q3 w - - 13 36,e5e6 e1e2 c2b3 e2b5 d7b5 a6b5,2115,74,99,1202,crushing endgame long queenEndgame,https://lichess.org/RSXtEmtE#71,
0vPG0,8/1q2kp2/1P2p3/3p4/3P1QP1/5K2/8/8 w - - 4 51,f4c7 b7c7 b6c7 e7d7 f3f4 f7f6,2113,80,90,1594,crushing defensiveMove endgame long queenEndgame,https://lichess.org/3RFU3Pso#101,
0wXHE,8/8/p7/5p2/5Q2/2P2P2/3K3k/7q b - - 6 44,h2g1 f4g3 h1g2 g3g2 g1g2 c3c4 f5f4 c4c5,2190,79,86,162,crushing defensiveMove endgame queenEndgame quietMove veryLong,https://lichess.org/Sjfu91K8/black#88,
13KzX,Q7/7p/4K3/1q3p2/7P/8/3k2P1/8 b - - 14 48,d2e3 a8f3 e3d2 f3d5 b5d5 e6d5,2152,75,84,75,crushing endgame long master masterVsMaster queenEndgame,https://lichess.org/aK6uKYxa/black#96,
13VX4,4k3/1p3p2/p1q3p1/P1QpP2p/1P1P4/5K1P/6P1/8 b - - 2 42,g6g5 c5c6 b7c6 h3h4,2111,78,91,215,crushing endgame queenEndgame short,https://lichess.org/acwJ6Aqz/black#84,
16tZk,8/8/p2Q3p/5q2/8/P4k2/5P2/6K1 w - - 0 55,d6a6 f5g5 g1f1 g5c1,2116,97,68,66,endgame master mate mateIn2 queenEndgame short,https://lichess.org/yUQz25UC#109,
18JxO,8/7p/8/1Q3P2/3qp1P1/2k5/4K2P/8 w - - 7 44,g4g5 d4d2 e2f1 d2d3 b5d3 e4d3,2163,77,95,2484,crushing endgame exposedKing long queenEndgame,https://lichess.org/hnVk2raW#87,
1CROa,8/8/6pk/3p1q1p/3Q3P/2P3P1/6K1/8 b - - 2 43,f5e4 d4e4 d5e4 g2f2 g6g5 f2e3,2145,75,85,518,crushing endgame long queenEndgame,https://lichess.org/d4UfYzRx/black#86,
1FZzI,8/p4pp1/7k/1p1Q4/3P4/2P3P1/Pq3PKP/8 w - - 1 39,d5b3 b2b3 a2b3 a7a5 d4d5 h6g6,2142,75,82,93,advantage defensiveMove endgame long queenEndgame quietMove,https://lichess.org/NXdeb6Dv#77,
1MF9q,6k1/ppp5/8/6p1/2P1q1P1/1P2P1K1/4Q3/8 w - - 0 34,e2f3 e4f3 g3f3 g8f7 f3e4 f7e6,2157,78,64,108,crushing defensiveMove endgame long queenEndgame,https://lichess.org/HGJ7GhxW#67,
1QDUB,2k2Q2/2p5/2p2pK1/4p3/4PqP1/8/2P5/8 b - - 5 50,c8d7 f8f7 d7c8 f7e6 c8b7 e6f5,2186,90,84,30,crushing endgame long queenEndgame,https://lichess.org/vgQGKcaG/black#100,
1QnVQ,8/6p1/p2p2qp/1P1Q4/1P2Pk2/3P1p1P/6P1/6K1 w - - 4 39,d5f5 g6f5 e4f5 a6b5 g1f2 f3g2,2155,82,92,986,advancedPawn crushing endgame long queenEndgame,https://lichess.org/y5YhrPhf#77,
1Sz5d,4K3/8/8/3kq3/6Qp/7P/8/8 w - - 17 72,e8f8 e5f6 f8e8 f6e6 g4e6 d5e6,2126,76,96,162,crushing endgame long queenEndgame,https://lichess.org/ZJqh4NYU#143,
1Tul7,8/5k2/2q1pPp1/1p1pP3/p2P4/P7/KP2Q3/8 w - - 1 39,e2d3 c6c4 d3c4 d5c4,2125,79,91,574,crushing endgame master queenEndgame short,https://lichess.org/CfTuSS3T#77,
1WXc3,8/p4pk1/p1P3pp/3p4/3P4/4PK1P/2Q3P1/4q3 b - - 0 40,e1f1 f3g3 f1e1 g3h2,2119,77,90,540,crushing defensiveMove endgame master queenEndgame short,https://lichess.org/nLWEfckP/black#80,
1ivb0,8/2P1q1p1/1pKQ1k2/5P2/1P2P3/8/8/6q1 b - - 1 55,f6f7 d6e7 f7e7 c7c8q g1c1 c6b7,2139,81,88,256,advancedPawn crushing endgame long promotion queenEndgame,https://lichess.org/i9QGSZKW/black#110,
1kL6m,6k1/2p4p/5QpP/3qp3/1Kp5/P7/1P6/8 b - - 1 39,d5d6 f6d6 c7d6 a3a4 g8f7 a4a5,2199,78,93,3178,crushing defensiveMove endgame long queenEndgame quietMove,https://lichess.org/8cRAkDzG/black#78,
1mgU8,8/2Q3pp/p7/4q3/P2p1k2/1P3P2/5K1P/8 w - - 9 37,c7c1 e5e3 c1e3 d4e3 f2f1 a6a5,2144,133,100,13,crushing defensiveMove endgame long queenEndgame,https://lichess.org/YhlsBCXg#73,
1p81a,5Q2/1q3p1k/1p4p1/p1p1PP2/8/2P3PK/7P/8 b - - 0 39,b7d7 e5e6 f7e6 f5f6 g6g5 f8e7 d7e7 f6e7,2157,87,91,2001,advancedPawn crushing endgame queenEndgame veryLong,https://lichess.org/4Zzpqu3l/black#78,
26O7g,8/5p2/6k1/pp4P1/3Q1K2/P1P3P1/1P6/5q2 w - - 4 40,f4g4 f7f5 g5f6 f1f5 g4h4 f5h5,2191,77,100,239,endgame long master mate mateIn3 queenEndgame,https://lichess.org/5QkoHc5j#79,
28Qs2,8/P3qpk1/6p1/1P6/K1Q4P/8/8/8 w - - 1 57,c4c5 e7c5 a7a8q c5c4,2197,77,79,468,crushing endgame master queenEndgame short,https://lichess.org/6CHKeUoE#113,
2EOTt,6k1/4Q3/2p2p2/5Kp1/1p1qP1P1/7P/P7/8 w - - 4 49,e7f6 d4f6 f5f6 c6c5 f6e5 c5c4 e5d4 c4c3,2145,79,91,98,crushing endgame queenEndgame quietMove veryLong,https://lichess.org/oMdmva31#97,
2EYgx,8/5p1k/6p1/5P2/6qp/3pQ1P1/6PK/8 w - - 0 51,f5g6 g4g6 g3h4 g6d6 g2g3 d3d2,2173,77,96,2091,advancedPawn crushing endgame long queenEndgame,https://lichess.org/s9iLDZua#101,
2FXvJ,8/8/pppk4/5Q2/7P/1P4P1/2P2P1K/3q4 w - - 3 43,f5d3 d1d3 c2d3 a6a5 h2g2 b6b5,2156,94,78,51,advantage defensiveMove endgame long queenEndgame quietMove,https://lichess.org/bE02Xieq#85,
2GADV,8/8/7p/6q1/4Q1k1/8/6PK/8 b - - 0 88,g4h5 h2h3 g5g2 h3g2,2186,76,92,869,crushing endgame queenEndgame short,https://lichess.org/gUgwCmeb/black#176,
2GgU1,2K5/8/2Q2p2/6p1/1qk3P1/7P/8/8 b - - 4 57,b4c5 c8d7 c5c6 d7c6 c4d4 c6d6,2190,90,91,909,crushing defensiveMove endgame long queenEndgame,https://lichess.org/Ag778fx6/black#114,
2HBFp,8/8/7p/8/1q3Q2/pk5P/6P1/7K w - - 4 56,f4h6 b4e1 h1h2 e1e5,2182,80,90,447,crushing endgame queenEndgame short,https://lichess.org/r45Vh6A8#111,
2Kfjk,8/2Q2p2/4p1k1/p4p2/5P1p/1PP4P/6PK/4q3 w - - 0 42,c7e5 e1e5 f4e5 f5f4 h2g1 g6f5,2136,76,92,704,crushing endgame long queenEndgame quietMove,https://lichess.org/UZAEpR9Q#83,
2LlID,8/kp6/pQ2p3/P2pP3/1K1P4/1PP5/5p2/2q5 b - - 1 58,a7b8 b6d6 b8a7 d6c5,2169,80,82,57,crushing endgame queenEndgame short,https://lichess.org/VNCNrdac/black#116,
2QoW6,1k6/2pp2pQ/2q5/8/2P5/6PK/7P/8 b - - 0 37,c6h6 h7h6 g7h6 h3g4,2147,76,83,103,crushing defensiveMove endgame queenEndgame short,https://lichess.org/fpmKZ4YN/black#74,
2TnAB,8/Q4pk1/p1p3p1/P3P2p/2qP3P/6PK/8/8 w - - 11 52,a7c5 c4c5 d4c5 f7f6 e5f6 g7f6 g3g4 f6e5 g4h5 g6h5,2142,119,92,15,crushing endgame queenEndgame veryLong,https://lichess.org/SLsa5RJX#103,
2eOJt,8/7k/4p2p/2q2p2/3p1P1P/4PK2/6Q1/8 w - - 0 46,e3d4 c5c3 f3f2 c3d4,2164,78,92,2514,crushing endgame queenEndgame short,https://lichess.org/dASV4814#91,
2eTVq,5K2/5p2/6p1/5qkp/Q7/6Q1/8/5q2 b - - 1 83,f5g4 a4a5 g5h6 a5d2,2161,94,86,34,crushing endgame queenEndgame short,https://lichess.org/A2J1MQie/black#166,
2jNHs,4Q3/8/2k2K2/1p6/p2P4/8/1P6/6q1 b - - 0 47,c6d5 e8e6 d5d4 e6b6 d4d3 b6g1,2171,78,92,2752,crushing endgame long master queenEndgame skewer,https://lichess.org/hsopqQq9/black#94,
2lvYb,6k1/5pp1/4p2p/8/2pqP3/7P/P1Q2PP1/6K1 w - - 0 26,a2a4 d4a1 g1h2 c4c3,2139,81,92,267,crushing endgame queenEndgame short,https://lichess.org/f7wTzvlh#51,
2r7Od,5Q2/5pp1/4p3/3p1k1P/p7/1q2P3/5PK1/8 b - - 4 48,a4a3 f8f7 f5e4 f7g6,2139,79,91,260,crushing endgame master queenEndgame short,https://lichess.org/HQHec62w/black#96,
