PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
10ZGs,8/2k5/1b1p4/1bpPp1p1/4PpP1/r1BP1P2/4B3/2R2K2 w - - 32 63,f1e1 a3c3 c1c3 b6a5 e1d2 b5a4,2256,77,92,5185,crushing defensiveMove endgame long master masterVsMaster pin sacrifice superGM,https://lichess.org/45COpeLu#125,
1JSHk,6k1/1p3p2/2p1n1pp/3nN3/P2P4/2q3PB/5PPK/1Q6 b - - 1 30,c3d4 h3e6 d4e5 b1g6 e5g7 e6f7,2278,86,91,2901,crushing endgame long master pin superGM,https://lichess.org/Mp6rnZqP/black#60,
1ajXV,8/6b1/p1p5/1p1k4/1P3PP1/2BK4/8/8 b - - 2 61,g7f8 g4g5 c6c5 b4c5,2264,81,89,1200,bishopEndgame crushing endgame master masterVsMaster quietMove short superGM,https://lichess.org/8rC78K7w/black#122,
1mGYt,7r/1p3rk1/p2p1np1/1b1Pp1n1/1P2P3/P3KPP1/2R1BN1p/1N5R w - - 8 34,b1d2 b5e2 e3e2 f6h5,2231,76,89,1974,advantage master masterVsMaster middlegame short superGM,https://lichess.org/I3c5PBMK#67,
33D4A,6r1/3P4/2P5/p7/P1P5/3K2p1/6k1/8 b - - 0 58,g2f2 c6c7 g3g2 c7c8q g2g1q c8c5 f2f3 c5g1,2299,123,15,26,advancedPawn crushing deflection endgame master masterVsMaster promotion rookEndgame superGM veryLong,https://lichess.org/Juadsxtp/black#116,
3NC6o,6k1/1p1n4/2pq1pp1/p5N1/P4P2/1PQ2KP1/2P1r3/7R b - - 5 32,e2d2 g5e4 d2c2 c3c2,2228,81,85,197,crushing endgame fork master masterVsMaster short superGM,https://lichess.org/oc146oUx/black#64,
3R410,5rk1/5pp1/p6p/1p3N2/q1p5/6PP/1b2Q1PK/3R4 b - - 1 28,c4c3 e2e5 c3c2 e5b2,2298,84,89,1956,crushing endgame master short superGM,https://lichess.org/Q8Kf9c3Z/black#56,
3htPz,r7/1k2b2p/p1n1Np2/1pP2r2/1P6/R1B5/4K2P/R7 b - - 1 42,a8e8 e6g7 e7c5 g7e8,2242,90,91,3688,advantage fork master masterVsMaster middlegame short superGM,https://lichess.org/HQ2nNtvG/black#84,
4AjOl,3r1r1k/pb3p1B/1q1b1p2/2p5/8/2N5/PP2QPPP/R3R1K1 b - - 0 19,h8h7 e2h5 h7g8 h5g4,2214,81,92,2417,crushing master middlegame short superGM,https://lichess.org/VwWMPFNb/black#38,Scotch_Game Scotch_Game_Schmidt_Variation
4HYEC,8/3q3k/6p1/p3B1b1/N1B4p/1P3Q1b/P4P1K/3r4 b - - 1 35,d7f5 f3d1 f5f2 h2h3,2237,81,86,411,advantage hangingPiece master masterVsMaster middlegame short superGM,https://lichess.org/85ZBErv2/black#70,
4kyOW,R7/1p3kr1/4b3/4p3/p1P5/8/5PPQ/q4BK1 b - - 0 34,e6c4 h2h5 f7e7 h5h4,2227,81,80,884,crushing endgame master masterVsMaster short superGM,https://lichess.org/yPkJEvPZ/black#68,
4rdmF,2q1r1k1/5pb1/p1bBn1pp/p1P1P1n1/8/6PP/PP3PB1/2RQR1K1 w - - 3 22,h3h4 c6g2 g1g2 e6f4 g2g1 c8h3 g3f4 g5f3 d1f3 h3f3,2251,77,92,8179,advantage attraction clearance fork master masterVsMaster middlegame sacrifice superGM veryLong,https://lichess.org/3iVZ5oia#43,
5028A,4rrk1/pQ3pp1/3b3p/2p2q2/2Pp2b1/3P4/PP1B1PB1/RN2R1K1 w - - 3 19,e1e4 g4f3 g2f3 f5f3,2270,87,91,1744,advantage master middlegame short superGM,https://lichess.org/01FzWSUl#37,Zukertort_Opening Zukertort_Opening_Sicilian_Invitation
5AW3I,8/3r4/1R1P4/4p3/8/4KP2/2p5/1k6 b - - 1 66,b1a2 e3d2 a2a3 d2c2 a3a4 c2d3,2205,77,84,320,advantage defensiveMove endgame long master rookEndgame superGM,https://lichess.org/PTlw8Nhz/black#132,
6lcx6,3r1rk1/p4p1p/bp2p1pQ/2q1P3/3N1P2/2n3R1/P2B2PP/R5K1 w - - 0 24,d2c3 d8d4 g1h1 d4d3 g3d3 a6d3,2290,81,87,518,advantage long master middlegame superGM,https://lichess.org/YPoqsXTG#47,
7LMAK,r1b2rk1/1pq3pp/p1nbp3/3p2B1/3P2n1/2NB1N2/PP3PPP/2RQR1K1 w - - 4 15,h2h3 d6h2 g1f1 g4f2 f1f2 c7g3,2266,77,81,290,advantage attraction kingsideAttack long master masterVsMaster opening sacrifice superGM,https://lichess.org/0r6uTyJ6#29,French_Defense French_Defense_Knight_Variation
7WPs0,2r1r1k1/1p4pp/p3q3/3pP1N1/3P4/2P4b/PPQ2K1R/4R3 b - - 0 28,e8f8 f2e3 e6f5 g5h3,2252,89,86,94,crushing defensiveMove master masterVsMaster middlegame short superGM,https://lichess.org/NoSXku8j/black#56,
7fuXP,8/pp3rpk/6r1/1P2P2p/4Qn2/2P2p2/R7/5K2 b - - 3 40,f4h3 a2h2 f7f4 e4d3,2239,82,81,93,crushing endgame master short superGM,https://lichess.org/VnlIjcYz/black#80,
7nV8H,r4rk1/1bq2ppp/1p3b2/p1pR4/8/1P3NP1/PBQ2PBP/4R1K1 b - - 0 18,f6b2 f3g5 g7g6 c2b2 b7d5 g2d5,2211,83,89,2029,advantage intermezzo long master masterVsMaster middlegame superGM,https://lichess.org/mqZWtuBt/black#36,English_Opening English_Opening_Agincourt_Defense
8DFVx,8/6p1/8/2p4p/p1P3kP/6P1/1P3K2/8 b - - 3 35,g4h3 f2f3 h3h2 f3f4,2257,87,87,1741,crushing defensiveMove endgame master pawnEndgame short superGM zugzwang,https://lichess.org/ZjNqfaR4/black#70,
8EIJ5,8/2p5/R7/4PK2/2P5/1k3P2/p3r3/8 w - - 0 48,f3f4 e2e1 a6a2 b3a2,2222,92,90,2116,crushing endgame master masterVsMaster rookEndgame short superGM,https://lichess.org/FTQjxc0M#95,
9S66g,r2q1k1r/6b1/2p1B3/pp6/2PPRpQ1/1P5P/P6P/7K b - - 3 26,g7f6 g4g6 d8e7 e4f4 e7e6 f4f6 e6f6 g6f6,2242,84,88,1710,advantage exposedKing fork master middlegame superGM veryLong,https://lichess.org/HEkEmrh1/black#52,
ACYt0,8/2p2p2/2Ppk1p1/1Pp1p1p1/P1N2nP1/R4P2/7r/4K3 b - - 3 48,h2c2 b5b6 c7b6 c4b6,2244,78,93,5636,advantage endgame master masterVsMaster short superGM,https://lichess.org/bjODZBC4/black#96,
Ana21,3B4/8/8/1B3p1p/P1P1p1k1/3nP1b1/4K3/8 w - - 2 52,a4a5 h5h4 d8h4 g4h4,2294,87,91,805,advantage endgame master quietMove short superGM,https://lichess.org/eRHCm4VY#103,
BAg4J,1r3rk1/5ppp/p1Q2b2/q2n4/3PN3/5N2/PP3PPP/1K1R3R w - - 1 18,e4f6 g7f6 d1c1 d5b4,2262,81,86,766,advantage master masterVsMaster middlegame short superGM,https://lichess.org/4nGD3UWq#35,Queens_Gambit_Declined Queens_Gambit_Declined_Three_Knights_Variation
ByS43,5k1b/7P/3p2B1/2nP2B1/5P2/1p2K3/8/8 w - - 0 42,f4f5 f8g7 e3d2 c5e4,2265,144,54,30,advantage endgame master masterVsMaster short superGM,https://lichess.org/b3UrR3OU#83,
C5rBb,2b2nk1/5p2/p3p1p1/1p2P3/2prBQ2/5RPp/1K3P1P/R3q3 b - - 3 30,c4c3 b2b3 f7f5 a1e1,2228,78,92,3220,crushing defensiveMove master masterVsMaster middlegame short superGM,https://lichess.org/KgANX4AX/black#60,
C75Rm,4r1k1/p1qn1r1p/Q3B1p1/p3p3/4P3/1RP1b1P1/5P1P/4R1K1 w - - 0 25,e1e3 d7c5 e6f7 c7f7 a6a5 c5b3,2212,81,93,5062,advantage fork long master masterVsMaster middlegame sacrifice superGM,https://lichess.org/qJjAbW90#49,
CAUUQ,8/4kp1p/1N1Rpp2/1Pp5/4bQ2/3B3K/2P2Pr1/q7 w - - 3 27,d6d7 e7f8 f4h6 g2g7 h6g7 f8g7,2283,84,87,215,advantage long master masterVsMaster middlegame superGM,https://lichess.org/SJiZEZqA#53,
CHeEh,3r2k1/p4pp1/2p1p1b1/7p/N1BB2n1/1P3QPq/P7/3R2K1 w - - 0 28,a4c3 h3h2 g1f1 g6c2,2218,112,36,26,crushing master masterVsMaster middlegame short superGM,https://lichess.org/Kkq5iidI#55,
CSSSQ,4k3/pp1bq3/5nNQ/3p1P2/8/P3rPPp/1P3R1P/2r2R1K b - - 6 32,e3e1 h6c1 e1c1 g6e7,2235,86,91,4890,advantage master middlegame short superGM,https://lichess.org/lV5W51WL/black#64,
Cr2Ry,8/8/3K4/4P3/2P5/8/1P2rkp1/3R4 b - - 3 74,g2g1q d1g1 f2g1 b2b4,2260,101,90,3798,advantage defensiveMove endgame master masterVsMaster short superGM,https://lichess.org/bzHDTKsx/black#148,
