PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
4EZmc,r1q1r3/pp6/8/2k5/2P5/QP6/P5PP/3R2K1 b - - 3 40,c5b6 a3b4 b6c7 b4d6,2353,82,94,148462,dovetailMate endgame mate mateIn2 short,https://lichess.org/1b04gtD2/black#80,
7RlAf,7r/4pp2/pQ1k1q2/8/2P5/1P2P1p1/P4PP1/6K1 b - - 2 35,d6e5 b6c5 e5e6 c5d5,2344,86,94,3218,dovetailMate endgame mate mateIn2 short,https://lichess.org/CfxiFtg8/black#70,
9yR2g,8/6pk/7p/3Qp3/4P2P/3P2PK/8/5q2 w - - 5 45,h3g4 h6h5 g4h5 f1f3 h5g5 f3g3 g5f5 g3g6 f5e5 g6f6,2302,86,89,703,attraction dovetailMate endgame mate mateIn5 queenEndgame veryLong,https://lichess.org/Ze9qe32I#89,
Ws20y,6k1/p4p2/3p3Q/2p5/1r6/1PqbK1P1/P2R1P1P/8 w - - 0 34,d2d3 c3e1 e3f3 e1e4,2394,81,93,7126,dovetailMate endgame mate mateIn2 short,https://lichess.org/77RRq3Y2#67,
Xl3Uv,rnb2rnk/3p1pbp/2p1p1p1/q3P3/1p1PN3/3BBN2/1PPQ1PPP/1K1R3R w - - 2 14,c2c3 a5a1 b1c2 b4b3 c2b3 a1a4,2321,77,92,9334,attraction dovetailMate long mate mateIn3 middlegame queensideAttack,https://lichess.org/95pxKyq7#27,Modern_Defense Modern_Defense_Other_variations
YKANb,r1b1k1r1/ppN2p2/4p3/2QpPp2/8/7q/PP4P1/n1B2RK1 b q - 1 19,e8d8 c1g5 g8g5 c5f8 d8c7 f8d6,2326,83,94,154208,dovetailMate exposedKing long mate mateIn3 middlegame sacrifice,https://lichess.org/K3vkkdri/black#38,Sicilian_Defense Sicilian_Defense_McDonnell_Attack
pGOvp,1rb3k1/RpP2pp1/3p4/6r1/2B1P2q/2P5/1P1Q1PK1/1N2R3 w - - 1 20,g2f1 h4h3 f1e2 c8g4 f2f3 h3f3,2396,100,90,1439,dovetailMate long mate mateIn3 middlegame,https://lichess.org/BahxIH1c#39,
rV7Oa,5r1k/p5pp/4P1p1/3Q4/1P1N3b/2P4P/2R1RrPK/5q2 w - - 0 31,e6e7 h4g3 h2g3 f2g2 e2g2 f1f4,2312,82,94,6198,attraction dovetailMate long mate mateIn3 middlegame sacrifice,https://lichess.org/cuIQZjcl#61,
sx1OP,4rBQ1/pb1p2pp/n1p5/1qp3P1/3k4/7B/P6P/RN2K1NR w KQ - 1 31,e1d2 b5d3 d2c1 e8e1 c1b2 e1b1 a1b1 d3c3,2340,80,94,13969,dovetailMate exposedKing mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/2GWosEjW#61,
wJ6mp,rnb1r1k1/6p1/2p1pp1p/q2N4/1p1P4/3B1NB1/1PPQ2PP/1K1R3R w - - 1 19,c2c3 a5a1 b1c2 b4b3 c2b3 a1a4,2326,83,95,9626,attraction dovetailMate long mate mateIn3 middlegame queensideAttack,https://lichess.org/mBMoUM3D#37,French_Defense French_Defense_Paulsen_Variation
zCXFh,2r3k1/p2Q3p/6p1/4Bp2/2bP1P2/P2q2P1/1P3R1P/R2K4 w - - 2 35,f2d2 d3f1 d1c2 c4b3 c2b3 f1c4,2313,76,92,1822,attraction doubleCheck dovetailMate exposedKing long mate mateIn3 middlegame sacrifice,https://lichess.org/Plkclhf1#69,
