PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0F8tA,r2q1rk1/pb1ppp2/7p/4P1NP/2Pp4/3BP3/P2N2P1/3QK2R b K - 0 16,d4e3 d1g4 f7f5 e5f6,2344,88,90,328,crushing enPassant middlegame short,https://lichess.org/042ocjRD/black#32,English_Opening English_Opening_Great_Snake_Variation
0GwWe,6k1/1p4r1/p1b5/2Pp1p1q/1P2pP1p/P1P1Q2P/6PK/3R2R1 w - - 1 36,g2g4 h4g3 h2g2 d5d4 d1d4 h5f3 e3f3 e4f3,2390,80,91,1000,crushing enPassant endgame veryLong,https://lichess.org/tGvWmIbL#71,
0lmDg,r1b2r1k/p3Bpp1/2p1p2p/3pP2P/q2P2Q1/7R/5PP1/4KBN1 b - - 0 16,f8e8 g4g7 h8g7 h3g3 g7h7 f1d3 f7f5 e5f6 h7h8 f6f7 a4b4 e7b4,2354,83,89,56,advancedPawn attraction crushing discoveredAttack enPassant kingsideAttack middlegame sacrifice veryLong,https://lichess.org/ztGTRTHx/black#32,French_Defense French_Defense_Winawer_Variation
10UmN,7R/p1r5/5rkp/N1p2p2/P1P1p3/4P1Pb/5P1P/3R2K1 w - - 0 32,d1d8 f6b6 f2f4 e4f3,2317,82,89,937,crushing enPassant endgame quietMove short,https://lichess.org/NyKw9QsB#63,
1E5cX,r3r1k1/pp1qpp1p/6p1/1PPP4/N2b1Pn1/PQ3B2/6KP/2B2R2 b - - 4 22,e7e5 d5e6 d7e6 b3e6 f7e6 f3g4,2332,273,36,13,advantage capturingDefender enPassant long middlegame,https://lichess.org/Ef2q6fxq/black#44,
1KRd0,5rk1/pp2rpp1/3p3p/2q2P2/8/1B4Q1/PPP4P/6RK b - - 6 28,g7g5 f5g6 c5c6 g1g2 e7e6 g6f7 g8f7 g3g6 f7e7 g6e6,2363,80,90,380,advancedPawn advantage attraction doubleCheck enPassant endgame pin veryLong,https://lichess.org/vzSrVjOB/black#56,
1KZpI,2kr4/ppnrppbp/2p1b1p1/4P3/1PP2B2/2NB4/P1K2PPP/3RR3 b - - 2 15,f7f5 e5f6 g7f6 f4c7 d7d3 d1d3 d8d3 c2d3,2314,86,89,659,crushing discoveredAttack enPassant middlegame veryLong,https://lichess.org/4bteoSWy/black#30,Sicilian_Defense Sicilian_Defense_Open
1Ndx3,4r1k1/p1b2ppp/1p6/n1p3P1/4N2q/P2KPB1P/1P1B1P2/6RR b - - 0 22,f7f5 g5f6 e8e4 g1g7 g8f8 f3e4,2327,86,90,839,crushing discoveredAttack enPassant fork long middlegame,https://lichess.org/mrCtDx3q/black#44,
1OX5p,4r1k1/p2bn3/1p4q1/1P1pQr2/5pp1/B1PP3P/2B2PPK/1R2R3 w - - 1 31,e5d4 g4h3 g2g4 f4g3,2338,83,83,173,advantage enPassant master middlegame short,https://lichess.org/f6n71o60#61,
1TPbX,Q4r1k/p1p3pp/3b3q/4pb2/1P1Pp3/P3P3/5PPP/R1B2RK1 w - - 0 18,a8a7 e5d4 g2g3 f5g4 f2f4 e4f3,2308,93,73,88,advantage enPassant long middlegame quietMove,https://lichess.org/CZVVOTWC#35,Queens_Gambit_Declined Queens_Gambit_Declined_Chigorin_Defense
1i0hv,r3r1k1/ppp1qp2/4b2Q/4P3/2P4P/3n2K1/PP1N2P1/4R2R b - - 2 23,d3e1 d2e4 f7f5 e5f6 e7h7 f6f7 h7f7 e4f6 f7f6 h6f6,2324,115,100,35,advancedPawn advantage enPassant fork middlegame quietMove veryLong,https://lichess.org/qyYqsG7J/black#46,
1mo8T,4rr2/p1p4k/1p1p3p/3P1q2/2Pbp2p/1P5P/P2BRPP1/3Q1RK1 w - - 4 24,d2e3 f8g8 f2f4 e4f3 d1d4 f3e2,2358,80,91,694,advancedPawn crushing enPassant long middlegame,https://lichess.org/ZW0Ne4zt#47,
1zgil,r7/pp3qp1/1kp4p/3pQB1n/P2P1P1b/2P5/1P4K1/R1B5 b - - 0 25,a8e8 a4a5 b6a6 f5d3 b7b5 a5b6 a6b6 e5d6,2336,116,84,28,crushing discoveredAttack doubleCheck enPassant middlegame veryLong,https://lichess.org/gkCvefA6/black#50,
27k5M,8/8/2p1p3/1p6/p2Pk2p/2P4P/PP1K2P1/8 w - - 0 34,b2b3 a4b3 a2b3 b5b4 c3c4 e4d4 g2g4 h4g3,2306,77,76,80,crushing enPassant endgame pawnEndgame veryLong zugzwang,https://lichess.org/DuKy54Fp#67,
2EDLZ,2r2rk1/1q1bbppp/p3p3/1p1nP3/4QB2/2N4P/PPB3P1/2RR2K1 b - - 2 20,f7f5 e5f6 b7a7 f4e3 a7e3 e4e3,2361,80,74,117,advantage enPassant long middlegame,https://lichess.org/wnbtS3BN/black#40,
2GYuO,3r2k1/1p1rbpp1/1qp1p2p/p3P2P/3PQ3/1P1B4/P4P2/3R1R1K b - - 4 26,f7f5 e5f6 e7f6 e4e6 g8f8 d3c4,2391,78,84,172,crushing defensiveMove discoveredAttack enPassant kingsideAttack long middlegame,https://lichess.org/xyJW9ojx/black#52,
2MNAL,8/6p1/p2kPp2/1p3P1p/1P1K3P/P7/8/8 b - - 1 43,g7g5 f5g6 d6e6 d4e4 f6f5 e4f4 e6f6 g6g7,2358,79,90,1145,advancedPawn crushing enPassant endgame pawnEndgame veryLong,https://lichess.org/AhP6OVjV/black#86,
2oF93,3r1r2/1p1n1pk1/p3p1pp/2q1P3/5Q2/2P3RP/P4PP1/1B2R1K1 b - - 2 26,f7f5 e5f6 f8f6 g3g6 f6g6 b1g6 d8f8 f4g3,2318,87,87,40,advantage defensiveMove enPassant master middlegame veryLong,https://lichess.org/1KMFloFs/black#52,
335Fz,8/pp6/5k2/3P1B2/1PP5/5Kb1/8/8 b - - 0 50,f6f5 f3g3 f5e5 b4b5 a7a5 b5a6,2377,88,91,931,crushing enPassant endgame hangingPiece long quietMove,https://lichess.org/8MFPgcbw/black#100,
