PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00CNA,rnbq1r2/pp1n2bk/3pB1p1/4P1N1/5P2/2p5/PPP3P1/R1BQK3 b Q - 1 13,h7h8 d1d3 d8g5 f4g5,2502,82,87,72,crushing opening short,https://lichess.org/FSuTnQiL/black#26,Pirc_Defense Pirc_Defense_Austrian_Attack
00FOM,8/5k2/8/3pPPB1/1p4K1/1b6/8/8 b - - 0 45,b3d1 g4h4 d1a4 e5e6,2585,89,71,164,bishopEndgame crushing defensiveMove endgame short,https://lichess.org/9wp9pR0Q/black#90,
00Xop,r2q1rk1/2p2nbp/1B1p2p1/4p1N1/4P1P1/1bN4P/PP1Q1P2/2KR3R w - - 0 18,b6c7 d8c7 a2b3 f7g5,2535,103,90,1013,crushing hangingPiece master middlegame short,https://lichess.org/Bw3qJ0LJ#35,Queens_Pawn_Game Queens_Pawn_Game_Other_variations
012Fl,2b2k1r/2q2p2/p1p2PpP/4p3/2r1B3/5Q2/P1P4P/R2R3K b - - 0 24,h8h6 f3e3 h6h2 h1h2,2537,79,81,204,crushing master middlegame short,https://lichess.org/A5XXEOaT/black#48,
01HwG,r6k/1p2R1b1/3P2P1/8/b1B2p2/pKp2P1P/8/7R w - - 4 34,b3a3 a4d1 c4a6 c3c2,2594,79,94,299,advancedPawn advantage discoveredAttack endgame master pin short,https://lichess.org/WWYKvTiO#67,
01icD,r4rk1/2p1q1p1/p7/Q2Rp2b/7P/2N1P1B1/PP3P2/2K5 b - - 1 24,a8d8 d5e5 e7d7 e5d5,2582,82,85,593,crushing fork master masterVsMaster middlegame short,https://lichess.org/S74huRTI/black#48,
01pcP,r4rk1/pp1b1pp1/2p1pn1p/7q/P6B/2PB4/2P2QP1/4RRK1 b - - 3 24,b7b6 h4f6 g7f6 e1e3,2584,97,89,153,advantage middlegame short,https://lichess.org/oKbyFhOc/black#48,
02Oku,r2qk2r/p2nbppp/2n5/2p1p3/4N3/3Q4/PPPP1PPP/RNB1K2R w KQkq - 0 14,e4d6 e7d6 d3d6 c6b4,2515,106,86,545,advantage opening short,https://lichess.org/97Qk80ic#27,Italian_Game Italian_Game_Two_Knights_Defense
02cVr,r2q1rk1/pp3pb1/2p1p2P/3nN3/3P4/1Q6/PPP1Nn2/1K4R1 b - - 0 22,f2e4 g1g7 g8h8 b3b7,2595,99,80,123,advantage middlegame short,https://lichess.org/XvSO3yBG/black#44,
02fRr,r2r2k1/ppq1bppp/4pn2/6B1/1n1P4/2N1Q3/PP1RNPPP/5RK1 b - - 15 16,b4a2 g5f4 c7c4 b2b3,2516,109,77,48,advantage middlegame short,https://lichess.org/pNyTOfon/black#32,French_Defense French_Defense_Steiner_Variation
02jTo,2r3k1/5p2/1p1n1b2/6pp/pP1NP3/P1r1BPPK/Q6P/8 w - - 1 31,a2d2 g5g4 f3g4 d6e4,2553,83,90,920,crushing deflection master middlegame short,https://lichess.org/bUUeWoxY#61,
02n0v,2r2rk1/6pp/b3R3/2PBQpq1/1p6/pP4P1/n4P1P/B5K1 b - - 1 27,g8h8 f2f4 g5g4 d5f3,2583,111,89,589,crushing master middlegame short,https://lichess.org/ffKBI3Po/black#54,
03DMs,1r4k1/3q1pp1/p2b2n1/Bp1Nr3/8/PQ6/1PP3RP/2K2R2 b - - 0 33,d7c6 d5f6 g7f6 g2g6,2511,101,90,936,crushing kingsideAttack middlegame pin short,https://lichess.org/P3UpyKfh/black#66,
03f4f,r1b2rk1/p3ppbp/2pp2P1/8/2B1n3/2N5/PqPB2PP/R2Q1R1K b - - 0 13,e4c3 c4f7 f8f7 g6f7,2503,90,81,359,advancedPawn advantage kingsideAttack opening short,https://lichess.org/LWdqoK3e/black#26,Sicilian_Defense Sicilian_Defense_Other_variations
03fqJ,8/4k3/4p3/3pP2K/3P3P/4P1P1/8/3n4 w - - 1 41,g3g4 e7f7 h5g5 d1e3,2548,104,90,921,crushing endgame knightEndgame short,https://lichess.org/NL0NbKSH#81,
04M9k,2kr3r/p1p5/2pb1p2/3p3p/Q5b1/1NN5/PPP2qPP/R1B1R2K w - - 6 20,c1d2 g4f3 a4a6 c8b8,2515,89,90,241,advantage middlegame short,https://lichess.org/VrwG1uM6#39,
04SGs,4r1k1/p4pp1/3q1n1p/1PRP3b/2Q5/2BB3P/5PP1/5K2 w - - 1 28,c4d4 d6h2 f2f4 h5f3,2547,94,87,114,advantage middlegame short,https://lichess.org/aJ9w6jMl#55,
04bXw,r1b2rk1/pp3pp1/2p1p2p/4P2Q/5B2/2Pq4/PP3PPP/R3R1K1 w - - 0 16,f4h6 d3h7 e1e3 h7h6,2500,82,92,1563,advantage master middlegame short,https://lichess.org/MOL4InuO#31,Alekhine_Defense Alekhine_Defense_Other_variations
04hHW,rnb1kb1r/pp3p2/3p3p/qB2p1p1/4n3/2N2NB1/PPP2PPP/R2QK2R b KQkq - 3 10,c8d7 d1d5 d7b5 g3e5,2591,103,70,95,advantage opening sacrifice short,https://lichess.org/NY247VfU/black#20,Sicilian_Defense Sicilian_Defense_Other_variations
04kWd,7r/pp4p1/8/4k3/4p1p1/6P1/PPK2P1P/3R4 w - - 4 29,d1h1 h8f8 c2d2 f8f2,2574,100,90,388,crushing endgame rookEndgame short,https://lichess.org/9YizLjHp#57,
04zwt,r4rk1/p1p3qp/1pnp2p1/3N4/2P1PRB1/7Q/Pb4PP/5R1K w - - 0 26,d5c7 g7c7 g4e6 g8g7,2595,85,78,163,crushing defensiveMove hangingPiece middlegame short,https://lichess.org/XrTqGPDZ#51,
051oO,4r1k1/pp2rpp1/3P2bb/2p5/2P4Q/1Pq5/P5PP/3R1R1K b - - 0 30,e7e1 f1e1 e8e1 h4e1,2552,92,76,120,advantage middlegame short,https://lichess.org/zhO9UD1m/black#60,
05IPQ,r6k/ppp2Qpp/2nb4/6B1/8/2P2N2/Pq3PPP/4R1K1 b - - 1 21,c6e5 f3e5 a8f8 e5c4,2546,103,90,637,crushing middlegame short,https://lichess.org/ZWPpRhRF/black#42,
