PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0BebU,r7/1pq1rp1R/6p1/pp1p2kR/P2Pn1N1/3QP3/4KPP1/8 b - - 2 28,g5g4 d3e4 d5e4 f2f3 e4f3 g2f3 g4g3 h5g5,2729,105,92,1826,mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/I8XP0Ky9/black#56,
0UR61,r4k2/7q/p3p1Rp/1p1pP2Q/2nP2P1/2P4N/PPn4P/7K w - - 3 29,g6h6 h7e4 h1g1 e4e1 g1g2 c2e3 g2f3 c4d2 f3f4 e1f1 h3f2 f1f2 f4g5 d2e4 g5g6 f2f7,2710,108,89,2476,kingsideAttack mate mateIn5 middlegame veryLong,https://lichess.org/xOC0egRl#57,
0YZ0j,r5k1/5r1p/1n1p2pQ/p1p1pN2/P3P3/1pPP1q2/1P3P2/2K3RR b - - 1 26,f3d3 h6g6 h7g6 g1g6 f7g7 g6g7 g8f8 h1h8,2707,110,91,1001,kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/omGgTWYE/black#52,
0neOV,rnbqkbnr/ppp3pp/8/7Q/4pp2/1B6/PPPP2PP/RNB1K2R b KQkq - 1 8,e8d7 h5d5 f8d6 d5f5 d7c6 b3a4 b7b5 f5b5,2729,99,93,5678,dovetailMate mate mateIn4 opening veryLong,https://lichess.org/s7CP0WNu/black#16,Kings_Gambit Kings_Gambit_Other_variations
0qhPZ,r1b2rkR/pp4p1/4p1Q1/q2pPpP1/2pn4/2b5/PPP1BPP1/2KR4 b - - 1 19,g8h8 d1h1 h8g8 g6h7 g8f7 e2h5 f7e7 h7g7 f8f7 g7f7 e7d8 f7f8 d8c7 f8d6,2714,100,92,7446,deflection dovetailMate kingsideAttack mate mateIn5 middlegame veryLong,https://lichess.org/cmHDlRhv/black#38,French_Defense French_Defense_Classical_Variation
19jqO,2R5/5pBk/3KpN1p/3p4/3P2P1/4rn2/8/8 b - - 2 50,h7g7 f6h5 g7h7 d6e7 e6e5 h5f6 h7g6 c8g8,2773,102,90,2028,endgame mate mateIn4 veryLong,https://lichess.org/vRkT3f2s/black#100,
1EyJ6,8/Q3Bppk/2p4p/8/5P1P/2q3K1/7P/8 w - - 1 42,g3g4 f7f5 g4f5 c3d3 f5g4 h6h5 g4h5 d3g6,2771,104,91,1122,attraction endgame mate mateIn4 sacrifice veryLong,https://lichess.org/XQV88Kk7#83,
1IKZh,8/2k4P/p2p4/1ppP4/K1P5/1P6/P6Q/2q5 w - - 0 55,c4b5 a6b5 a4b5 c1f1 b5a5 c7b7 h2d6 f1e1 a5a4 e1b4,2707,103,91,4934,attraction endgame mate mateIn5 queenEndgame veryLong,https://lichess.org/M4Me1NGB#109,
2ed8g,r6r/4kp2/p3pQR1/1p2P2q/3p4/4n3/PP4RP/7K b - - 4 37,e7d7 f6f7 d7c6 f7e6 c6c5 b2b4 c5b4 g2b2 b4a5 e6b6 a5a4 b6a6 a8a6 g6a6,2799,112,91,2529,attraction deflection mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/fNbxMp3w/black#74,
2r8sG,8/2R5/p1p1P3/4n3/1P4k1/2P5/P5PK/3r4 w - - 3 33,e6e7 g4f4 g2g3 f4f3 e7e8q e5g4 h2h3 d1h1,2729,98,92,2658,defensiveMove endgame mate mateIn4 veryLong,https://lichess.org/lZhH3Id2#65,
3EYtF,8/1kr5/3R1R2/p1p2p2/P1B5/1P1Kp3/2P2q2/8 b - - 5 44,e3e2 c4d5 b7b8 d6b6 b8c8 f6f8 c8d7 d5e6 d7e7 f8f7 e7e8 b6b8 c7c8 b8c8,2759,102,89,260,endgame exposedKing mate mateIn5 veryLong,https://lichess.org/4SElmWb4/black#88,
3FXTa,r3k2r/1bR2pp1/7p/1p5q/8/4PN2/5PPP/3Q1RK1 b kq - 0 19,b7f3 d1d6 h5g5 d6d7 e8f8 d7f7,2718,114,91,2246,long mate mateIn3 middlegame,https://lichess.org/1sqK0eHi/black#38,English_Opening English_Opening_Anglo-Scandinavian_Defense
3kL4P,8/5pQ1/6p1/6k1/4q2p/6P1/5P1P/6K1 w - - 0 44,g7f7 e4b1 g1g2 h4h3 g2h3 b1f1,2758,112,89,1381,attraction endgame long mate mateIn3 queenEndgame,https://lichess.org/tN2a3tk1#87,
5V6Gv,5r2/pp3pk1/4p1p1/2P1P1P1/2R3P1/4Q2K/PP2nP1N/7q w - - 11 32,e3e2 h1g1 h2f3 f8h8 f3h4 h8h4 h3h4 g1h2,2759,108,91,1474,attraction endgame master mate mateIn4 sacrifice veryLong,https://lichess.org/10hBDWhQ#63,
5bhNi,5r1k/6p1/3P3p/1P6/1Q4P1/P6P/5rK1/8 w - - 1 39,g2g3 f8f3 g3h4 f2h2 g4g5 h2h3 h4g4 h6h5,2712,98,92,3500,endgame mate mateIn4 queenRookEndgame veryLong,https://lichess.org/MG6EhPiy#77,
5uwAj,r2q1r2/pp2np1p/6p1/3P4/2P4k/5B1P/P4PP1/2B1R1K1 b - - 5 22,f7f5 g1h2 f5f4 e1e5 e7f5 c1f4 d8g5 g2g3 g5g3 f2g3 f5g3 f4g3,2766,115,90,2377,interference mate mateIn5 middlegame veryLong,https://lichess.org/y9Y3ZVhP/black#44,
6Xg8n,r5k1/6Rp/4ppn1/3b4/p2Q4/P1B2P2/1P2q1PP/6K1 b - - 0 27,g8g7 d4f6 g7h6 f6g7 h6h5 g7h7 h5g5 h2h4 g6h4 h7e7 g5f4 e7h4 f4e3 h4d4,2764,114,90,3024,deflection endgame mate mateIn5 skewer veryLong,https://lichess.org/nPnGWmH4/black#54,
6psXs,r1q4r/pbpR1pkp/1p2pNp1/5nQ1/2P2P2/8/PP2B1PP/5RK1 b - - 6 22,h7h6 g5g6 g7g6 e2h5 g6g7 d7f7,2736,96,91,2169,attraction long mate mateIn3 middlegame pin sacrifice,https://lichess.org/iUjZnhWt/black#44,
72922,4Q3/2N4p/3p2pk/5p2/4p3/6PP/2P1RP1K/q2r4 w - - 3 36,g3g4 d1h1 h2g3 h1h3 g3h3 a1h1 h3g3 f5f4 g3f4 h1f3,2738,96,94,1141,attraction endgame mate mateIn5 sacrifice veryLong,https://lichess.org/P7ry9kkw#71,
7gVfy,8/4bp1k/P3p1p1/1Q2Pn1p/2P5/6PK/P4r1P/8 w - - 3 36,a6a7 g6g5 g3g4 h5g4 h3g4 f2f4 g4h3 g5g4 h3g2 f5e3 g2g3 f4f3,2747,102,94,2442,attraction endgame mate mateIn5 quietMove veryLong vukovicMate,https://lichess.org/rCHazGf4#71,
88g2C,4k2r/pQp2p1p/6p1/5bB1/2Bq3P/8/PPn1KPP1/R6r b k - 3 18,h1a1 b7a8 e8d7 c4b5 d7e6 a8c6 d4d6 b5c4 e6e5 f2f4 e5d4 g5f6 d6f6 c6d5,2796,106,90,3294,fork mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/CKUjthOO/black#36,Four_Knights_Game Four_Knights_Game_Italian_Variation
