PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
03iyb,7r/5p2/3R1np1/2Pk4/6q1/Q7/6Pr/6K1 b - - 7 36,d5e5 a3b2 e5f4 b2f2 f4g5 f2f6 g5h6 f6h8,2913,95,93,699,crushing endgame interference veryLong,https://lichess.org/7jfiGxoe/black#72,
3QQmz,2kr3r/bp4p1/p1pp1pn1/P7/2P1PPq1/1PNQ1Rp1/1B2N1K1/7R w - - 0 23,h1h8 d8h8 f3g3 g4f4 e2f4 g6f4 g2f3 f4d3,2934,107,87,417,crushing exposedKing fork interference middlegame veryLong,https://lichess.org/s1hzFEUt#45,
6Zt9l,Q7/1r3p1k/4p1pp/3pP3/1q1P4/4P3/1pB2KPP/1R6 w - - 0 40,a8a4 b4d2 f2f3 h7g7 c2d1 b7c7 a4b5 c7c1 b1b2 d2d1,2988,113,87,913,advantage endgame interference quietMove veryLong,https://lichess.org/bdpuLqy1#79,
AL7ie,r3k2r/ppp2p2/1b2N3/2n2Q2/2q2Bp1/2P5/PP1K1P2/R2BR3 b kq - 0 27,f7e6 d1a4 c7c6 f5g6 e8d7 g6g7 d7c8 g7h8,2922,121,91,2404,crushing exposedKing interference middlegame pin veryLong,https://lichess.org/2tysQSOf/black#54,
Akwps,5r1k/3Q2pp/p7/1p2P3/1P1BN2b/P6r/2R2P1q/4RK2 w - - 0 28,c2c8 h2h1 f1e2 h1e4 d4e3 h3f3,2901,90,94,314,advantage interference long middlegame,https://lichess.org/GVtn3YDP#55,
EugJU,r2qk2r/pp1nb1p1/2p1Rn1p/3p2B1/2B4Q/2N5/PPP2PPP/2KR4 b kq - 0 13,e8f7 c3d5 c6d5 d1d5 h6g5 e6f6 g7f6 d5g5 f7e8 h4h8,2979,119,85,328,crushing discoveredAttack interference master middlegame sacrifice veryLong,https://lichess.org/fj8suTfX/black#26,Bishops_Opening Bishops_Opening_Urusov_Gambit
FkhO5,6k1/1p5p/2p2P2/3pn1P1/4q3/1P4QP/3B4/6K1 w - - 2 32,h3h4 e4e2 d2e3 e5f3 g1h1 e2e3,2909,112,90,1013,crushing endgame exposedKing interference long,https://lichess.org/jhwCgMUP#63,
HhIly,r4k1r/ppp3p1/2q5/4p1B1/1bBn2n1/2NP1P2/PPPQ2KP/R4R2 w - - 1 16,c4d5 h8h2 g2g3 d4f5 g3g4 f5e3 g4g3 h2d2 d5c6 d2g2 g3h3 g2g5,2931,112,90,174,advantage interference middlegame sacrifice skewer veryLong,https://lichess.org/jSQYlaeR#31,Four_Knights_Game Four_Knights_Game_Italian_Variation
IAaxG,8/3B1K2/5p2/5R2/P5P1/4k3/5r2/b7 b - - 1 80,f2f5 d7f5 a1c3 f7e7 e3d4 e7f6,2922,108,86,472,crushing endgame interference long master zugzwang,https://lichess.org/ZJSWX0uo/black#160,
IpgF9,1k1r3r/1p2qpb1/pQ1p3p/N2P2p1/b3Pp2/2P5/6PP/1R2B1K1 b - - 0 25,d8d7 e1f2 b8c8 b6a7 d7c7 a5c4 c7c4 a7a8 c8d7 b1b7 c4c7 b7c7 d7c7 a8a7 c7c8 a7e7,2976,118,84,365,advantage attraction deflection interference middlegame queensideAttack quietMove sacrifice skewer veryLong,https://lichess.org/R3zf62NN/black#50,
JvDEB,1q3kr1/p7/1P6/3p2pp/7P/P2P1P1b/4P2P/1R1QR1K1 w - - 0 25,h4g5 b8f4 g1f2 d5d4 e1g1 f4h2 f2e1 h2g1,2921,115,90,1525,crushing deflection endgame interference quietMove veryLong,https://lichess.org/njwqR56T#49,
