PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0495p,7k/pp3Bqp/n4Q2/8/8/4P3/PP3P1P/4K1R1 b - - 1 27,g7f6 g1g8,399,91,100,214,endgame mate mateIn1 oneMove,https://lichess.org/s4KanwGx/black#54,
06g3S,4r3/2p5/2Rb2k1/p4p2/P7/4B2P/5PP1/6K1 w - - 0 42,e3c5 e8e1,399,113,92,763,endgame mate mateIn1 oneMove,https://lichess.org/hb6MvCJb#83,
07qIe,4rk2/ppp1rp1p/6p1/5Q2/3p4/P2P2R1/KPP5/6R1 b - - 0 25,g6f5 g3g8,399,112,92,528,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/SBePwdKa/black#50,
08n0n,r3Nr2/5p1p/1p4p1/p2p1pq1/3P1k2/1PP2PPQ/5K2/4R3 b - - 0 38,g5g3 h3g3,399,94,100,240,endgame mate mateIn1 oneMove,https://lichess.org/WTzuH6z9/black#76,
0AKwW,8/2k5/5p2/p2R4/1p5P/1Pp5/P1P5/1K4r1 w - - 2 44,d5d1 g1d1,399,109,91,1591,endgame hangingPiece mate mateIn1 oneMove rookEndgame,https://lichess.org/BulKZKVG#87,
0CBPG,6k1/pp3rp1/6P1/8/8/P2R4/1KP5/8 b - - 0 30,f7c7 d3d8,399,110,92,446,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/DRbgdUNh/black#60,
0DXM7,8/1P6/R7/6k1/8/P4rpp/6R1/7K w - - 0 64,g2b2 f3f1,399,99,96,396,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/nTrY3C5x#127,
0GZc2,1k6/ppp5/3pr1p1/5p1P/3P4/2P3R1/P1KP4/8 b - - 0 29,g6h5 g3g8 e6e8 g8e8,399,105,96,295,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/NntTnGBi/black#58,
0Hyt7,7k/1pp3pp/p2p4/6q1/4p3/1PN2Q2/1PP5/4RK2 b - - 0 33,e4f3 e1e8,399,117,85,335,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/yXTeGUfO/black#66,
0INeh,r4rk1/pPp3pp/3b4/4p3/4Q3/2N5/PPP3PP/4Rq1K w - - 2 19,e1f1 f8f1,399,102,69,129,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/SMnpH0w6#37,
0KuIY,5rk1/5pp1/8/3qp1Q1/7p/7P/6RK/1r6 b - - 5 39,d5d6 g5g7,399,111,96,842,endgame mate mateIn1 oneMove,https://lichess.org/iiHERB7A/black#78,
0LQiB,1kr5/pp4pp/8/8/3P4/4PB2/2R2PPP/6K1 w - - 1 40,c2b2 c8c1 f3d1 c1d1,399,106,90,658,backRankMate endgame mate mateIn2 short,https://lichess.org/kEsgOjN3#79,
0NB2b,2r2rk1/pp3p2/6p1/4pb1p/7P/5PQ1/PP4P1/K1q4R w - - 0 26,h1c1 c8c1,399,87,77,170,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/fSUtP6Js#51,
0NVzI,3rQ2k/6pp/2p5/2B5/pP6/2P5/P4KPq/4R3 b - - 1 28,d8e8 e1e8,399,93,100,229,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/psMuaHm1/black#56,
0SBFj,4q2k/1p2r1pp/p2R1b2/8/6Q1/8/PP4PP/5R1K w - - 3 31,f1f6 e7e1 f6f1 e1f1,399,104,95,776,backRankMate endgame mate mateIn2 short,https://lichess.org/iA14vvBr#61,
0SgVk,4r3/2p3kp/5p2/b7/8/5N2/P1R2PPP/5K2 w - - 0 29,f3d4 e8e1,399,88,100,133,endgame mate mateIn1 oneMove,https://lichess.org/YwBSLVMg#57,
0TUDr,3r2k1/7p/1p4n1/p6R/8/2N1Q3/PPP3P1/2K2q2 w - - 0 31,c3d1 f1d1,399,103,81,170,endgame mate mateIn1 oneMove,https://lichess.org/g5vyjqUs#61,
