PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
05nJe,r4k1N/p1p2Bpp/1b6/2p3q1/4n3/5P2/PP4KP/R3Q2R w - - 4 24,g2f1 e4d2 f1e2 c5c4 e1d2 g5g2 e2d1 g2f3 d1c2 f3e4,3008,110,94,385,crushing deflection exposedKing fork middlegame quietMove sacrifice veryLong,https://lichess.org/tMKXqLiG#47,
0zpL3,2r2rk1/3b2p1/p3RB1p/8/6Q1/5PK1/6PP/5q2 b - - 0 34,g7g5 g4e4 f8f6 e6f6 d7f5 e4d5 g8h8 d5e5,3029,108,93,587,crushing exposedKing fork middlegame quietMove veryLong,https://lichess.org/vrNhMfJE/black#68,
1jVa7,8/8/6k1/2p5/2K2PPP/2P5/8/b7 b - - 2 47,g6f6 g4g5 f6f5 h4h5 a1b2 h5h6 f5g6 f4f5 g6h7 c4d5 b2c1 g5g6 h7h6 d5c5,3089,127,90,1339,bishopEndgame crushing endgame exposedKing quietMove veryLong,https://lichess.org/pqFt8aep/black#94,
1tEod,r2r2k1/ppp2pbp/2n3p1/8/3p2q1/2N1PN2/PPQ1BP1K/R1B1R3 w - - 0 17,f3d4 g7e5 f2f4 e5f4 e3f4 g4h4 h2g2 c6d4 c2e4 h4e1,3000,109,90,872,advantage exposedKing fork middlegame sacrifice veryLong,https://lichess.org/jnAYAfFB#33,Grunfeld_Defense Grunfeld_Defense_Other_variations
3K15G,1k3r2/1p6/2P4b/p2p4/Pn2P3/R4pp1/1P1RQ1Bq/5K2 w - - 0 38,c6c7 b8c7 a3c3 c7b6 c3f3 f8f3 g2f3 h6d2 e2b5 b6c7 b5c5 b4c6,3041,120,90,526,crushing defensiveMove exposedKing middlegame veryLong,https://lichess.org/iiinvvnM#75,
3WV0g,r4r2/p1q3bk/2p3p1/2n1p1PP/1p1p4/1B3P1R/PPPRQ3/2K5 b - - 0 23,g6h5 b3c4 c7d7 g5g6 h7g6 e2g2 g6f6 h3h5,3029,120,91,1603,advantage attraction deflection exposedKing middlegame quietMove veryLong,https://lichess.org/m90RD0Ys/black#46,
3q8ln,r6r/p2nqkb1/1p1pBnp1/3Pp1B1/4P3/7Q/PP3PP1/R3K2R b KQ - 4 20,f7f8 h3h8 g7h8 h1h8 f8g7 h8a8 d7c5 a8g8 g7h7 g8c8,3035,107,86,285,crushing exposedKing middlegame skewer veryLong,https://lichess.org/2UUhisi8/black#40,
3vAWh,3Q4/6pk/8/8/2p3qp/3pP3/3R1P2/5K2 w - - 1 38,f2f3 g4f3 f1g1 f3e3 d2f2 c4c3 d8h4 h7g6,3002,121,85,427,crushing defensiveMove endgame exposedKing fork veryLong,https://lichess.org/DupYaShe#75,
3vblL,r4k1N/ppp3pp/3P4/2b2q2/4NBb1/3Q2P1/PPn2K1P/R3R3 w - - 0 22,f2f1 g4h3 f1e2 a8e8 e2d2 c2e1 a1e1 c5b4 e4c3 f5d3 d2d3 e8e1,3026,98,89,887,crushing exposedKing middlegame veryLong,https://lichess.org/ikhm68Yd#43,
3xdie,r4k2/5qbQ/bpp1p2p/7P/1P1P1Pp1/p1P3P1/P1B2R2/2K5 b - - 3 32,e6e5 c2b3 a6c4 b3c4 f7c4 f4e5 f8e8 c1d1,3000,114,81,278,crushing defensiveMove discoveredAttack exposedKing middlegame veryLong,https://lichess.org/07Fwz9Nl/black#64,
4xrmQ,2b3k1/q1r2Pb1/p7/1p1p4/1P1N3Q/2Pr4/P1R5/2R4K b - - 0 33,g8f7 c1f1 f7g8 h4d8 g8h7 d4f3 d3f3 f1f3 c7e7 c2h2 g7h6 h2g2,3018,117,88,1648,advantage defensiveMove exposedKing middlegame quietMove veryLong,https://lichess.org/2lRUANpG/black#66,
5JZqC,3r1rk1/1p6/p1b4p/3pP1P1/3Q1pq1/2P2R2/P4PP1/4R1K1 b - - 0 30,h6g5 e5e6 d8e8 f3h3 e8e6 h3h8 g8f7 h8h7 f7e8 e1e5,3023,107,85,303,advantage exposedKing middlegame quietMove veryLong,https://lichess.org/wz6XYp67/black#60,
6HqE8,2r5/8/pP1k3P/2pPb3/2P5/4p1BK/5p2/7R w - - 0 41,g3e5 d6e5 h3g2 e5e4 h6h7 c8f8 h7h8q f2f1q h1f1 f8h8 f1b1 h8g8,3031,116,88,1470,advancedPawn advantage endgame exposedKing master promotion quietMove veryLong,https://lichess.org/Fbhxszfz#81,
6gZZT,8/4prk1/Q5p1/p2P4/Pp1bnPpp/1P6/7K/5R2 w - - 0 47,a6a5 e4d2 f1d1 d2f3 h2g2 f7f4 d5d6 e7d6,3072,116,88,642,crushing endgame exposedKing master veryLong,https://lichess.org/Acv4mhHT#93,
74SWx,5k2/4n3/1p3P2/p2pP1Q1/3P2P1/7K/P3q3/8 b - - 10 52,e2d3 h3h4 e7g6 h4h5 f8f7 e5e6 f7e6 h5h6 e6f7 g5d5 f7f6 g4g5 f6e7 d5b7,3035,121,88,318,crushing defensiveMove endgame exposedKing veryLong,https://lichess.org/Hn6Mq5FR/black#104,
