PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
1svff,1k1r4/1p4p1/p5q1/4p1Br/3nP1QP/8/PPP2PP1/R4RK1 w - - 1 21,c2c3 h5h4 g4h4 g6g5 h4h3 d4e2,3024,114,89,1757,advantage kingsideAttack long middlegame,https://lichess.org/YlgCxNvi#41,
2ovAT,1k5N/pppr2pp/3b1n2/q7/8/P1N5/1B1P1PPP/n2Q1RK1 w - - 3 16,a3a4 a5b4 b2a1 d6h2 g1h2 b4h4 h2g1 f6g4 d1g4 h4g4,3001,97,93,707,advantage attraction kingsideAttack middlegame sacrifice veryLong,https://lichess.org/EnxbZa0N#31,Scandinavian_Defense Scandinavian_Defense_Main_Line
4VeNL,r2q1rk1/p1p4p/2pbb2B/3p1p2/1P1PP3/P1N2p2/5PPP/2RQ1RK1 w - - 0 17,h6f8 d6h2 g1h2 d8h4 h2g1 f5e4 c3e2 a8f8 e2g3 e6g4 d1a4 f3g2,3070,128,90,1699,advancedPawn attraction crushing kingsideAttack middlegame quietMove sacrifice veryLong,https://lichess.org/3PwcDguJ#33,Queens_Gambit_Declined Queens_Gambit_Declined_Marshall_Defense
4pG4R,2b2r1k/Q5b1/3R4/1P2p1q1/P3Pn1p/5pP1/5P1P/1R3NKB w - - 2 30,f1e3 f4e2 g1f1 h4g3 h1f3 e2d4,3000,122,88,805,crushing kingsideAttack long middlegame,https://lichess.org/UBuTNuBq#59,
631VG,4r3/ppkb4/2n2p2/1BRp1q2/3P1Ppp/Q7/PP3P1P/3R2K1 w - - 3 26,a3a7 g4g3 a7a3 g3f2 g1f2 e8e4,3009,116,91,372,advancedPawn crushing kingsideAttack long middlegame,https://lichess.org/EL99PSVF#51,
68qo3,4rr1k/1pp2pp1/1n1p2np/p4Q2/P2PP1R1/1BP4P/KP2qR2/8 b - - 9 33,e2d3 g4g6 d3e4 g6h6 g7h6 f5f6 h8g8 f2f3,3014,124,89,1618,advantage defensiveMove kingsideAttack middlegame sacrifice veryLong,https://lichess.org/UKWguj3N/black#66,
9bUIa,1r1q1rk1/1n1b1p2/p1pp1bBB/1p5Q/3N4/8/P4PPP/R4RK1 b - - 0 24,f6d4 g6h7 g8h7 h6e3 h7g7 h5h6 g7g8 e3d4 f7f6 h6g6,3002,118,91,1561,crushing discoveredAttack kingsideAttack middlegame sacrifice veryLong,https://lichess.org/hlXndTR2/black#48,
BOm96,3rr1k1/3qbpp1/2p2R1p/p5N1/3P3P/3Q4/1p1B1PP1/1K5R b - - 0 25,h6g5 h4g5 e7f6 d3h7 g8f8 g5f6 g7f6 h7h6 f8e7 h1e1 e7d6 h6f4 d6d5 f4f3 d5d4 e1d1,3020,117,91,1668,crushing defensiveMove intermezzo kingsideAttack middlegame sacrifice veryLong,https://lichess.org/CC3f4QDD/black#50,
BgRIu,2r1r1k1/1pq1bpp1/4nn1B/4NN2/7P/pP6/P1P1Q1P1/1K1R1R2 b - - 0 22,g7h6 f5h6 g8h7 c2c4 h7h6 e5f7 h6g7 e2e6,3021,118,89,565,advantage discoveredAttack kingsideAttack middlegame quietMove veryLong,https://lichess.org/Mr0a4RUo/black#44,
DA8ip,B4rk1/p4pbp/n2Q2p1/1N2pb2/6n1/2P1BNPq/P3PP1P/R4RK1 w - - 2 18,d6a6 e5e4 f1d1 e4f3 a8f3 h3h2 g1f1 g4e3 f2e3 g7h6 a6a7 h2g3 f3g2 h6e3 a7e3 g3e3,3017,121,89,1656,advantage kingsideAttack middlegame veryLong,https://lichess.org/GI1eOFQo#35,Neo-Grunfeld_Defense Neo-Grunfeld_Defense_Classical_Variation
DFalm,1nk3rr/Qp6/1Pp1q3/2P1n2p/3pbB1P/P4N2/4PPB1/R4RK1 w - - 2 26,f4e5 g8g2 g1g2 e6e5 f1g1 d4d3 g2h3 e4f5,3095,120,92,250,advantage intermezzo kingsideAttack middlegame pin veryLong,https://lichess.org/muW6UtHF#51,
