PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
45Ycn,8/1q3pk1/2R2bp1/1P1nN2p/1Q1Pp2P/4P1PB/r4PK1/8 w - - 6 42,b4d6 b7b5 e5c4 b5b1 c6a6 a2c2 d6f6 d5f6,3105,117,82,206,crushing master middlegame quietMove veryLong,https://lichess.org/JIcBtVfp#83,
6s7tZ,8/8/8/r4P2/6PK/2p5/3k4/2R5 w - - 1 59,c1c3 d2c3 g4g5 c3d4 g5g6 d4e5 g6g7 a5a1 f5f6 e5f6 g7g8n f6g7 g8e7 a1a5 h4g3 g7f6 e7c6 a5a4 g3f2 a4c4 c6a5 c4c3 f2e1 f6e5 e1d2 e5d4,3100,119,92,529,crushing defensiveMove endgame hangingPiece master quietMove rookEndgame veryLong zugzwang,https://lichess.org/WiXlYWDP#117,
AMgIs,8/2R5/8/8/7P/3p1K2/3k4/5r2 w - - 1 76,f3g2 f1f4 h4h5 f4h4 c7h7 d2d1 g2g3 h4d4,3107,131,91,825,crushing defensiveMove endgame master rookEndgame veryLong,https://lichess.org/R6fy8SWf#151,
BexhT,5R1b/1pkbn3/r3q2p/p2p3N/2pP3Q/2P5/PPB2KPP/8 b - - 4 29,e7g6 h4d8 c7c6 f8g8 e6f7 f2g1,3105,136,89,880,crushing defensiveMove long master masterVsMaster middlegame,https://lichess.org/2Ev9Ob24/black#58,
IfcoI,7k/8/2p5/1pP4P/1P1q4/4p3/6PK/4Q3 w - - 0 58,e1g3 e3e2 g3e1 d4e4 g2g4 e4g4,3145,113,93,402,advancedPawn crushing endgame long master queenEndgame,https://lichess.org/rDPs9c26#115,
JC7Ai,r4rk1/pRp2p2/1b5p/8/5NP1/3P1Q1K/2q4P/5R2 b - - 1 22,a7a5 f4d5 a8d8 b7b8,3137,107,93,653,advantage master masterVsMaster middlegame short,https://lichess.org/fN9Ao5iN/black#44,
NiD5J,4rk1r/3R4/ppQ1pq2/2p3pp/P1P5/1PbRP1P1/5PP1/6K1 b - - 1 32,c3b4 e3e4 g5g4 c6c7,3104,144,88,1012,advantage master middlegame quietMove short,https://lichess.org/CGjVNLfw/black#64,
QKmuE,3b1rk1/5pp1/n2q3p/p3pQ1P/4P3/2P1B3/B5P1/5R1K b - - 0 41,d6e7 f5g6 a6c7 e3c5,3132,109,92,1072,crushing master middlegame pin short,https://lichess.org/50hnZl1V/black#82,
QUtdJ,2r5/1R2pk1p/Q2p2p1/2q5/P1r1p3/4P1PP/P4P2/3R2K1 w - - 3 29,d1d6 c4c1 g1h2 c5f5 a6e2 f5e5 d6d1 c8c2 d1c1 c2e2,3150,119,88,246,crushing endgame master pin veryLong,https://lichess.org/h4yz6CcV#57,
QexwA,6R1/p7/8/1KP5/8/P7/2r2kp1/8 w - - 5 47,a3a4 c2c1 b5a6 c1c5,3117,118,90,864,crushing endgame master rookEndgame short,https://lichess.org/0Yd1Fcpi#93,
TPLUl,8/2R5/8/3p4/2pP1p1k/1p3P1b/1P4p1/6K1 w - - 0 69,c7g7 h3f5 g7b7 h4h3,3159,111,92,325,crushing defensiveMove endgame master quietMove short,https://lichess.org/NQgM5Iij#137,
WYA2q,4Q3/6p1/1P3pk1/K2b4/P2B4/5q2/8/8 b - - 4 51,g6f5 a5a6 d5c6 e8c8 f5g6 a6a7 f3d5 d4c3,3111,132,88,616,crushing endgame master veryLong,https://lichess.org/7JjdxZUR/black#102,
YJWnn,1r3k2/5pRp/b2p1P2/2p1p3/4P3/qr1P1Q1P/1pP1K3/1R6 w - - 1 25,c2b3 a3b3 e2f2 b3c2 f3e2 c2e2 f2e2 b8b3,3129,150,89,1095,crushing endgame fork master veryLong,https://lichess.org/zSMPSvFs#49,
Z5Ya2,3nr1k1/1b6/p2qp1NQ/1p1p4/2pPn3/2P3PP/PPBN2K1/4Rr2 w - - 0 30,e1f1 d6g3 g2h1 d8f7 h6f4 g3f4 g6f4 e4g3 h1g1 g3f1,3116,116,91,1716,advantage fork master middlegame veryLong,https://lichess.org/c90lEumm#59,
