PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
03Ejm,6k1/6pp/4p3/2Pp4/8/1P3PP1/3n3P/6K1 b - - 0 38,d2b3 c5c6 b3d2 c6c7,494,99,91,664,advancedPawn advantage endgame knightEndgame short,https://lichess.org/RrB8DVVs/black#76,
07qNu,2r4k/pp5p/8/5n2/P6r/2NR4/1PK5/3R4 b - - 0 38,h4a4 d3d8 c8d8 d1d8,400,106,89,1000,advantage endgame short,https://lichess.org/3ooSdG1Y/black#76,
088yl,1rk1q3/1p1n3p/p2Prnp1/2p5/P4B2/1Q3B1P/1P3PP1/R4RK1 w - - 2 25,f1e1 e6e1 a1e1 e8e1,424,94,100,163,advantage kingsideAttack middlegame short,https://lichess.org/9Xxla6jO#49,
0CQ4L,r3r1k1/ppq2pbp/3pp1p1/n2P2B1/6b1/2PB1N2/PP2QPPP/R3R1K1 b - - 0 15,e6d5 e2e8 a8e8 e1e8,499,93,77,242,advantage kingsideAttack middlegame short,https://lichess.org/vRiHiKsg/black#30,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit
0KIv6,1r3rk1/2p2pp1/p2p1b1p/1B6/2P1P3/6P1/1P5P/1K1R2NR w - - 0 23,b5a6 b8b2,487,102,96,1956,advantage middlegame oneMove queensideAttack,https://lichess.org/RD3cOiEb#45,
0a2DX,8/8/4K1B1/8/3k1P2/2p3P1/8/8 w - - 0 57,f4f5 c3c2 f5f6 c2c1q,497,86,80,178,advancedPawn advantage bishopEndgame endgame promotion short,https://lichess.org/dAezl94S#113,
0b32V,8/b2r2p1/p5k1/4p1p1/4P3/1P2NP2/P2rRKP1/7R b - - 9 45,d2e2 f2e2 a7e3 e2e3,451,107,91,358,advantage endgame master short,https://lichess.org/B48vUA8A/black#90,
0bREi,5rk1/6p1/3qbp1p/4p3/3B4/1P1P3P/r1P1QPP1/2R1R1K1 b - - 0 24,e5d4 e2e6 d6e6 e1e6,471,117,94,924,advantage middlegame short,https://lichess.org/5CzzIYLw/black#48,
0cU7v,r5k1/ppp4p/2n3P1/3p4/3P1bP1/2PB4/PP1N4/R1KQq3 b - - 1 20,e1d2 d1d2 f4d2 c1d2,488,107,84,432,advantage middlegame short,https://lichess.org/q3t6kbz6/black#40,
0d6BB,3r1rk1/pbp2ppp/1p3q2/8/P2N4/8/2PQBPPP/R2R2K1 b - - 0 17,f6d4 d2d4 d8d4 d1d4,455,89,82,115,advantage middlegame short,https://lichess.org/5rXzFTC9/black#34,Alekhine_Defense Alekhine_Defense_Scandinavian_Variation
