PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
1iZRh,2r3k1/1Q3ppp/P2pp3/8/3P4/4P3/5PPP/2r3NK w - - 2 28,a6a7 c1g1 h1g1 c8c1,491,122,26,23,attraction backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/6TauJLRj#55,
4hmmj,3Q1nk1/3P1p2/5P2/5r1p/3K3p/8/8/8 b - - 0 51,f5f1 d8f8 g8f8 d7d8q,493,90,100,825,advancedPawn attraction endgame mate mateIn2 promotion short,https://lichess.org/xwjFdzjZ/black#102,
8JbNP,k3r3/p1R3Qp/1pn5/8/1b6/6B1/P4PPP/4rRK1 w - - 3 30,g7d7 e1f1 g1f1 e8e1,497,91,98,466,attraction mate mateIn2 middlegame short,https://lichess.org/NcLsrpmO#59,
B6VjZ,2R3rk/6p1/2R3Pp/pp6/2p2p2/2q2P2/P4PK1/8 b - - 1 36,c3c2 c8g8 h8g8 c6c8,469,94,89,1092,attraction endgame mate mateIn2 queenRookEndgame short,https://lichess.org/9sRJJuVv/black#72,
F7Ejv,3Rr2k/5ppp/p3p3/8/4P3/5P2/P1r3PP/3R3K b - - 1 27,e8g8 d8g8 h8g8 d1d8,468,105,87,1131,attraction backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/IcaYdfaq/black#54,
FpfFB,3R1rk1/4nppp/1pp1p3/4P3/2p3P1/7r/P4P2/3R2K1 b - - 1 21,h3a3 d8f8 g8f8 d1d8,419,86,100,126,attraction backRankMate endgame mate mateIn2 short,https://lichess.org/agYDLc65/black#42,
IxYbP,3r4/p6k/2P1p1p1/PP6/2P2P2/4B2p/5P1P/3rR2K w - - 3 40,e1g1 d1g1 h1g1 d8d1,468,102,92,1842,attraction endgame mate mateIn2 short,https://lichess.org/e5sadOr8#79,
JmeXb,3r2k1/1b3pbp/pR4p1/2B1p3/2P5/2P5/P3NPPP/3r1RK1 w - - 1 23,b6b7 d1f1 g1f1 d8d1,400,110,89,1184,attraction backRankMate mate mateIn2 middlegame short,https://lichess.org/YxpNscES#45,
MhV35,3R2rk/5p1p/p4p1P/4p3/6P1/1P3PK1/r5n1/3R4 b - - 1 36,g2e3 d8g8 h8g8 d1d8,488,95,89,1184,attraction endgame mate mateIn2 short,https://lichess.org/DT6vDoKy/black#72,
Ryu6w,8/8/1p1p2p1/2k2pP1/p1P2P2/P1PK4/8/8 b - - 8 44,d6d5 c4d5 c5d5 c3c4,424,99,100,263,attraction crushing endgame master pawnEndgame short,https://lichess.org/YgNier8R/black#88,
Vl0CE,4Q2k/5ppp/q6n/p1p2P2/1p1n2P1/P6P/1P4K1/4R3 b - - 5 38,h6g8 e8g8 h8g8 e1e8,462,91,100,239,attraction backRankMate endgame master mate mateIn2 sacrifice short,https://lichess.org/xLiCLeGP/black#76,
YB3SS,3Q1r1k/5ppp/p7/1p6/7P/6P1/PP1R1P1K/2q5 b - - 3 38,f8g8 d8g8 h8g8 d2d8,466,91,86,334,attraction backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/feXzE0zS/black#76,
YeRyB,4r3/5pk1/pR1p1p1p/8/P7/2b4B/5PPP/4rRK1 w - - 2 29,b6d6 e1f1 g1f1 e8e1,449,86,80,120,attraction endgame mate mateIn2 short,https://lichess.org/EY4R8bf8#57,
hVeOv,1Q3r1k/5ppp/p7/2p2n2/P1q5/2P5/5PPP/1R4K1 b - - 3 26,f8g8 b8g8 h8g8 b1b8,459,91,67,106,attraction backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/hPQn9Vkz/black#52,
iBHre,6k1/q3bppp/Ppr5/2p5/4PP2/P2R4/6PP/3Q2K1 b - - 1 28,a7a6 d3d8 e7f8 d8f8 g8f8 d1d8,460,92,100,164,attraction endgame long master mate mateIn3 sacrifice,https://lichess.org/ZQnUqHHx/black#56,
jhxwy,3r2k1/ppp3pp/2n2b2/4p3/4R3/1NP1B3/PP3PPP/3rR2K w - - 3 26,e1g1 d1g1 h1g1 d8d1,478,97,100,301,attraction backRankMate mate mateIn2 middlegame short,https://lichess.org/gSABRIbM#51,
kPs12,3r2k1/5pp1/7p/8/8/1PR5/1P3PPP/3rR2K w - - 1 23,e1g1 d1g1 h1g1 d8d1,459,113,80,748,attraction backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/Aj2xPejE#45,
kV4bv,1k1r4/pp4pp/2P5/8/P1R5/4PpPQ/5P1P/3r2K1 w - - 0 29,h3f1 d1f1 g1f1 d8d1,400,90,100,195,attraction endgame mate mateIn2 short,https://lichess.org/2ss8IOuX#57,
pmDQs,3R2nk/pp2pp1p/6pP/8/8/8/qPP2PP1/2KR4 b - - 2 26,a2c4 d8g8 h8g8 d1d8,453,99,100,183,attraction endgame mate mateIn2 sacrifice short,https://lichess.org/oyLPMbTt/black#52,
pvMnP,1rbb1nrk/2q2p1Q/2nppPp1/2p3P1/p3PR1R/3PB1NP/pPP1N1B1/6K1 b - - 0 23,f8h7 h4h7 h8h7 f4h4,486,86,100,642,attraction kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/C8b5sT6T/black#46,
w2nXG,2R5/1p3kpp/p3pr2/1b1p4/3P4/1N2Q1R1/P5PP/5q1K w - - 3 31,e3g1 f1g1 h1g1 f6f1,472,83,85,185,attraction mate mateIn2 middlegame short,https://lichess.org/VIqUqL78#61,
