PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
03Ejm,6k1/6pp/4p3/2Pp4/8/1P3PP1/3n3P/6K1 b - - 0 38,d2b3 c5c6 b3d2 c6c7,494,99,91,664,advancedPawn advantage endgame knightEndgame short,https://lichess.org/RrB8DVVs/black#76,
0Q8Cb,2k5/2P2pp1/2K5/2nN3p/8/8/8/8 b - - 1 60,c5e6 d5e7,425,96,71,296,endgame knightEndgame mate mateIn1 oneMove,https://lichess.org/JgDgrNkK/black#120,
0cFsU,8/8/8/8/n1p4P/5kP1/2K5/8 b - - 0 53,f3g3 h4h5 a4b6 h5h6,428,111,90,458,crushing endgame knightEndgame quietMove short,https://lichess.org/tj3VMTg3/black#106,
0gszH,2N3k1/7p/4p1pP/1p2P1P1/1Pp5/P3P3/8/6K1 w - - 0 40,c8d6 c4c3 d6b5 c3c2,400,98,100,256,advancedPawn advantage endgame knightEndgame master short,https://lichess.org/Sv36QXRn#79,
0ym99,2n5/8/8/1PK3k1/8/8/8/8 b - - 0 61,c8a7 b5b6 a7c8 b6b7,494,99,96,1779,advancedPawn crushing endgame knightEndgame short,https://lichess.org/SdE4h0oY/black#122,
1sQAR,3k1n2/3P3p/3K4/8/1N6/5p1P/8/8 b - - 1 57,f3f2 b4c6,442,109,88,790,endgame knightEndgame mate mateIn1 oneMove,https://lichess.org/xqn1xyWY/black#114,
1uZ2t,7K/1P6/5p2/P1n5/4k3/8/8/8 b - - 0 59,c5b7 a5a6 b7d6 a6a7 d6c4 a7a8q,400,93,100,323,advancedPawn advantage endgame knightEndgame long promotion,https://lichess.org/blToPjv0/black#118,
298ti,2n5/6p1/4pkPp/3pNn1P/3P1K2/3P4/8/8 b - - 13 56,c8e7 e5d7,438,87,78,97,endgame knightEndgame master mate mateIn1 oneMove,https://lichess.org/VNdIvI8J/black#112,
2UHi6,8/8/4K3/p4P2/1k6/2n5/8/3B4 b - - 2 69,c3d1 f5f6 d1e3 f6f7,400,120,94,277,advancedPawn crushing endgame knightEndgame short,https://lichess.org/EvpXnJWq/black#138,
2vU0S,8/8/3p2n1/2pPk3/2P5/2K5/4N3/8 w - - 2 58,c3d3 g6f4 e2f4 e5f4,475,92,100,113,crushing endgame knightEndgame short,https://lichess.org/U7Yims2k#115,
