PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
01ujj,8/K7/8/6kp/8/8/P7/8 w - - 0 46,a7b7 h5h4 a2a4 h4h3 a4a5 h3h2 b7b8 h2h1q,485,103,79,612,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/VOofa0Hd#91,
01z8k,8/8/K7/P7/6kp/8/8/8 w - - 0 55,a6b6 h4h3 a5a6 h3h2 b6a7 h2h1q,455,92,67,142,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/hZjnusk3#109,
02NvQ,2krr3/1pp3p1/p4p2/5P2/5P1B/7P/PPQp2R1/1R1KqB2 w - - 3 30,h4e1 d2e1q,410,104,73,131,advancedPawn doubleCheck mate mateIn1 middlegame oneMove promotion,https://lichess.org/5pPfcHh9#59,
04Mmx,4r1k1/4P1pb/r6p/p1p1p3/P2p2PP/1P3R2/2P2R2/6K1 b - - 0 40,a6e6 f3f8 e8f8 e7f8q,410,113,83,435,advancedPawn endgame mate mateIn2 promotion short,https://lichess.org/GntOxvvC/black#80,
05icJ,8/8/8/6p1/PK6/8/6k1/8 b - - 0 61,g2f3 a4a5 g5g4 a5a6 f3f2 a6a7 g4g3 a7a8q,496,102,96,727,advancedPawn crushing endgame master pawnEndgame promotion quietMove veryLong,https://lichess.org/Cxjd9sRS/black#122,
06fWI,8/8/p5K1/1p6/1k5P/8/8/8 b - - 1 57,a6a5 h4h5 b4a4 h5h6 b5b4 h6h7 b4b3 h7h8q,469,96,100,198,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/IOkIvKo8/black#114,
09OkS,8/8/5p2/1P6/K6p/7k/8/8 b - - 0 49,h3g3 b5b6 f6f5 b6b7 f5f4 b7b8q,440,114,68,187,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/M5z19Pig/black#98,
0AVV5,8/8/8/5K2/p4P2/8/1k6/8 w - - 0 58,f5e6 a4a3 f4f5 a3a2 f5f6 a2a1q,419,112,83,337,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/vQWkshOg#115,
0FanP,8/8/K5p1/7p/1P4kP/8/8/8 b - - 0 49,g4h4 b4b5 g6g5 b5b6 g5g4 b6b7 g4g3 b7b8q,475,98,88,167,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/GX2anqH5/black#98,
0JlGN,8/p7/8/2P5/4k2p/5P2/P2K4/8 b - - 0 46,e4f3 c5c6 h4h3 c6c7 h3h2 c7c8q,469,102,100,118,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/68DkFCvU/black#92,
0Ls4E,8/2p5/3p4/pp3P2/2k5/2N5/6K1/8 b - - 0 45,c4c3 f5f6 b5b4 f6f7 b4b3 f7f8q,472,108,93,1111,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/Xkaf16pN/black#90,
0R2og,r1r3k1/5ppp/4p3/6P1/4Q2P/1P1P4/pR6/K1q2R2 w - - 2 29,f1c1 c8c1 b2b1 a2b1q,441,105,86,366,advancedPawn doubleCheck endgame mate mateIn2 promotion queenRookEndgame short,https://lichess.org/2wIWWuLK#57,
0XJfs,6k1/6P1/1P4K1/p7/2p5/1P6/8/8 b - - 0 53,c4b3 b6b7 b3b2 b7b8q,490,109,93,1157,advancedPawn endgame mate mateIn2 pawnEndgame promotion short,https://lichess.org/fPjX5wLG/black#106,
0ZEoA,8/8/6p1/K5Pp/1P5k/8/8/8 b - - 0 57,h4g3 b4b5 h5h4 b5b6 g3g2 b6b7 h4h3 b7b8q,434,108,74,201,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/ZgieIcxk/black#114,
0ZQlS,8/7p/6p1/2P2pk1/8/2K5/8/8 b - - 0 41,h7h5 c5c6 h5h4 c6c7 h4h3 c7c8q,487,100,80,413,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/S5Dd9Cmz/black#82,
0a2DX,8/8/4K1B1/8/3k1P2/2p3P1/8/8 w - - 0 57,f4f5 c3c2 f5f6 c2c1q,497,86,80,178,advancedPawn advantage bishopEndgame endgame promotion short,https://lichess.org/dAezl94S#113,
