PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
009tE,6k1/6pp/p1N2p2/1pP2bP1/5P2/8/PPP5/3K4 b - - 1 28,f6g5 c6e7 g8f7 e7f5,582,94,90,712,crushing endgame fork short,https://lichess.org/fUV1iXBx/black#56,
011Ob,1B6/5kpp/8/pp1K4/8/3N4/6rP/8 b - - 0 37,g2g4 d3e5 f7f6 e5g4,596,84,84,236,advantage endgame fork short,https://lichess.org/Vx1Uvz3B/black#74,
01Yjm,8/3b1Npk/p7/3p3p/8/6P1/1P4KP/8 b - - 1 38,d7e6 f7g5 h7h6 g5e6,579,82,86,214,crushing endgame fork master short,https://lichess.org/N1QKKfKX/black#76,
03DzF,7k/1p2R3/p2p3p/2nPq3/2R2N2/1P1n3P/P5PK/8 b - - 10 30,e5e7 f4g6 h8g7 g6e7,592,98,67,104,advantage endgame fork short,https://lichess.org/iKgxEy0O/black#60,
050sa,4r1k1/4ppb1/p1Np2p1/8/7P/1P2B3/6P1/5K2 b - - 0 37,e8c8 c6e7 g8f8 e7c8,545,99,96,399,advantage endgame fork short,https://lichess.org/jbSsxe39/black#74,
06pJu,2Q3k1/5ppp/3p1b2/3P4/8/4R3/5PPP/2q1R1K1 b - - 0 33,c1c8 e3e8 c8e8 e1e8,584,103,72,363,backRankMate endgame fork mate mateIn2 short,https://lichess.org/h0soYpTf/black#66,
08nbU,5rk1/3R1pbp/4p1p1/4P3/2p2B2/P1N4P/1P3PP1/1bn3K1 w - - 0 26,c3b1 c1e2 g1f1 e2f4,551,102,85,500,advantage endgame fork short,https://lichess.org/HUu8W08K#51,
0Bl5a,1nr1Q2k/1p4pp/p7/8/1PB5/P3R1P1/3q1rPP/4R2K b - - 6 31,c8e8 e3e8 f2f8 e8f8,595,98,64,231,backRankMate fork mate mateIn2 middlegame short,https://lichess.org/C9Fbiw5e/black#62,
0GFi6,8/7p/4pkp1/p7/n1K3P1/3P3P/1p6/1R6 w - - 0 43,c4b5 a4c3 b5c4 c3b1,561,102,83,633,crushing endgame fork short,https://lichess.org/VABpo1N8#85,
0GxLU,8/5pk1/p3n3/7p/8/P4K2/1PR2P2/8 w - - 3 44,c2c6 e6d4 f3e4 d4c6,579,86,87,127,crushing endgame fork master short,https://lichess.org/tTAGSvkI#87,
0I54n,6k1/p4p1p/2p5/3p4/3P1q2/1Pn2Q1P/P4PP1/6K1 w - - 0 36,f3f4 c3e2 g1f1 e2f4,517,96,93,714,crushing endgame fork short,https://lichess.org/IZ9z1AmU#71,
