PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
09F87,2r3k1/p2r1pp1/1p6/4PpP1/3p3R/7R/PP5P/6K1 b - - 1 34,g8f8 h4h8 f8e7 h8c8,597,87,92,1010,crushing endgame rookEndgame short skewer,https://lichess.org/CFwpKHxz/black#68,
0ErbV,6r1/2R1kp2/4p2p/pp2P3/5P2/1P1n3P/P7/5K2 b - - 5 32,e7e8 c7c8 e8d7 c8g8,580,89,93,360,advantage endgame short skewer,https://lichess.org/sGrC2Nta/black#64,
0hKEa,5k2/4n1p1/p1p4p/2P5/R3P3/8/1r3P1P/4K1R1 w - - 0 30,a4a6 b2b1 e1e2 b1g1,579,97,85,298,crushing endgame short skewer,https://lichess.org/MEOcA1Cz#59,
0ocrw,8/2pk4/2p5/7r/1P6/2P5/5P2/2R2K2 w - - 8 46,f2f3 h5h1 f1e2 h1c1,578,106,67,264,crushing endgame master rookEndgame short skewer,https://lichess.org/nJOTO6K6#91,
1mzVT,8/5K2/6pQ/4k3/6r1/8/8/8 w - - 6 72,h6f8 g4f4 f7g8 f4f8,585,90,97,892,crushing endgame queenRookEndgame short skewer,https://lichess.org/Z92JSq4u#143,
2V8UH,8/1r3k2/5P2/1P4KR/6P1/6P1/r3R3/8 b - - 0 49,a2e2 h5h7 f7e6 h7b7,596,86,97,1106,crushing endgame rookEndgame short skewer,https://lichess.org/GCUZa5k5/black#98,
2rCeu,8/5ppk/8/p1P3Pp/P4P2/7r/2R2K2/8 w - - 0 43,c5c6 h3h2 f2e3 h2c2,551,87,100,324,crushing endgame master rookEndgame short skewer,https://lichess.org/teEOLd9S#85,
2wzbV,r4rk1/p4ppp/b1p1p3/4P3/3pN3/5Q2/qPP2PPP/2KR3R w - - 0 16,d1d4 a2a1 c1d2 a1h1,543,105,85,746,crushing middlegame short skewer,https://lichess.org/vVSAMTWd#31,Caro-Kann_Defense Caro-Kann_Defense_Other_variations
30HB2,8/4pk2/7R/4P2p/5P1K/6p1/6r1/8 w - - 0 41,h6h5 g2h2 h4g3 h2h5,568,85,86,230,crushing deflection endgame master rookEndgame short skewer,https://lichess.org/1FCb6fY3#81,
37FBV,2r2k2/5pp1/p3p3/1p1pP2R/8/1RP3r1/P1PK4/8 b - - 2 33,g3g4 h5h8 f8e7 h8c8,575,127,7,24,advantage endgame rookEndgame short skewer,https://lichess.org/XupwN0Mr/black#66,
3QKeF,2r3k1/p4ppp/1p2p3/5P1n/1B1PP3/P7/1P4PP/R1r1K2R w KQ - 2 23,a1c1 c8c1 e1f2 c1h1,554,87,96,781,crushing endgame short skewer,https://lichess.org/CLxsCVu4#45,
3qlbl,8/1pk1b3/2pp4/8/2R1P3/P3K3/8/8 w - - 0 53,c4c1 e7g5 e3d3 g5c1,592,80,70,139,crushing endgame short skewer,https://lichess.org/JEke5Ub5#105,
3yyaY,1rR1k2r/5pp1/1p2p2p/1b1pP3/1n1P4/4PN2/P5PP/2R3K1 b k - 1 25,b8c8 c1c8 e8e7 c8h8,592,153,0,23,advantage endgame short skewer,https://lichess.org/mUiqRRS7/black#50,
4wxJ6,2k3r1/1p5p/2p2p2/2b5/R7/6NK/P4r2/7R b - - 5 38,f2f3 a4a8 c8c7 a8g8,566,104,71,213,advantage endgame short skewer,https://lichess.org/qok94DtO/black#76,
5O50o,7r/5pk1/2p1p1p1/2P1P3/8/5QP1/5P2/R4K1q w - - 3 40,f3h1 h8h1 f1e2 h1a1,594,97,80,280,crushing endgame short skewer,https://lichess.org/67FFFSN4#79,
