PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
2OypE,4Q2k/ppq3pp/5rb1/8/2pP4/2P4P/PP3rPN/4RRK1 b - - 1 31,g6e8 e1e8 f6f8 e8f8 f2f8 f1f8,582,98,82,487,backRankMate long mate mateIn3 middlegame xRayAttack,https://lichess.org/1jXCOcyj/black#62,
51xow,1Q4k1/p4ppp/q3p3/3p4/3P4/1P2PP1P/P1r1n1PK/2R5 b - - 1 28,a6c8 b8c8 c2c8 c1c8,547,99,93,1346,backRankMate endgame mate mateIn2 short xRayAttack,https://lichess.org/gjI6WfaN/black#56,
6G3oD,k2r4/1p4p1/2b5/5B2/3R2P1/8/3R1P1P/2r3K1 w - - 1 40,d2d1 c1d1 d4d1 d8d1,580,80,81,176,endgame mate mateIn2 short xRayAttack,https://lichess.org/zbs70MkB#79,
6f2Ty,R6k/6pp/2p3r1/2P1p1q1/4Pp2/3r1P1P/1P1R2P1/6K1 b - - 1 33,g5d8 a8d8 d3d8 d2d8,596,91,63,73,backRankMate endgame mate mateIn2 short xRayAttack,https://lichess.org/qgg1fNpL/black#66,
7RulM,4r1k1/1p3p1p/p2p2p1/8/4R3/1PQ5/P1P2PPP/3q2K1 w - - 0 22,c3e1 d1e1 e4e1 e8e1,556,90,96,1147,backRankMate endgame mate mateIn2 short xRayAttack,https://lichess.org/pTOVY8mX#43,
8bw3e,6k1/3b4/4pr2/1p1pR2p/pP1P4/P1P2RpP/4Q1P1/2q4K w - - 4 39,e2f1 c1f1 f3f1 f6f1,568,80,100,434,endgame kingsideAttack mate mateIn2 short xRayAttack,https://lichess.org/CpM5LuAU#77,
9NLT5,r4k1r/5p2/2p2QBR/1p1qPb2/3P4/8/pPP5/1K5R w - - 0 31,b1a1 d5h1 h6h1 h8h1,578,85,100,425,mate mateIn2 middlegame short xRayAttack,https://lichess.org/5hpyzzS7#61,
F1iTb,r5k1/p4ppp/1p1p1q2/1QpPr3/2P3b1/6P1/PP3PP1/R3RBK1 b - - 1 20,a8e8 b5e8 e5e8 e1e8,594,84,97,975,backRankMate mate mateIn2 middlegame short xRayAttack,https://lichess.org/gJaoGg0k/black#40,
TqFzx,4r2r/p4k2/3RR1pp/2p1Qp2/2P5/8/P4PPP/1q4K1 w - - 1 24,e5e1 b1e1 e6e1 e8e1,581,89,29,132,backRankMate endgame mate mateIn2 short xRayAttack,https://lichess.org/x1xtJZ8O#47,
U4Ity,3Q2k1/5ppp/8/1p3P2/2p1qB2/4r2P/1b4P1/4R2K b - - 3 32,e4e8 d8e8 e3e8 e1e8,583,101,92,718,backRankMate endgame mate mateIn2 short xRayAttack,https://lichess.org/yEaMPQS1/black#64,
aUiy4,r4n1k/1q5r/3P1P1R/p5Q1/1p4P1/8/PPP5/1K5R w - - 1 36,g5f5 b7h1 h6h1 h7h1 f5f1 h1f1,556,94,89,705,backRankMate long master mate mateIn3 middlegame xRayAttack,https://lichess.org/mvKRtpy3#71,
bdd2W,6k1/3q1p2/Qp2p2p/p2pB1p1/1r1Pn3/2r1P3/P4PPP/R1R3K1 b - - 1 23,d7c8 a6c8 c3c8 c1c8,532,91,85,234,advantage middlegame short xRayAttack,https://lichess.org/C2pVs1T3/black#46,
gcoyu,5rk1/ppp5/7p/5Rp1/2N5/1PPQ3R/6PP/q6K w - - 1 28,d3f1 a1f1 f5f1 f8f1,557,93,89,1384,backRankMate endgame mate mateIn2 short xRayAttack,https://lichess.org/iBM41hwt#55,
jvG5e,r5k1/1p3p1p/6p1/1P2n3/4P3/P1Q5/1P1p1qP1/3R3K b - - 1 31,f2e1 d1e1 d2e1q c3e1,537,83,98,994,advantage endgame short xRayAttack,https://lichess.org/l8fuRCec/black#62,
rVpVt,4Q2k/p4rpp/8/P1p5/3p3P/6P1/2q2r2/5RK1 b - - 1 40,f7f8 e8f8 f2f8 f1f8,592,97,79,473,backRankMate endgame mate mateIn2 short xRayAttack,https://lichess.org/dsFjUxmI/black#80,
sA44J,3r2k1/p4ppp/1p6/8/4P3/P2R1P2/1P1R2PP/2r4K w - - 1 26,d2d1 c1d1 d3d1 d8d1,539,85,100,708,backRankMate endgame mate mateIn2 rookEndgame short xRayAttack,https://lichess.org/PLrCxZUW#51,
sbU8U,5rk1/R4ppp/p3pn2/1p1b4/1P6/5B1P/P1P2PPN/6K1 b - - 5 23,f8a8 a7a8 d5a8 f3a8,568,96,85,450,crushing endgame short xRayAttack,https://lichess.org/osT5qYgp/black#46,
vAusQ,3R2k1/4rppp/p4q2/1pp1r3/8/1P2Q2P/P1P3P1/3R2K1 b - - 1 23,e7e8 d8e8 e5e8 e3e8,593,82,100,164,endgame mate mateIn2 short xRayAttack,https://lichess.org/WUTL80n7/black#46,
