PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
002GQ,5rk1/5ppp/4p3/4N3/8/1Pn5/5PPP/5RK1 w - - 0 28,f1c1 c3e2 g1f1 e2c1,649,79,73,130,crushing endgame fork short,https://lichess.org/2K7g2pDT#55,
00Bn4,1k6/pp6/4nNp1/P6p/3pr3/7P/3R1PPK/8 b - - 0 40,e4e5 f6d7 b8c7 d7e5,691,100,85,714,crushing endgame fork short,https://lichess.org/jvMUtZF5/black#80,
00mvr,7r/ppp1Nk1p/2n5/8/8/2P2pP1/P6P/R1Br1BK1 b - - 0 20,f7e7 c1g5 e7e6 a1d1,692,78,99,840,crushing discoveredAttack endgame master short,https://lichess.org/R3FdESiy/black#40,
01P8L,3r3r/4bk2/1RQ1p3/3pP2p/P2n4/5p1P/6P1/R5K1 w - - 0 31,c6c3 d4e2 g1h2 e2c3,650,101,93,1432,crushing fork middlegame short,https://lichess.org/rkvIhbCW#61,
01bbw,4R3/8/2n3pp/pp6/1k6/1P1P3P/P3KP2/8 w - - 6 50,e8e6 c6d4 e2e3 d4e6,659,96,82,153,crushing endgame fork short,https://lichess.org/sDSfDAKO#99,
01kUc,7R/8/5p1k/7p/4P1r1/5KP1/8/8 b - - 16 56,h6g6 h8g8 g6f7 g8g4 h5g4 f3g4,685,79,100,140,crushing endgame long rookEndgame,https://lichess.org/ESQYQ2LN/black#112,
01vj4,8/8/p7/5k2/2npb2P/P2p2P1/5R2/4K3 b - - 1 44,f5g4 f2f4 g4g3 f4e4,693,100,83,353,crushing endgame fork master short,https://lichess.org/SY8cjodN/black#88,
0202T,2r3k1/5ppp/2rqp3/2p5/PpQP4/6P1/2R1PP1P/2R3K1 b - - 2 27,c5d4 c4c6 c8c6 c2c6 d6c6 c1c6,656,102,88,752,crushing endgame long,https://lichess.org/NSQedfY7/black#54,
02e2t,8/pp3p2/r4k1p/2p1p2P/P2bK1P1/R4P2/7R/8 w - - 4 33,h2b2 d4b2,699,99,77,224,crushing endgame hangingPiece oneMove,https://lichess.org/1rxbvMCF#65,
02mp5,8/8/5k2/5p1p/1N1b1Pp1/6P1/6KP/8 b - - 3 52,d4b6 b4d5 f6f7 d5b6,632,89,57,66,crushing endgame fork short,https://lichess.org/LyVq0meL/black#104,
02qL4,8/8/1q1k1pp1/3p3p/2pR1K1P/p1P2P2/P5P1/3R4 b - - 7 42,b6b5 d4d5 b5d5 d1d5,605,94,85,232,crushing endgame fork queenRookEndgame short,https://lichess.org/GP8S7Mx0/black#84,
02u0t,8/8/1p1r4/p1p2k2/P1P5/1PP4P/4KN2/8 b - - 6 50,f5g5 f2e4 g5f4 e4d6,641,79,99,741,crushing endgame fork short,https://lichess.org/4q7RSULj/black#100,
02y6e,qr1r2k1/5p2/4p1p1/p3P1Np/5nPQ/P7/1P1R1P1P/3R2K1 w - - 1 27,d2d8 b8d8 d1d8 a8d8,659,101,77,382,crushing middlegame short,https://lichess.org/gbV43O6e#53,
034pB,3r2k1/6pp/p2Np3/1b2P3/5P2/7Q/2pK3P/2R3q1 b - - 9 43,g1d1 c1d1 c2d1q d2d1,695,94,80,457,crushing endgame short,https://lichess.org/yIjystGB/black#86,
037Zo,4r3/1p2r1k1/p2p4/4bpp1/3B2n1/1BP3P1/PP2R2P/4R1K1 w - - 6 38,h2h3 e5d4 c3d4 e7e2 e1e2 e8e2,668,97,92,888,crushing discoveredAttack kingsideAttack long middlegame,https://lichess.org/mXCRSTqO#75,
03H8v,6B1/4k1p1/1p3p1p/8/P4P2/5KP1/1Pn5/8 w - - 5 38,g8b3 c2d4 f3e4 d4b3,695,80,78,113,crushing endgame fork master short,https://lichess.org/SHqN6lCg#75,
03ZLx,8/2N2kp1/3p3p/8/1r4P1/5K1P/8/8 b - - 0 40,f7e7 c7d5 e7e6 d5b4,640,89,97,528,crushing endgame fork short,https://lichess.org/FzMEUUir/black#80,
03ZoY,8/8/1p2K3/p4p2/5k1P/1P6/P7/8 b - - 0 44,f4e4 h4h5 f5f4 h5h6 f4f3 h6h7 f3f2 h7h8q,686,95,91,491,advancedPawn crushing endgame master pawnEndgame promotion quietMove veryLong,https://lichess.org/g2MoLNXI/black#88,
03aA1,rn2kb1r/ppp1qppp/4bn2/8/2PP4/8/PP2QPPP/RNB1KBNR b KQkq - 2 6,e6c4 e2e7 f8e7 f1c4,633,94,92,1193,crushing discoveredAttack master opening short,https://lichess.org/bpgIxOmu/black#12,Scandinavian_Defense Scandinavian_Defense_Icelandic-Palme_Gambit
03ex6,1R6/r7/6p1/4PpP1/1k3P1p/2b2K1P/P7/8 b - - 18 58,b4a3 b8b3 a3a2 b3c3,686,93,88,346,crushing endgame fork short,https://lichess.org/vw5dqnpB/black#116,
03rOg,8/1k5p/2p3p1/1p6/1P6/3N1PPP/1r6/5K2 b - - 3 52,b2b3 d3c5 b7c8 c5b3,610,90,79,87,crushing endgame fork short,https://lichess.org/J6eda0aO/black#104,
