PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
07sC5,rk6/pr3ppp/3R4/1p1p4/2pP4/2P1P3/5PPP/R4K2 b - - 5 23,a7a5 d6d8 b8c7 d8a8,685,88,88,401,advantage deflection endgame queensideAttack rookEndgame short skewer,https://lichess.org/sMMuLpuJ/black#46,
0IDwU,4r1k1/2r2p1p/p1Nbpp2/1p6/nP6/P3PN2/2R2PPP/2R3K1 b - - 3 22,e8c8 c6e7 c7e7 c2c8,610,78,100,162,advantage deflection discoveredAttack middlegame short,https://lichess.org/YAiAwH66/black#44,
0JlDf,8/8/p7/8/1Q6/2pp4/P1k2K2/8 w - - 2 49,f2e1 d3d2 e1f2 d2d1q,660,100,82,698,advancedPawn crushing deflection endgame promotion queenEndgame short,https://lichess.org/1Sumi7MS#97,
0Mgua,5kr1/1pp2p2/p7/2P5/1P1R3R/5P2/1P4r1/5K2 b - - 1 46,g2b2 d4d8 f8e7 d8g8,614,84,57,167,crushing deflection endgame rookEndgame short skewer,https://lichess.org/1hkvgK1L/black#92,
0ed5L,5r1k/p1QbR2p/5qp1/2P5/P7/8/5PPP/5BK1 w - - 1 27,c7d7 f6f2 g1h1 f2f1,668,78,100,216,deflection endgame mate mateIn2 short,https://lichess.org/Z1igO0qO#53,
0znI5,8/pp4p1/5k1p/1pN1bP1P/4K3/8/1P4P1/8 b - - 1 42,b7b6 c5d7 f6e7 d7e5,659,109,90,591,crushing deflection endgame master short,https://lichess.org/7E2YhiJT/black#84,
1JT2j,2r2nk1/1p3ppp/pN2q3/6b1/P3P3/5Q1P/1P4P1/5R1K b - - 7 29,e6b6 f3f7 g8h8 f7f8 c8f8 f1f8,699,102,94,1462,backRankMate deflection endgame long mate mateIn3,https://lichess.org/ZEnABEuX/black#58,
1JiDO,8/8/2b3k1/p1P4p/4pP2/P5KP/6B1/8 w - - 0 37,g3f2 e4e3 f2e3 c6g2,662,91,86,942,bishopEndgame crushing deflection discoveredAttack endgame short,https://lichess.org/5frBJktt#73,
1Ot7V,2b1rrk1/p3n2p/1pn3p1/2p5/2PpN3/PP5N/3P1PKP/1BR1R3 b - - 0 26,e7f5 e4f6 f8f6 e1e8,644,80,98,225,advantage deflection discoveredAttack kingsideAttack master middlegame short,https://lichess.org/PnAE4dcW/black#52,
1UdA1,8/8/3np3/1p2pkp1/2p1B3/2P2KP1/1P3P2/8 b - - 7 50,d6e4 g3g4 f5g6 f3e4,666,99,71,120,crushing deflection endgame knightEndgame master short,https://lichess.org/Y8P5WnX8/black#100,
