PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
08XzM,r1bqkb1r/p1p1pppp/8/1N1P4/Q1Pn4/8/PPn2PPP/R1BK1BNR b kq - 2 9,c2a1 b5d6,699,80,100,741,doubleCheck mate mateIn1 oneMove opening,https://lichess.org/GYTR3jqI/black#18,Scandinavian_Defense Scandinavian_Defense_Kiel_Variation
0bv2D,r3kb1r/pp1q1pp1/2n5/2ppp2n/6b1/2NP2PP/PPP1PRB1/R1BQ2NK w kq - 3 12,h3g4 h5g3,691,92,83,298,doubleCheck kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/5QMZ3R7E#23,Hungarian_Opening Hungarian_Opening_Other_variations
0fNoJ,r2qkb1r/pp1n1ppp/n2B4/1Npp1b2/Q2P4/P7/1P2PPPP/R3KBNR b KQkq - 1 9,d7b6 b5c7,693,86,89,562,doubleCheck mate mateIn1 oneMove opening,https://lichess.org/6mnPnoA9/black#18,Queens_Gambit_Declined Queens_Gambit_Declined_Baltic_Defense
184e9,k2r4/PR4p1/2p1p1n1/4Pn2/3P1Pp1/2P2r2/Q2KB1q1/1R6 b - - 4 37,f3e3 b7b8 d8b8 a7b8q,685,98,88,329,advancedPawn doubleCheck mate mateIn2 middlegame promotion queensideAttack short,https://lichess.org/p5sKJe51/black#74,
1JBCv,5bQk/2r1p2p/5np1/2P1Nq2/3B4/5PP1/4P2P/3R2K1 b - - 2 31,f6g8 e5f7,627,102,80,441,doubleCheck mate mateIn1 middlegame oneMove,https://lichess.org/SRQVvQGC/black#62,
1PukQ,2r5/pP2ppkp/1p4p1/8/2R5/4PN2/3N1PPP/r1n3K1 w - - 1 25,b7c8q c1e2,659,90,76,156,backRankMate doubleCheck endgame master mate mateIn1 oneMove,https://lichess.org/0Hqd9jY8#49,
1zPk6,3rk3/pp2bpp1/2R3p1/1B1Q4/3P4/4P3/PP3PPq/4K3 b - - 2 17,d8d5 c6c8,665,101,79,839,doubleCheck endgame mate mateIn1 oneMove,https://lichess.org/YZKVMd7t/black#34,
2SuiT,r2qkbnr/p3pppp/n7/1N1p1b2/Q1p2B2/4P3/PP3PPP/R3KBNR b KQkq - 2 8,a6c5 b5c7,686,85,87,630,doubleCheck mate mateIn1 oneMove opening,https://lichess.org/9aUzoTJn/black#16,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System
2ljmc,2brk1nr/6bp/p1nB2p1/1B3pN1/4N3/8/PP3PPP/R3R1K1 b k - 0 16,a6b5 e4f6,697,91,86,607,doubleCheck mate mateIn1 middlegame oneMove,https://lichess.org/9loWgg13/black#32,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit
3Aeva,r1bq1rk1/5Rpn/p1pp3p/1p2p3/4P2Q/P1NPP3/BPP3PP/5RK1 b - - 0 16,d8h4 f7f8,602,90,98,423,doubleCheck kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/A2NaOkOh/black#32,Italian_Game Italian_Game_Giuoco_Pianissimo
4ZgZR,r2q1rk1/1p1n2pp/p3R3/3Q4/5B2/8/PPP2bPP/R6K b - - 1 17,f8f4 e6e8,673,92,93,992,doubleCheck mate mateIn1 middlegame oneMove,https://lichess.org/qEsmWMxc/black#34,French_Defense French_Defense_Advance_Variation
