PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
1dHYp,6k1/p1p2ppp/2p3n1/5q2/7Q/2P1r3/P1Pr3P/1R4KR b - - 7 25,g6h4 b1b8 f5c8 b8c8 d2d8 c8d8 e3e8 d8e8,610,101,84,224,backRankMate endgame mate mateIn4 veryLong,https://lichess.org/dd6BV18u/black#50,
1iNQO,2r2k2/1p2bp1p/p1r3p1/P2pP3/3q1B2/1P6/Q3RPPP/3R2K1 w - - 0 30,d1d4 c6c1 f4c1 c8c1 d4d1 c1d1 e2e1 d1e1,639,107,86,420,backRankMate mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/Nl5IscBl#59,
1u2QZ,3r2k1/3q1p1p/p3bRp1/1p4Q1/8/P2B4/1Pr1R1PP/7K w - - 0 26,d3c2 d7d1 c2d1 d8d1 e2e1 d1e1 f6f1 e1f1,646,98,81,380,backRankMate mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/2gatMXwr#51,
A0zZW,2r3k1/p2q2pp/3Rp3/4Q3/8/1P3R2/P5PP/7K w - - 1 30,d6d7 c8c1 d7d1 c1d1 e5e1 d1e1 f3f1 e1f1,625,105,41,109,backRankMate endgame mate mateIn4 queenRookEndgame veryLong,https://lichess.org/rSnBUBJw#59,
BSjIN,r5k1/3R1ppp/8/3b2B1/8/5N2/1PP2PPP/6K1 w - - 1 22,d7d5 a8a1 g5c1 a1c1 d5d1 c1d1 f3e1 d1e1,673,99,83,105,backRankMate endgame mate mateIn4 veryLong,https://lichess.org/Bt65flWc#43,
DkZDt,5rn1/ppp4k/3p1rp1/3Pp2p/4P3/2N3Q1/PPP3R1/K3Rq2 w - - 9 29,e1f1 f6f1 c3b1 f1b1 a1b1 f8f1 g3e1 f1e1,632,95,40,201,attraction backRankMate mate mateIn4 middlegame veryLong,https://lichess.org/21wZeOLy#57,
G9625,8/2R4p/3R2pk/8/8/5N2/r4PPP/6K1 w - - 3 30,d6d7 a2a1 c7c1 a1c1 d7d1 c1d1 f3e1 d1e1,661,102,83,410,backRankMate endgame mate mateIn4 veryLong,https://lichess.org/KhYk2hOW#59,
HU5NQ,6k1/5ppp/4p3/3r3P/2r2PK1/R7/1p6/8 b - - 0 49,b2b1q a3a8 b1b8 a8b8 c4c8 b8c8 d5d8 c8d8,638,102,33,77,backRankMate endgame mate mateIn4 queenRookEndgame veryLong,https://lichess.org/1cgKiZwM/black#98,
IW4xX,r5k1/2p1q1p1/1b5B/2p2p1Q/1P1P4/2P5/5PPP/4R1K1 w - - 0 24,e1e7 a8a1 h6c1 a1c1 h5d1 c1d1 e7e1 d1e1,638,85,82,400,backRankMate endgame mate mateIn4 veryLong,https://lichess.org/eVp02QBo#47,
LlI3x,4r1k1/5ppp/5b2/p7/8/1Q3PPb/PP3q1P/6RK b - - 3 30,e8e2 b3b8 h3c8 b8c8 f6d8 c8d8 e2e8 d8e8,653,92,92,119,endgame mate mateIn4 veryLong,https://lichess.org/ljh3mu7W/black#60,
Q9l1Z,2r4k/p4pp1/2r1p2p/1p2P3/2PRR3/P7/1B4PP/7K w - - 0 29,c4b5 c6c1 b2c1 c8c1 d4d1 c1d1 e4e1 d1e1,644,111,65,402,backRankMate endgame mate mateIn4 sacrifice veryLong,https://lichess.org/MDZkNEAL#57,
QP8AT,6k1/2b2ppp/pqrp1n2/1p2N3/4P3/P1PQ4/1P1R1PPP/3R2K1 b - - 0 23,d6e5 d3d8 c7d8 d2d8 b6d8 d1d8 f6e8 d8e8,641,106,84,610,backRankMate mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/m0soB9t2/black#46,
QQkEh,1r4k1/5pp1/4b3/3p4/7p/4q2P/2B3P1/R6K b - - 1 40,b8b2 a1a8 b2b8 a8b8 e6c8 b8c8 e3e8 c8e8,666,84,86,349,endgame mate mateIn4 veryLong,https://lichess.org/eybditu6/black#80,
