PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
09mRO,r4r1k/p3NppQ/4n3/4R3/q7/1N4P1/P4PKP/5R2 b - - 0 28,h8h7 e5h5,759,105,94,1897,anastasiaMate master mate mateIn1 middlegame oneMove,https://lichess.org/2gpEvkMd/black#56,
0NKzA,6r1/p1pnN2k/1p1p4/6r1/3R4/1PP3P1/1n5P/5RK1 b - - 4 30,g8g7 d4h4 g5h5 h4h5,793,85,90,1141,anastasiaMate mate mateIn2 middlegame short,https://lichess.org/N8gi91dO/black#60,
0bQut,5r1k/pR4p1/5r2/2P5/5n2/P2B4/1P4P1/R5K1 w - - 1 33,d3e4 f4e2 g1h2 f6h6,775,84,55,86,anastasiaMate endgame mate mateIn2 short,https://lichess.org/cpraiikl#65,
14c9s,8/p7/8/2R1Nnpk/4qp2/PP6/2P3r1/1K1R4 b - - 2 45,f5e3 d1h1 g2h2 h1h2,751,90,75,450,anastasiaMate endgame mate mateIn2 short,https://lichess.org/HDq1gRMP/black#90,
1WE6W,rk6/1p3ppp/2n1p3/2NpPn2/3P4/1P4P1/2R1BPKP/8 b - - 8 28,c6d4 c5d7 b8a7 c2a2,782,85,97,1157,anastasiaMate endgame mate mateIn2 short,https://lichess.org/fSv8LsRb/black#56,
1cdw2,r2qbr1k/pp2N1pQ/3P1p2/2p1n3/2P2R2/1P4P1/P5BP/R5K1 b - - 0 22,h8h7 f4h4 e8h5 h4h5,705,91,60,365,anastasiaMate mate mateIn2 middlegame short,https://lichess.org/JBkAgVV8/black#44,
1hJfw,6k1/pp4pp/2p1br2/4N3/1q1Pp3/PP6/2P1n1PK/R2Q4 w - - 2 23,a3b4 f6h6,717,89,95,393,anastasiaMate endgame mate mateIn1 oneMove,https://lichess.org/h4xXHlCp#45,
1vXMj,R7/p7/1p2Nqpk/2p5/8/2P2Q1P/P7/6K1 b - - 0 36,f6f3 a8h8,723,99,87,1183,anastasiaMate endgame master mate mateIn1 oneMove,https://lichess.org/YcBvthAz/black#72,
1zrkw,1r3r1k/3nNppQ/1q2p3/1Nn1P3/2P5/1pBR4/P4PPP/R5K1 b - - 0 24,h8h7 d3h3,739,89,92,1019,anastasiaMate mate mateIn1 middlegame oneMove,https://lichess.org/cm9psIex/black#48,
20x5D,5r2/6R1/1p1kpP2/p2p4/2pPnRP1/P1P1P1KP/1P6/8 w - - 9 45,g3h4 f8h8 g7h7 h8h7,769,78,88,215,anastasiaMate endgame mate mateIn2 short,https://lichess.org/7GIrAenm#89,
2uZ0i,QR6/2r1qp1k/6pp/4N3/3P3P/4P3/4nPP1/6K1 w - - 13 35,g1h2 e7h4,731,89,94,327,anastasiaMate endgame mate mateIn1 oneMove,https://lichess.org/08tlkLi0#69,
37iQz,6k1/6p1/2p4p/1pN1r3/p7/2P5/PPN1n1PK/5R2 w - - 2 34,c5d7 e5h5,795,85,83,589,anastasiaMate endgame mate mateIn1 oneMove,https://lichess.org/Grsa2dW0#67,
3GfMx,r6q/pppk1Np1/3p4/3Np3/4P1b1/2PP4/3QnPPK/R4R2 w - - 1 19,f7h8 a8h8 d2h6 h8h6,708,79,82,291,anastasiaMate mate mateIn2 middlegame short,https://lichess.org/Caz0dV9M#37,
3UVod,r1bq1r1k/1pppN1pQ/p4p2/4R3/n7/8/PPPP1PPP/R1B3K1 b - - 0 13,h8h7 e5h5,721,88,100,109,anastasiaMate mate mateIn1 middlegame oneMove,https://lichess.org/trcDTCT5/black#26,Ruy_Lopez Ruy_Lopez_Open
3cMCV,8/6kp/1b2N1p1/4P3/4KP2/6P1/pr6/R7 b - - 3 49,g7h6 a1h1 b2h2 h1h2,723,81,90,259,anastasiaMate endgame mate mateIn2 short,https://lichess.org/IADlXhYT/black#98,
3mTvR,r6r/pp2Nppk/8/8/5P2/3P4/P3P1K1/5R2 b - - 0 31,a8e8 f1h1,724,80,96,2678,anastasiaMate endgame master mate mateIn1 oneMove,https://lichess.org/awXfekpY/black#62,
3pxVJ,8/p1Q3pp/3pk1r1/P3p3/5q1P/8/1PPn1P2/RK1R4 w - - 6 33,b1a2 f4a4,788,94,94,283,anastasiaMate endgame mate mateIn1 oneMove,https://lichess.org/hLgDLeNd#65,
4EIKv,r7/5kp1/8/p5R1/8/4nPP1/PP4KP/8 w - - 1 31,g2h3 a8h8 g5h5 h8h5,787,93,92,916,anastasiaMate endgame mate mateIn2 short,https://lichess.org/Pwp2yPw9#61,
4eZzZ,r4r2/R3Rppp/8/kp1N4/2p5/3b1P2/PP4PP/2K5 b - - 0 23,a8a7 e7a7,760,89,83,102,anastasiaMate endgame mate mateIn1 oneMove,https://lichess.org/j1kx73vm/black#46,
4u9lw,5r2/7p/4N1pk/8/2r5/8/PPP5/1K1R4 b - - 1 36,f8f2 d1h1 f2h2 h1h2 c4h4 h2h4,754,98,94,1757,anastasiaMate endgame long mate mateIn3,https://lichess.org/g6Sqa2aQ/black#72,
52rrt,7r/4n3/kp1Np3/5p1p/6p1/4P3/5PPP/3R2K1 b - - 2 25,h8d8 d1a1,782,90,80,630,anastasiaMate endgame mate mateIn1 oneMove,https://lichess.org/SFg8KYVy/black#50,
5JcBh,2k1r3/ppp2ppp/3r4/1QN5/3P4/5P2/PP2n1Pq/R4R1K w - - 0 21,h1h2 d6h6,779,88,83,1051,anastasiaMate master mate mateIn1 middlegame oneMove,https://lichess.org/bemUWYQE#41,
5ORvE,N5k1/pp3ppp/8/2b1r3/2P5/8/PP1PnPPq/R1BQ1R1K w - - 0 18,h1h2 e5h5,751,92,80,70,anastasiaMate mate mateIn1 middlegame oneMove,https://lichess.org/dNGnF4Y0#35,Scandinavian_Defense Scandinavian_Defense_Panov_Transfer
60F8m,8/7p/4N1pk/4p3/p5P1/6r1/5K2/2R5 b - - 3 43,g3g4 c1h1 g4h4 h1h4,725,95,90,276,anastasiaMate endgame master mate mateIn2 short,https://lichess.org/uiBWJEDW/black#86,
6AJ3t,3r2k1/pQp3pp/2p1pr2/8/2P5/P2P4/1P2nPPq/5R1K w - - 0 21,h1h2 f6h6,753,96,89,914,anastasiaMate endgame mate mateIn1 oneMove,https://lichess.org/gDB5Y1fI#41,
6QAf7,5r2/pR2Nppk/6p1/8/K1Q1R3/3n3r/Pq5P/8 b - - 1 30,b2b7 e4h4 h3h4 c4h4,740,82,94,2261,anastasiaMate mate mateIn2 middlegame short,https://lichess.org/i2h3GTOG/black#60,
6oHXJ,7k/R6p/2pR2p1/1p3r2/8/1PP5/P3nPP1/6K1 w - - 1 40,g1h2 f5h5,789,92,88,1247,anastasiaMate endgame master mate mateIn1 oneMove,https://lichess.org/6CwoWlGg#79,
6oP8u,2r5/4R2P/6pk/3N2N1/1p1P1P2/8/KP1n4/8 w - - 0 41,d5b4 c8a8 e7a7 a8a7 b4a6 a7a6,796,77,77,329,anastasiaMate endgame long mate mateIn3,https://lichess.org/9ja2qvTj#81,
6y0Ga,r1b2r1k/1p2NppR/p7/4n3/4P3/6P1/PPP1B3/2KR4 b - - 0 21,h8h7 d1h1 c8h3 h1h3,767,81,95,1672,anastasiaMate mate mateIn2 middlegame short,https://lichess.org/lckVzNIz/black#42,
71FeK,1r1q3r/k2nn1b1/Qp1Np1pp/2p1Pp2/3P1B1P/2R2N2/PP3PP1/1K5R b - - 0 28,a7a6 c3a3,750,90,94,170,anastasiaMate master mate mateIn1 middlegame oneMove,https://lichess.org/YlGAmIzj/black#56,
7Kapp,r4r1k/p3NppQ/8/q1p5/8/4R3/1P3PPP/2KR4 b - - 0 25,h8h7 e3h3,780,121,88,49,anastasiaMate endgame master mate mateIn1 oneMove,https://lichess.org/AiD8DKdo/black#50,
7tfIE,3N4/8/3p1kp1/K2np3/1P5p/8/2r5/4R1N1 w - - 0 46,b4b5 c2a2,745,97,95,941,anastasiaMate endgame mate mateIn1 oneMove,https://lichess.org/JxeMOYPx#91,
82U3z,r6k/pp2NrpR/2pp4/5P2/8/5P2/PPP5/1K1R4 b - - 0 22,h8h7 d1h1,775,85,57,179,anastasiaMate endgame mate mateIn1 oneMove,https://lichess.org/ZhWDlOER/black#44,
82jyx,8/6p1/r6p/rB6/P2pk3/4n1PK/R6P/4R3 w - - 6 38,b5a6 a5h5,779,93,94,727,anastasiaMate endgame mate mateIn1 oneMove,https://lichess.org/nVgfws8l#75,
86LX5,5r2/4k3/1R6/P5N1/6K1/4n1P1/1P6/8 w - - 3 48,g4h3 f8h8 g5h7 h8h7 b6h6 h7h6,771,88,82,599,anastasiaMate endgame long mate mateIn3,https://lichess.org/BLSRdOQV#95,
8B1rV,8/4N1pk/8/pb6/3Pp3/5r2/2R5/4K3 b - d3 0 49,e4d3 c2h2 f3h3 h2h3,706,82,94,2455,anastasiaMate endgame mate mateIn2 short,https://lichess.org/FYLQw7vO/black#98,
8B6jb,6R1/8/2p1N1pk/5p2/3P1b2/1p4r1/1K6/8 b - - 1 53,f4e3 g8h8,744,91,84,95,anastasiaMate endgame master mate mateIn1 oneMove,https://lichess.org/YNOO4fnB/black#106,
8I7CK,8/1pk2r2/1p4R1/8/4n1P1/6K1/PP6/3R4 w - - 0 35,g3h4 f7h7 g6h6 h7h6,741,82,100,200,anastasiaMate endgame mate mateIn2 short,https://lichess.org/T6YQCEAi#69,
9ON46,6k1/3r1ppp/8/4p3/8/7N/rPPn1PPP/1K3B1R w - - 2 18,b1a2 d7a7 f1a6 a7a6,779,91,84,589,anastasiaMate endgame master mate mateIn2 short,https://lichess.org/NZIcK2oy#35,Benoni_Defense Benoni_Defense_Old_Benoni
9PfXF,2k4r/ppp2ppp/3r4/b7/Q7/B7/P2NnPPq/R4R1K w - - 0 19,h1h2 d6h6 a4h4 h6h4,734,84,85,340,anastasiaMate mate mateIn2 middlegame short,https://lichess.org/OSVyZBDh#37,
9U1Tj,r5r1/p2R4/1p6/2bRNp1k/2Pn4/8/1P3P1P/5K2 b - - 10 30,g8g5 d7h7,701,84,81,380,anastasiaMate mate mateIn1 middlegame oneMove,https://lichess.org/dyGG1uUZ/black#60,
9vcdV,r7/pp1bkBp1/4p3/3p4/2p5/3P4/PPP1n1Pq/R2Q1R1K w - - 0 20,h1h2 a8h8 f7h5 h8h5,769,89,94,1633,anastasiaMate mate mateIn2 middlegame short,https://lichess.org/6p3XGXBR#39,
AS0dE,1Q6/8/k1p5/1p6/3P1N2/2P1nP1K/1P4P1/4q3 w - - 10 43,g2g3 e1h1,753,84,94,1866,anastasiaMate endgame master mate mateIn1 oneMove,https://lichess.org/74zPqy3K#85,
Aa8EE,r6k/1p2NppQ/8/pq6/4R3/B2r4/5PP1/4R1K1 b - - 0 33,h8h7 e4h4 b5h5 h4h5,704,97,100,99,anastasiaMate mate mateIn2 middlegame short,https://lichess.org/5pjCsHv1/black#66,
AcOqz,8/ppRR1p2/k1p1pr2/2P5/PP3n2/8/5KP1/8 w - - 1 34,f2g1 f4e2 g1h2 f6h6,784,82,94,1393,anastasiaMate endgame mate mateIn2 short,https://lichess.org/oMISfxEy#67,
B4xsG,6Q1/kp6/p7/q7/4N3/P2P2P1/1PP1n1PK/8 w - - 4 47,g8g7 a5h5,777,174,69,33,anastasiaMate endgame mate mateIn1 oneMove,https://lichess.org/ceIwCY8v#93,
BAlxb,5r2/4Nppk/p6p/1p4R1/8/P5P1/1r3PK1/3R4 b - - 0 31,h6g5 d1h1,782,137,69,46,anastasiaMate endgame mate mateIn1 oneMove,https://lichess.org/S4rdiWAi/black#62,
BBSw4,1R6/p5k1/1p2Npp1/4p2p/4Pb2/2P2P1P/Pr3P2/4K3 b - - 1 30,g7h6 b8h8,763,78,73,189,anastasiaMate endgame master mate mateIn1 oneMove,https://lichess.org/5qggU1yT/black#60,
BCzuS,4r1k1/p1pRN1p1/1b2p1b1/6p1/1P3P2/2P2R2/P1r4P/7K b - - 1 29,g8h7 f3h3 g6h5 h3h5,781,91,83,802,anastasiaMate mate mateIn2 middlegame short,https://lichess.org/mSKO5ABW/black#58,
BV5Bw,r4r1k/2p1NppR/4b3/8/8/5Q1P/p3RPPK/1q6 b - - 0 24,h8h7 f3h5,766,77,99,1761,anastasiaMate master masterVsMaster mate mateIn1 middlegame oneMove,https://lichess.org/w2XFskHc/black#48,
Bh4cP,2k2r2/3R4/2P5/8/p3N3/P3n1P1/6K1/3R4 w - - 1 43,g2h3 f8h8 d7h7 h8h7,764,91,94,2065,anastasiaMate endgame mate mateIn2 short,https://lichess.org/77vzJE7b#85,
C96Xo,5r2/8/2R5/p1P1k3/P3n1P1/2P3K1/1P6/8 w - - 1 44,g3h4 f8h8 c6h6 h8h6,723,78,100,234,anastasiaMate endgame mate mateIn2 short,https://lichess.org/jgPIqA2d#87,
