PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
009L0,6k1/pb2r1pN/1n4Bp/3p4/1P2pR2/P7/3R1PPP/2r3K1 w - - 2 30,d2d1 c1d1,706,146,18,25,backRankMate hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/SAhQtou2#59,
00eCY,8/6p1/5p1p/R5kP/2b3P1/1r3PK1/8/8 b - - 4 61,c4d5 a5d5 f6f5 d5f5,762,82,88,478,endgame hangingPiece mate mateIn2 short,https://lichess.org/LXHmo9rD/black#122,
01gl3,3q1r1k/6pp/3p2p1/pppP4/5RP1/3P4/PPPQ4/2K5 b - - 0 25,d8g5 f4f8,711,100,100,43,backRankMate endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/bOcbS0JU/black#50,
01m2j,1r6/1r3pkp/qR2p1p1/2pP4/4P3/5P2/6PP/1R5K w - - 0 27,b6a6 b7b1,734,127,69,23,backRankMate endgame hangingPiece mate mateIn1 oneMove rookEndgame,https://lichess.org/eevDBNLx#53,
021Lo,r2qk2r/pp2bppp/2n5/3Bp3/6b1/2P2N2/P4PPP/R1BQ1RK1 w kq - 1 13,d5f7 e8f7 f3g5 e7g5,776,86,88,284,crushing hangingPiece middlegame short,https://lichess.org/PXaz6KFQ#25,Sicilian_Defense Sicilian_Defense_Old_Sicilian
02OCO,5rk1/5p2/1pQ2n1p/4p1p1/8/2P1PB1P/Pq3PPB/R5K1 w - - 0 22,c6f6 b2a1 f3d1 a1d1,799,105,76,32,backRankMate endgame hangingPiece mate mateIn2 short,https://lichess.org/jl6l760x#43,
02T7b,8/2k5/1b1p1p2/p1PQ1P2/1p1PP3/1P5q/6R1/5R1K w - - 8 39,g2h2 h3f1,714,77,99,1001,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/jZFA17Eq#77,
04jjb,r1b1nrk1/pp2p2p/1q1b2p1/3P2N1/8/2N5/PP2B1P1/R1BQ2KR w - - 4 18,c1e3 b6e3,734,82,100,88,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/izyYWz2P#35,Kings_Indian_Defense Kings_Indian_Defense_Normal_Variation
05Sm3,r1b2rk1/p5pp/1qQbpp2/3p3n/3P1P2/2PB4/PP4PP/RNB2RK1 w - - 1 13,c6d6 b6d6,759,94,80,185,crushing hangingPiece middlegame oneMove,https://lichess.org/Jlqv81AE#25,Queens_Pawn_Game Queens_Pawn_Game_Mason_Attack
05f61,r1b2k1r/pp1pn3/3bpp1p/qN4pQ/B2pP3/3P4/PPP2PPP/1RB1R1K1 w - - 4 15,b5d6 a5e1,767,99,91,760,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/GKCE5kyo#29,Sicilian_Defense Sicilian_Defense_Other_variations
05zfA,r1b1r1k1/pp2npp1/1q5p/3Q4/3P4/2PB1N2/PP3KPP/R1B1R3 b - - 0 16,e7d5 e1e8,701,78,97,292,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/ktkq6OHB/black#32,Vienna_Game Vienna_Game_Vienna_Gambit
06Jwe,2kr3r/pppn1ppp/8/2q2Q2/8/2N5/PP2BPPP/1R2K2R w K - 0 19,e1g1 c5f5,780,87,80,388,crushing hangingPiece middlegame oneMove,https://lichess.org/dc3wsAFN#37,Queens_Gambit_Declined Queens_Gambit_Declined_Marshall_Defense
06Lee,5R1k/5Q1p/p5pq/1p3p2/1P6/4p3/P6N/7K b - - 0 34,h6f8 f7f8,782,122,100,25,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/sfMeww7F/black#68,
08Uml,6k1/1P3p1p/1r6/4b1p1/8/1Q1p4/3BqPPP/3R2K1 w - - 1 34,b3b6 e2d1 d2e1 d1e1,721,90,71,237,endgame fork hangingPiece mate mateIn2 short,https://lichess.org/0ilepqLh#67,
08vD8,8/8/3bN1k1/3P1p2/8/1p1n2PP/5P2/2B3K1 w - - 6 38,e6d4 d3c1 d4b3 c1b3,769,77,95,1246,crushing endgame hangingPiece master short,https://lichess.org/PyJOtt4R#75,
09ObR,3r1k1r/pbq2pp1/1p2BP1p/2p5/5Q2/2N2N2/PPP2PPP/3RR1K1 b - - 0 18,c7f4 d1d8,738,100,91,1273,hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/b5hw266o/black#36,Indian_Defense Indian_Defense_Other_variations
09Q8i,4r2k/ppp3pp/2np4/7Q/8/2P4P/P1P1Nrq1/R2KR3 b - - 3 26,c6e5 h5e8 f2f8 e8f8,743,80,80,133,hangingPiece kingsideAttack master mate mateIn2 middlegame short,https://lichess.org/13o1Rmp4/black#52,
