PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
053Mo,8/p1k2ppp/1p1n4/2PP1P2/BK3B1P/P7/4rP2/8 b - - 0 44,b6c5 b4c5 e2e4 f4d6,773,96,77,110,crushing endgame pin short,https://lichess.org/0lc3bx1t/black#88,
07tu0,6k1/5p1p/6p1/1N6/1b1p1P2/7P/1P4P1/6K1 w - - 0 29,b5d4 b4c5 g1f2 c5d4,719,78,100,218,crushing endgame pin short,https://lichess.org/JSGEi80E#57,
084Ml,1r5k/5p1p/4pPp1/p3P1P1/2p1B3/2P2N2/Pq1Q3P/7K w - - 2 36,h1g2 b2d2 f3d2 b8b2,748,84,100,96,advantage clearance endgame pin short,https://lichess.org/XknpfryX#71,
0CGDp,2k1r2r/ppn4p/2pp2p1/4pNq1/PPP5/3P3P/2Q1BP2/R3K2R b KQ - 0 20,g5f5 e2g4 f5g4 h3g4,737,85,96,510,crushing middlegame pin short,https://lichess.org/o0KJYy2z/black#40,
0NbkQ,r2q1rk1/p3bpp1/1p1p3p/3Np2P/4P3/4n3/PPPQ4/2KR1B1R w - - 0 17,d2e3 e7g5 c1b1 g5e3,786,138,88,31,advantage middlegame pin short,https://lichess.org/s9BS2K19#33,Sicilian_Defense Sicilian_Defense_Classical_Variation
0OIiM,1rb1rk2/1p2Npbp/p5p1/4n3/4P3/B4PP1/PPP1N2P/2KR3R b - - 0 18,e8e7 d1d8,704,91,95,835,mate mateIn1 middlegame oneMove pin,https://lichess.org/mD9JMtYa/black#36,Pirc_Defense Pirc_Defense_Other_variations
0Q2Fk,5rk1/p4Qpp/2p5/8/2B5/5P2/P2q1PPP/4R1K1 b - - 0 24,f8f7 e1e8,711,84,100,120,endgame master mate mateIn1 oneMove pin,https://lichess.org/HGws306Y/black#48,
0UWQK,6k1/ppp3pp/7r/5P2/P3q1N1/1P6/3Pr1RP/2B3RK b - - 2 35,h6h4 g4f6 g8f7 f6e4,772,80,88,247,advantage master middlegame pin short,https://lichess.org/VTmOSLIN/black#70,
0YscA,5rk1/3Nr1pp/4Pp1q/1p1p4/pPn5/5Q1P/6R1/5R1K b - - 3 41,f8e8 d7f6 h6f6 f3f6,778,79,100,640,crushing middlegame pin short,https://lichess.org/LZbtP59V/black#82,
0dd3w,6k1/5ppp/4p3/2rp4/8/nP2P3/1RB2PPP/6K1 w - - 0 28,c2d1 c5c1 g1f1 c1d1,765,84,75,195,crushing endgame pin short,https://lichess.org/I2mSnd0X#55,
0h2lT,8/6r1/R1p1kp2/1p1p1p2/1P1P1P1N/4P3/7K/3b4 b - - 6 47,e6d6 h4f5 d6e6 f5g7,769,92,88,152,crushing endgame fork master pin short,https://lichess.org/6VuCzvrx/black#94,
0i8vD,5rk1/5Qpp/8/p2R4/8/1B4P1/Pb3PKP/4q3 b - - 0 33,f8f7 d5d8 e1e8 d8e8,741,88,66,54,endgame mate mateIn2 pin short,https://lichess.org/g9LUbOnI/black#66,
