PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
01BKZ,2kr1bnr/ppp2ppp/8/8/8/q4N2/bPPBPPPP/2KR1B1R w - - 0 11,b2a3 f8a3,755,89,95,925,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/MLJUlMpw#21,Englund_Gambit Englund_Gambit_Other_variations
02FEp,2kr4/Qp1n1pp1/p1p5/3p4/Nq1RP2r/8/PPP2P2/1K5R w - - 0 23,h1h4 b4e1 d4d1 e1d1,759,87,96,991,mate mateIn2 middlegame queensideAttack short,https://lichess.org/P45oguds#45,
03aeC,r3k2r/1bq1bppp/3ppn2/p5B1/1n1QPP2/1NN5/1PP1B1PP/2KR3R w kq - 0 15,c3b5 c7c2,764,79,89,300,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/maDY9mWX#29,Sicilian_Defense Sicilian_Defense_Najdorf_Variation
07ATC,1k3rn1/ppp2qb1/4p1p1/3nP1B1/3PN1p1/P5N1/1PPQ2P1/2KR4 w - - 8 24,d1f1 f7f1 g3f1 f8f1 d2d1 f1d1,793,100,92,404,advantage long master middlegame queensideAttack,https://lichess.org/LjhFlk7h#47,
07M8L,r5k1/3q2p1/np2p1Np/2p1P2P/p2r2P1/Q2B4/PP6/1K3R2 w - - 2 29,d3a6 d4d1 f1d1 d7d1,701,78,100,241,mate mateIn2 middlegame queensideAttack short,https://lichess.org/ZzyRAi3P#57,
087Dp,r5k1/pp2ppb1/3pbBp1/q7/4P3/2r5/PPPQBPP1/1K1R3R w - - 0 16,f6c3 a5a2 b1c1 a2a1,772,80,82,225,master mate mateIn2 middlegame queensideAttack short,https://lichess.org/fyRMAICJ#31,Sicilian_Defense Sicilian_Defense_Dragon_Variation
08HwB,1r1q2k1/p2r3p/2p1bppb/2N1p3/2B4P/2n2P2/PPP2BP1/1K1RQ2R w - - 7 20,e1c3 d7d1 h1d1 d8d1,700,112,93,438,mate mateIn2 middlegame queensideAttack short,https://lichess.org/WfU3peRh#39,
0Cujp,2kr4/ppp2ppp/6b1/6B1/1bPp4/8/PP2RPPP/6K1 b - - 1 19,d8d7 e2e8 d7d8 e8d8,709,102,85,384,endgame mate mateIn2 queensideAttack short,https://lichess.org/0YJLLc4Z/black#38,
0DFZr,r2r1k2/ppp2bp1/3b2Bp/4p3/4P1n1/1P3N2/P1P2PPP/2KRB2R w - - 5 17,g6f5 d6a3 c1b1 d8d1,783,87,95,1261,deflection discoveredAttack mate mateIn2 middlegame queensideAttack short,https://lichess.org/Da3nJrAA#33,Italian_Game Italian_Game_Anti-Fried_Liver_Defense
0GpfK,r4b1r/ppk3pp/2n2p2/4pbB1/1nP5/NN3P2/PP4PP/2KR1B1R w - - 2 13,g5d2 b4a2,778,86,100,81,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/Rayy6Z8b#25,Sicilian_Defense Sicilian_Defense_Lowenthal_Variation
