PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00cW9,rn2kb1r/1bq2pp1/p3p2p/1p1nP3/2pP3B/2N2N2/1P1QBPPP/R4RK1 b kq - 1 13,f8b4 c3d5 b7d5 d2b4,898,83,94,1881,advantage capturingDefender discoveredAttack middlegame short,https://lichess.org/gmYIh1Kp/black#26,Slav_Defense Slav_Defense_Geller_Gambit
05mhB,6k1/2B1bp2/4pn1p/p1p3p1/P1P5/1P3RNP/5PPK/3r4 b - - 1 34,e7d8 c7d8 d1d8 f3f6,823,82,86,339,advantage capturingDefender endgame short,https://lichess.org/1V6RIPZZ/black#68,
09XDA,r2q1rk1/p1pb1ppp/2p5/2bpP1n1/3N4/4BP2/PPP3PP/RN1Q1R1K b - - 2 12,g5e6 d4e6 d7e6 e3c5,870,103,47,67,advantage capturingDefender discoveredAttack opening short,https://lichess.org/CjSqWY5n/black#24,Scotch_Game Scotch_Game_Scotch_Gambit
0BCoD,2r2k1r/2q2p2/3p2p1/4pn1P/1p2Q3/1N3P2/PPPR4/2K4R b - - 0 30,h8h5 h1h5 g6h5 e4f5,894,81,84,177,capturingDefender crushing middlegame short,https://lichess.org/nsU8V5G8/black#60,
1aXHQ,r4rk1/pppb2pp/2n1p1p1/4Pq2/2P5/5NP1/PP3PKP/RN1Q1R2 b - - 5 16,c6e5 f3e5 f5e5 d1d7,877,84,93,2065,advantage capturingDefender middlegame short,https://lichess.org/4CzOh5yi/black#32,Rat_Defense Rat_Defense_Small_Center_Defense
1jhfV,r2r4/pp1bkppp/2n5/1B6/8/2P1P3/P3NPPP/R3K2R w KQ - 2 15,e2d4 c6d4 c3d4 d7b5,841,88,76,253,advantage capturingDefender discoveredAttack middlegame short,https://lichess.org/yrvMUUjY#29,Queens_Gambit_Declined Queens_Gambit_Declined_Other_variations
1lmvQ,r3r1k1/pp1q1pp1/2p2n1p/8/1P1P4/P2QPN2/5PPP/1RR3K1 w - - 6 20,f3e5 e8e5 d4e5 d7d3,880,85,94,2813,advantage capturingDefender middlegame short,https://lichess.org/n4eqyPXE#39,
1nNPo,rn4k1/p3qppp/1ppb4/8/3PQ3/2N4P/PP3PP1/R1B3K1 w - - 1 16,c1f4 e7e4 c3e4 d6f4,886,79,100,638,advantage capturingDefender middlegame short,https://lichess.org/Ew2KD4C9#31,Queens_Gambit_Declined Queens_Gambit_Declined_Three_Knights_Variation
1vv2w,3r2k1/4bppp/pp6/2r5/3pPP2/P2P2PP/1PqQ2BK/R2R4 w - - 5 24,a1c1 c2d2 d1d2 c5c1,880,78,100,276,advantage capturingDefender discoveredAttack middlegame short,https://lichess.org/5A7PIJp4#47,
1yOn9,8/p5k1/1p2r2p/2p1Pp2/P1Pq4/2Q1R3/6P1/6K1 b - - 2 38,e6e5 c3d4 c5d4 e3e5,810,92,81,186,capturingDefender crushing endgame pin short,https://lichess.org/eeLKWJnh/black#76,
20ae7,6k1/1p3p1p/6p1/1P1p1b2/8/3p3P/2r2PP1/3RN1K1 b - - 0 29,d3d2 e1c2 f5c2 d1d2,839,80,98,777,advantage capturingDefender endgame short,https://lichess.org/dAP6I5HE/black#58,
22e0W,r2qr1k1/pp2nppp/8/1P1p4/P1pPb3/2P1PB2/1B4PP/R2Q1RK1 b - - 0 19,e7f5 f3e4 e8e4 f1f5,858,93,89,297,capturingDefender crushing discoveredAttack master middlegame short,https://lichess.org/Z2fDci7Z/black#38,French_Defense French_Defense_Schlechter_Variation
3AB4F,5k2/8/1p1p3p/r1pP2p1/PpP5/r6P/4RPK1/R7 w - - 2 39,a1a3 b4a3 e2a2 a5a4,896,77,94,485,advantage capturingDefender endgame rookEndgame short,https://lichess.org/iSIND4cU#77,
3H00I,3qr1k1/1p3npp/p7/2P5/1P1BRp2/PQ6/5PPP/6K1 w - - 1 33,f2f3 e8e4 f3e4 d8d4,892,84,92,822,advantage capturingDefender endgame short,https://lichess.org/nhfIJPFV#65,
3Vq2D,rn2kb1r/pp3ppp/2p3q1/4p1B1/4P1b1/3B1N2/PPP2PPP/R2QK2R w KQkq - 4 11,e1g1 g4f3 d1f3 g6g5,879,88,93,819,capturingDefender crushing opening short,https://lichess.org/gqlpSyef#21,Czech_Defense Czech_Defense_Other_variations
3cEtP,k5rr/1p1q4/p1p3Bp/4QPb1/3pP3/3P4/PPP5/1K4RR w - - 3 26,e5e6 d7e6 f5e6 g8g6,839,86,81,238,advantage capturingDefender middlegame short,https://lichess.org/uIuMEu6h#51,
3epf1,3r4/p2b2pk/1p1b3p/1P3p2/P4P2/3RB3/2B2P1K/8 b - - 5 31,d6e7 d3d7 d8d7 c2f5 h7h8 f5d7,888,83,90,2014,attraction capturingDefender crushing discoveredAttack endgame fork long,https://lichess.org/1GFgURuB/black#62,
3giOA,r1q3k1/1p1n2pp/2p1r3/p2nR1N1/3P4/P5P1/1P3P1P/R2Q2K1 w - - 0 22,g5e6 d7e5 d4e5 c8e6,866,87,94,269,capturingDefender crushing discoveredAttack middlegame short,https://lichess.org/tRhSl3xI#43,
