PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00oYS,4K3/4P1k1/8/8/8/8/2p1R3/2r5 w - - 10 59,e8d7 c1d1 d7e6 c2c1q,828,81,100,105,advancedPawn clearance crushing endgame master promotion rookEndgame short,https://lichess.org/poyLvn1d#117,
06k0H,5r1k/pp5p/3p3q/4p1N1/3p1nR1/3P4/PPP4P/6RK b - - 0 30,b7b6 g5f7 f8f7 g4g8,803,100,83,283,clearance endgame mate mateIn2 sacrifice short,https://lichess.org/aPuPV5r0/black#60,
0WftB,5R2/5P2/3p3p/2p5/1p2k2P/5r2/1K6/8 b - - 0 39,c5c4 f8e8 e4d3 f7f8q f3f8 e8f8,831,86,95,2328,advancedPawn clearance crushing endgame long promotion rookEndgame,https://lichess.org/sz09o2GW/black#78,
0fjWx,r1bq1rk1/ppp2pp1/2nbpn1p/8/3PNB2/2PQ1N2/PPB2PPP/R4RK1 b - - 3 12,d6f4 e4f6 d8f6 d3h7,837,92,92,1348,clearance kingsideAttack mate mateIn2 middlegame short,https://lichess.org/6dhWTwGt/black#24,Nimzowitsch_Defense Nimzowitsch_Defense_Mikenas_Variation
0iV3r,r2q1rk1/p2p2pp/1p6/n1pb1P2/2P5/P2B1N2/5PPP/R2Q1RK1 b - - 0 16,d5c4 d3c4 a5c4 d1d5,816,84,74,149,advantage clearance middlegame short,https://lichess.org/hlIPh2r6/black#32,Queens_Indian_Defense Queens_Indian_Defense_Kasparov_Variation
0jY9H,r1bq1rk1/1p1p1pp1/p5n1/6Np/4NP2/3Q4/PP4PP/R3R1K1 b - - 0 17,g6f4 e4f6 d8f6 d3h7,886,85,95,3051,clearance kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/HZo1MZlo/black#34,Sicilian_Defense Sicilian_Defense_Old_Sicilian
0jqYz,6k1/6bp/2p5/8/3q4/4rQ2/6P1/4R1K1 w - - 0 39,f3e3 d4e3 e1e3 g7d4,894,87,91,597,clearance crushing endgame pin short,https://lichess.org/Nyo3BEgP#77,
0lO0v,8/8/1R2Pk2/pB3P2/P4KP1/8/2p5/2r5 w - - 0 57,b5d3 c1f1 d3f1 c2c1q f4e4 c1f1,883,85,90,501,advancedPawn advantage clearance endgame fork long promotion,https://lichess.org/g9aDsa26#113,
1AP3w,r1b2rk1/p1qn1Rpp/2p5/4p1b1/1pQ5/1B2P1NP/PPP3P1/R5K1 b - - 0 17,g8h8 f7f8 d7f8 c4g8,839,95,78,299,clearance kingsideAttack mate mateIn2 middlegame short,https://lichess.org/H57tE6yE/black#34,Philidor_Defense Philidor_Defense_Lion_Variation
1B0Mv,4k1r1/5r2/2p4p/p2b4/PpBbp3/6B1/1P3PPP/2R2RK1 b - - 0 28,h6h5 c4d5 c6d5 c1c8 e8d7 c8g8,855,85,89,184,clearance crushing exposedKing long middlegame skewer,https://lichess.org/WFcxqMCb/black#56,
1RUwS,r2q1r1k/pb1nppb1/1p1p3P/2pP2B1/2P1P1Q1/6P1/P4PB1/1R3RK1 b - - 0 18,g7f6 g5f6 e7f6 g4g7,876,79,90,294,clearance kingsideAttack mate mateIn2 middlegame short,https://lichess.org/1AMxb4N7/black#36,Zukertort_Opening Zukertort_Opening_Other_variations
1hSJz,r1b2rk1/p2nqpp1/1pp1p2p/8/3PNP2/P2QP3/1PB3PP/R4RK1 b - - 1 18,d7f6 e4f6 e7f6 d3h7,880,90,78,182,clearance kingsideAttack mate mateIn2 middlegame short,https://lichess.org/ASdKgqXG/black#36,Queens_Gambit_Declined Queens_Gambit_Declined_Other_variations
1oJSD,6kr/1r3ppp/2p5/2BNp3/4n3/8/5PPP/3Q1K2 b - - 0 25,e4c5 d5e7 b7e7 d1d8 e7e8 d8e8,865,81,97,1273,clearance endgame fork long mate mateIn3 sacrifice,https://lichess.org/sYf7Kx5F/black#50,
1r00F,r3k2r/3b1ppp/4p3/1B1pP3/3q4/8/2P1QPPP/1R3RK1 b kq - 0 18,a8d8 b5d7 d8d7 b1b8,827,86,94,863,clearance crushing middlegame short,https://lichess.org/Wk3qw7dF/black#36,French_Defense French_Defense_Classical_Variation
295qy,r2q1rk1/4bpp1/b1p1pn1p/1p6/p2PN3/3QPN2/PPB2PPP/3RK2R b K - 1 15,b5b4 e4f6 g7f6 d3h7,878,95,100,31,clearance kingsideAttack master mate mateIn2 middlegame short,https://lichess.org/Z6eWjZiN/black#30,Queens_Gambit_Declined Queens_Gambit_Declined_Neo-Orthodox_Variation
2HKo1,r1bqk2r/2pn2b1/pp1pp3/6pR/2PPP3/2NB2P1/PP2QPP1/R3K3 b Qkq - 0 14,d8e7 h5h8 g7h8 e2h5 e7f7 h5h8,864,92,92,428,clearance crushing exposedKing fork long middlegame,https://lichess.org/iKIl1oXS/black#28,Indian_Defense Indian_Defense_London_System
2UEOU,r2q1rk1/1p2bppp/2p1pn2/p5N1/3PN2P/3Q4/PPP2PP1/2KR3R b - - 1 14,h7h6 e4f6 g7f6 d3h7,881,78,100,202,clearance kingsideAttack mate mateIn2 middlegame short,https://lichess.org/xcM0naPA/black#28,Caro-Kann_Defense Caro-Kann_Defense_Classical_Variation
2fepL,5r1k/5p1p/p7/2p1Bb2/P2p1P2/6R1/2r2P1P/4R1K1 b - - 0 35,f7f6 e5f6 f8f6 e1e8 f6f8 e8f8,863,94,91,687,clearance endgame long mate mateIn3 sacrifice,https://lichess.org/Jete9VmH/black#70,
2ifHb,rn3rk1/ppp1qppp/2b1p3/b5N1/3PN2P/2PQ4/PP3PP1/2KR1B1R b - - 2 12,h7h6 e4f6 e7f6 d3h7,836,91,94,2835,clearance kingsideAttack mate mateIn2 opening sacrifice short,https://lichess.org/yxeQ0tuP/black#24,Queens_Pawn_Game Queens_Pawn_Game_Veresov_Attack
2mAVF,r2q1rk1/p1b2pp1/3p4/1p1Pp1Nb/2n1N2P/2P5/P1Q2P2/R1B2RK1 b - - 1 23,d8d7 e4f6 g7f6 c2h7,887,79,90,585,clearance kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/LORGstS0/black#46,
2nwDk,5r2/pR3Bpk/8/2P3p1/3B1b2/2P5/PP2b1PP/6K1 w - - 1 28,f7b3 f4e3 d4e3 f8f1,831,78,87,302,clearance endgame mate mateIn2 sacrifice short,https://lichess.org/2NGTt4JL#55,
2oFtm,8/pp3ppk/2q4p/3r1r2/1Q6/2B1P1Pb/PP2BP1P/R2R2K1 w - - 5 25,b4f8 d5d1 e2d1 c6g2,808,91,100,793,clearance kingsideAttack mate mateIn2 middlegame short,https://lichess.org/EZ78mciQ#49,
2uutO,8/6k1/8/3N4/3KP3/8/p4R2/r7 w - - 0 60,d5c3 a1d1 c3d1 a2a1q,867,79,91,624,advancedPawn advantage clearance endgame master promotion short,https://lichess.org/EprAOfOV#119,
2yNdi,2r4k/6pp/8/8/P7/1P6/3pQ1PP/2qR3K w - - 4 31,h2h3 c1d1 e2d1 c8c1,886,91,94,851,clearance crushing endgame pin sacrifice short,https://lichess.org/vdxH0Hrf#61,
2zGzA,r4rk1/p1pb1pb1/1p5p/4q1p1/2P1N3/P2QP3/1P4PP/RB2K2R b KQ - 1 19,a8d8 e4f6 e5f6 d3h7,853,77,97,2723,clearance kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/3fcn2JDt/black#38,Queens_Gambit_Declined Queens_Gambit_Declined_Albin_Countergambit
33SrU,3r1rk1/ppq1bppp/2p1pn2/6N1/3PN3/2PQ3P/PP3PP1/R4RK1 b - - 2 15,h7h6 e4f6 e7f6 d3h7,878,80,90,503,clearance kingsideAttack mate mateIn2 middlegame short,https://lichess.org/6wNZEHsb/black#30,Queens_Pawn_Game Queens_Pawn_Game_Other_variations
