PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
01mGq,8/8/p1k3p1/P1P2p2/2K3Pp/7P/8/8 w - - 0 51,g4f5 g6f5 c4d4 f5f4,842,98,83,113,crushing defensiveMove endgame pawnEndgame short,https://lichess.org/ROGXECAH#101,
02ksF,8/8/8/1p5p/1P5k/4KP2/8/8 w - - 0 61,f3f4 h4g4 e3e4 h5h4,877,86,68,102,crushing defensiveMove endgame master pawnEndgame short,https://lichess.org/feAeF1cc#121,
03X18,3r1r2/8/4k1p1/3ppq2/2Q5/2P3P1/PP3PK1/3R3R w - - 0 38,c4c6 d8d6 c6d6 e6d6,861,89,74,106,crushing defensiveMove endgame short,https://lichess.org/GXzjYMFA#75,
089jo,8/8/8/1n6/1P5p/3pK1k1/5N2/8 w - - 4 61,f2d3 h4h3 d3f2 h3h2 f2h1 g3g2,867,90,95,368,advancedPawn crushing defensiveMove endgame knightEndgame long,https://lichess.org/1Rcfbwzr#121,
08NWB,8/rkp5/8/2K3p1/8/7P/8/R7 w - - 0 51,a1a7 b7a7 c5c6 a7b8,863,96,94,862,crushing defensiveMove endgame short,https://lichess.org/CvSBkYBa#101,
08pUY,r6r/1p1k2p1/p2p1q1p/3Qnb2/8/1PP5/P4PPP/R1B1R1K1 w - - 0 18,e1e5 f6e5 d5b7 d7e6,896,91,93,1331,advantage defensiveMove middlegame short,https://lichess.org/OUIW7lD8#35,Philidor_Defense Philidor_Defense_Other_variations
08z9j,8/4k3/5Rp1/p5K1/5P1P/8/8/r7 w - - 8 45,f6g6 a1g1 g5f5 g1g6 f5g6 a5a4,881,90,53,44,crushing defensiveMove endgame long rookEndgame,https://lichess.org/0Aje2QAM#89,
09iFa,k7/1p6/PK4p1/6P1/6P1/8/8/8 b - - 0 54,b7a6 b6a6 a8b8 a6b6 b8c8 b6c6 c8d8 c6d6,837,93,88,605,crushing defensiveMove endgame master pawnEndgame veryLong,https://lichess.org/tv5hoirM/black#108,
0Bh9h,rn2k1nr/pp3ppp/2p1p3/q7/3PP1b1/2P2N1P/P3BPP1/R1BQK2R b KQkq - 0 9,a5c3 c1d2 c3a1 d1a1,881,94,93,2230,crushing defensiveMove opening short,https://lichess.org/EJqJyIt3/black#18,English_Opening English_Opening_Anglo-Scandinavian_Defense
0Cr42,r3kb1r/p1p2ppp/1pb1p3/4N3/1q1P4/2P1P3/P4PPP/R1BQK2R b KQkq - 0 12,b4c3 c1d2 c3a1 d1a1,872,96,87,32,advantage defensiveMove middlegame short,https://lichess.org/NWjxcqAq/black#24,Queens_Gambit_Declined Queens_Gambit_Declined_Three_Knights_Variation
0EyOu,1k6/1pp3pr/p1n1Qpp1/2q5/4pP2/2P1P3/PP4PP/3RB1K1 b - - 0 24,c5e3 e1f2 e3f2 g1f2,840,91,83,298,crushing defensiveMove endgame short,https://lichess.org/kjiDFdR4/black#48,
0FfsC,8/8/p7/7p/1k3K1P/5Pp1/6P1/8 w - - 0 49,f4g3 a6a5 g3f4 a5a4,802,99,83,119,crushing defensiveMove endgame pawnEndgame quietMove short,https://lichess.org/8QJx6f0b#97,
0HkxM,8/8/4p3/R1r2p2/K3k1p1/1P2P1P1/P6P/8 b - - 0 47,c5a5 a4a5 e4e3 b3b4 e6e5 b4b5,873,81,77,208,crushing defensiveMove endgame long master quietMove,https://lichess.org/fyR51Pxu/black#94,
0MOCI,8/8/3K2kp/3R3r/5p2/5P2/8/8 w - - 2 50,d5h5 g6h5 d6e5 h5g5,891,82,100,53,crushing defensiveMove endgame short,https://lichess.org/wA6BrIab#99,
0SOAL,4q3/PKQ5/8/8/8/6p1/6k1/8 b - - 5 70,e8e4 c7c6 e4c6 b7c6 g2f2 a7a8q,835,77,100,111,advancedPawn crushing defensiveMove endgame long promotion queenEndgame,https://lichess.org/qqDRLOol/black#140,
0ShZX,8/p4R2/2p1k1p1/7p/P1P1N3/1b2b3/4r1PP/2R4K w - - 3 37,f7f6 e6e5 c1f1 e5e4,857,93,91,1278,advantage defensiveMove endgame short,https://lichess.org/c7n06EtM#73,
0U0cT,8/8/1p2r3/1P5p/R3p1k1/2P1K1p1/1P4P1/8 w - - 2 46,a4e4 e6e4 e3e4 h5h4,872,96,89,388,crushing defensiveMove endgame rookEndgame short,https://lichess.org/6iODzHep#91,
0VuhW,3r4/8/8/p7/2Rp2P1/1k1K4/8/8 w - - 3 48,c4d4 d8d4 d3d4 a5a4,826,98,90,416,crushing defensiveMove endgame master rookEndgame short,https://lichess.org/O4Vp0BJR#95,
0WwQ3,3r3r/p1p1k1q1/2Qp1p2/3Bp3/P3P2p/3P1b2/5PPB/R4RK1 w - - 3 23,c6c7 d8d7 c7d7 e7d7,860,86,89,479,crushing defensiveMove middlegame pin short,https://lichess.org/oa9Ucewd#45,
0ZjNU,r2r4/5B2/p4Q1p/8/1p6/p6P/6P1/2k4K w - - 15 50,f6f1 d8d1 f1d1 c1d1,840,105,90,432,crushing defensiveMove endgame pin short,https://lichess.org/wyaMEI5y#99,
0fnwe,8/8/1KP5/3kb1p1/6Bp/7P/8/8 b - - 2 70,d5d6 c6c7 e5d4 b6b7,899,97,94,1127,advancedPawn bishopEndgame crushing defensiveMove endgame short,https://lichess.org/hRITEhoB/black#140,
0iHya,8/5r2/3kp2p/1p4p1/1P1PP3/p2K2P1/7P/R7 w - - 4 36,e4e5 d6d5,838,93,80,106,crushing defensiveMove endgame oneMove rookEndgame,https://lichess.org/6YeZp6Pt#71,
0kSqr,3R4/Pp3kpp/4p3/8/8/4Br2/Pq3P1P/5K1R b - - 0 23,b2b1 f1g2 b1g6 g2f3,856,78,97,1598,advantage defensiveMove endgame master short,https://lichess.org/k2FF97iT/black#46,
0lLSj,8/6P1/1r2PK2/3k4/8/8/8/8 b - - 0 61,b6e6 f6f7 e6e5 g7g8q,800,90,86,461,advancedPawn crushing defensiveMove endgame promotion rookEndgame short,https://lichess.org/Kuctaha9/black#122,
0nJH0,2Q5/p4pkp/4p1p1/2P5/3P2n1/3nq3/1R4PP/5R1K w - - 3 32,f1f7 g7f7 c8d7 f7f6 d7d8 f6f5,887,81,91,585,crushing defensiveMove endgame hangingPiece long,https://lichess.org/0R3gVbQe#63,
0qJic,8/p7/1p6/3q4/3Q4/P1P2k2/1PK5/8 b - - 2 66,d5d4 c3d4 f3e4 c2c3,877,94,94,1929,crushing defensiveMove endgame short,https://lichess.org/geGu9oNl/black#132,
0qMM0,8/5Qpk/P4bp1/2n5/8/1n5P/5PP1/5K2 w - - 0 40,f7c4 b3d2 f1e2 d2c4 a6a7 c4b6,831,93,95,136,advantage defensiveMove endgame fork long master,https://lichess.org/PV7wwY25#79,
0qe34,1r6/pp3kb1/2bp1p2/3NpP1R/2Pp1qP1/3P4/PP2K1B1/4Q3 b - - 6 32,f4g4 g2f3 g4f3 e2f3,888,114,78,225,crushing defensiveMove middlegame short trappedPiece,https://lichess.org/ewNsyrpb/black#64,
0ryDc,1R6/1b3k2/p4p2/1p1p2np/8/P1P2P1P/1P5K/8 b - - 4 49,g5f3 h2g3 b7c6 g3f3,865,78,94,896,advantage defensiveMove endgame master short,https://lichess.org/7MRjS7mM/black#98,
0tvKj,r3r3/1p1b3k/p2ppp1P/4q1pR/4P3/1BP5/PP2N3/1K4Q1 b - - 0 24,e5e4 b3c2 e4c2 b1c2,852,78,82,130,advantage defensiveMove middlegame pin short,https://lichess.org/8naa7eKr/black#48,
16cre,8/6B1/8/8/8/4Kpk1/8/8 w - - 1 52,g7e5 g3g2 e5c7 f3f2,869,94,95,590,advancedPawn bishopEndgame crushing defensiveMove endgame short,https://lichess.org/baIhzL3F#103,
17V1n,8/1p4pk/p1p3p1/P2p1q2/1P1PpQ2/2P3PP/5PK1/8 b - - 2 31,f5f4 g3f4 g6g5 f4g5 h7g6 h3h4,893,98,86,284,crushing defensiveMove endgame long master,https://lichess.org/N6YMp8xl/black#62,
18eLy,8/8/4k3/4Np1P/p4K2/P7/8/1b6 w - - 0 51,f4g5 e6e5 h5h6 f5f4,889,80,95,78,crushing defensiveMove endgame hangingPiece short,https://lichess.org/GY5sfV5F#101,
19gaw,2r5/R1P5/8/7k/P5pp/8/6K1/8 b - - 1 39,h4h3 g2g3 h3h2 g3h2,886,77,100,113,crushing defensiveMove endgame rookEndgame short,https://lichess.org/gKWG0mkG/black#78,
1DgUf,3r3r/5ppp/1kb5/p2qP3/P1pN1P2/6Q1/2PB2PP/R5K1 b - - 0 25,d5d4 d2e3 b6a6 e3d4,892,84,94,988,crushing defensiveMove middlegame pin short,https://lichess.org/lhb55aOn/black#50,
1F3Uf,2rk4/1pR5/pP1p1P2/P2rp3/R2p3p/3PbP1P/2P1K3/8 w - - 1 31,c7c8 d8c8 f6f7 e3h6,849,104,93,1881,advantage defensiveMove endgame short,https://lichess.org/UFMREDrQ#61,
1LLgu,7r/5pbp/4p1k1/1Q1b2B1/2PP2PP/5P2/4qRK1/8 b - - 4 33,d5f3 g2g3 e2f2 g3f2,891,78,97,3132,advantage defensiveMove middlegame short,https://lichess.org/pb89uyZl/black#66,
1Pbr7,8/8/7p/p7/5p2/P1N1k3/2K5/8 w - - 0 52,c3d1 e3e2 d1b2 f4f3,851,87,96,352,crushing defensiveMove endgame knightEndgame master short,https://lichess.org/IlC4pPBV#103,
1QL0L,6rr/3R1Q2/k1p4p/pp4p1/8/2P1P3/1q3P1P/5KR1 b - - 1 34,b2c1 f1g2 c1g1 g2g1,873,82,95,134,advantage defensiveMove endgame short,https://lichess.org/ZXej2tjV/black#68,
1QY9A,8/p7/1p3rpk/8/5RKP/2P2P2/P7/8 b - - 0 40,f6f4 g4f4 h6h5 f4g3,888,80,95,1216,crushing defensiveMove endgame short,https://lichess.org/BihkUgw0/black#80,
