PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00z6Y,r3k2r/1pp5/p1b1pq1b/3p2Np/3P1BnP/8/PPP2PP1/RN1QK2R w KQkq - 0 14,f4e5 f6f2,957,106,38,31,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/OgaDpQ2R#27,French_Defense French_Defense_Advance_Variation
02TTi,r1b1k2r/ppp2pp1/2p2n2/2b1N2p/3qP3/2N4P/PPPP1PP1/R1BQK2R w KQkq - 1 8,e5f3 d4f2,982,92,93,113,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/8KhlxK23#15,Russian_Game Russian_Game_Three_Knights_Game
048dz,r1b1kb1r/p1qnpppp/2p5/4p1N1/1p1P1Q2/1BN5/PPP2PPP/R3K2R b KQkq - 0 11,e5f4 b3f7 e8d8 g5e6,964,81,96,2768,attackingF2F7 mate mateIn2 middlegame short,https://lichess.org/qRTfKDif/black#22,Czech_Defense Czech_Defense_Other_variations
051Wd,r2qk2r/pp3p1p/2n1p1pB/3pN3/3Pn3/4PQ2/P4PPP/R4RK1 b kq - 3 15,e4d2 f3f7,946,109,73,43,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/0uQoCdVu/black#30,Slav_Defense Slav_Defense_Exchange_Variation
05m63,r2qkbnr/pp1bpppp/2np4/8/2B1P3/1Q6/PPP2PPP/RNB1K1NR b KQkq - 6 7,c6d4 c4f7,936,85,87,149,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/3MstHNHF/black#14,Sicilian_Defense Sicilian_Defense_Bowdler_Attack
062Xc,2rqk1nr/Q2b1ppp/4p3/1B1pN3/3P4/2P1P3/P2K1PPP/n1B4R b k - 0 15,d7b5 a7f7,922,95,93,684,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/nTaEIWWW/black#30,Slav_Defense Slav_Defense_Other_variations
076nr,rnb1k1nr/ppp2ppp/3p4/2b1p3/2P3Pq/7P/PP1PPPB1/RNBQK1NR w KQkq - 1 5,g1f3 h4f2,921,80,87,257,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/gpUUVOMk#9,
09DgS,r3kb1r/pp1n1ppp/2p2q2/8/2BpP3/5R1P/PPP3P1/RN1Q2K1 b kq - 0 11,f6g6 c4f7 g6f7 f3f7,929,78,87,161,advantage attackingF2F7 fork middlegame short,https://lichess.org/TZSgjKQJ/black#22,Caro-Kann_Defense Caro-Kann_Defense_Maroczy_Variation
0AyLC,rnb1k2r/pppp1p1p/5qp1/8/1P1Pn3/8/P2BPPPP/RN1QKB1R w KQkq - 1 9,e2e3 f6f2,912,84,100,100,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/u6LzGUwd#17,Indian_Defense Indian_Defense_Other_variations
0C0te,1r1qkbnr/p1pppp1p/np4p1/4Nb2/2PP4/PN1B1Q2/1P3PPP/R1B1K2R b KQk - 5 11,f5d3 f3f7,972,82,93,4064,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/oGEMvwxK/black#22,English_Defense English_Defense_Other_variations
0DI2l,r2qk1nr/ppp2pb1/3p3p/6pQ/2BnPN2/8/PPP3PP/R1B2RK1 b kq - 0 11,g8f6 h5f7,975,168,41,14,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/nnBrTvKa/black#22,Kings_Gambit_Accepted Kings_Gambit_Accepted_MacLeod_Defense
0EGMz,r4rk1/pp1n2p1/3Q3p/2p1p2b/4P2q/1P5N/PBP2n2/R3KB1R w KQ - 0 19,h3f2 h4f2,930,84,94,1936,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/JmNLkhVZ#37,Sicilian_Defense Sicilian_Defense_Snyder_Variation
0Hyzs,r2qkbnr/ppp2ppp/2np4/8/2BPP3/5Q2/PP3PPP/RNB1K2R b KQkq - 0 7,c6d4 f3f7,978,81,80,66,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/6za5RdkK/black#14,Italian_Game Italian_Game_Other_variations
0JygZ,r1b2rk1/1p1p2pp/1qn1p3/p4p2/2PPn3/1PB2NP1/P4PBP/2RQK2R w K - 0 13,d4d5 b6f2,971,79,100,101,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/8qqbyGy7#25,Dutch_Defense Dutch_Defense_Rubinstein_Variation
0KGwM,rnb1k1n1/pppp1pp1/8/2b1p3/2P4q/3P4/PP2PP1P/RNBQKB1R w KQq - 1 7,e2e4 h4f2,928,80,100,352,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/lqspZ9E4#13,English_Opening English_Opening_Other_variations
0KiWD,r2qkbnr/ppp2ppp/2np4/4p3/2B1PPb1/1QP2N2/PP4PP/RNB1K2R b KQkq - 4 7,g4f3 c4f7 e8d7 b3e6,994,76,86,208,attackingF2F7 master mate mateIn2 middlegame short,https://lichess.org/uQ7NFMfZ/black#14,Bishops_Opening Bishops_Opening_Other_variations
0M3FK,r1b2rk1/p1B3pp/1pn1pq2/3pn3/8/2PBPN2/PP3PPP/R2QK2R w KQ - 2 13,f3e5 f6f2,968,79,91,251,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/0nPMMQnX#25,Queens_Pawn_Game Queens_Pawn_Game_London_System
0MP8k,rn1qk1nr/pp3pp1/3bp1p1/3pN3/3P4/2N2Q2/PPP2PPP/R1B1K2R b KQkq - 3 9,b8c6 f3f7,962,87,83,325,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/rmITPs5M/black#18,Caro-Kann_Defense Caro-Kann_Defense_Other_variations
