PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
033ae,2kr1b1r/1p1n1pp1/p1N1p1b1/2p4p/3PPB1P/1PP2P2/6P1/R3KB1R b KQ - 1 16,b7c6 f1a6,942,95,84,475,bodenMate master mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/Bep1SHhP/black#32,Slav_Defense Slav_Defense_Three_Knights_Variation
0BHDL,4kb1r/pb3p2/3p1Bp1/2p4p/8/2P1PPK1/P1q4P/R4B1R b k - 0 22,h8g8 f1b5 b7c6 b5c6,913,113,33,33,bodenMate mate mateIn2 middlegame short,https://lichess.org/9scu1CEV/black#44,
0Jl5L,r3k2r/pb3pp1/2pbp2p/3nN3/7P/2P2P2/P2BP1P1/3RKB1R w Kkq - 4 15,e5c4 d6g3,961,174,78,88,bodenMate mate mateIn1 middlegame oneMove,https://lichess.org/eOuAtvNM#29,Tarrasch_Defense Tarrasch_Defense_Other_variations
0K4EG,r3k2r/p2b2pp/1pnB1n2/1Bpp4/8/P4N2/1PP2PPP/2KR3R b kq - 2 15,e8c8 b5a6,999,134,59,174,bodenMate mate mateIn1 middlegame oneMove,https://lichess.org/rq7iHtot/black#30,Benoni_Defense Benoni_Defense_Old_Benoni
0WhEZ,1r2kbnr/p1p2ppp/8/3B2B1/4P3/2Nb4/PPnK1PPP/R6R b k - 4 12,c2a1 d5c6,975,98,51,472,bodenMate mate mateIn1 middlegame oneMove,https://lichess.org/6wmvJjxG/black#24,Italian_Game Italian_Game_Blackburne-Kostic_Gambit
0X7VE,rn1qk2r/p5pp/bpp1pn2/3p1p2/3P4/P3PPbP/NPPBK1P1/R2Q1BNR w kq - 2 10,c2c4 a6c4,908,117,100,38,bodenMate mate mateIn1 middlegame oneMove,https://lichess.org/0bVbmbTa#19,Queens_Pawn_Game Queens_Pawn_Game_Other_variations
0f0Yh,2krr3/ppp3pp/2pb1n2/8/2P5/P2bBN1P/1P1N1PP1/2RRK3 w - - 5 19,c1c3 e8e3 f2e3 d6g3,959,91,83,2912,bodenMate mate mateIn2 middlegame sacrifice short,https://lichess.org/AdltzEvb#37,Italian_Game Italian_Game_Two_Knights_Defense
0lV9D,r1q2r2/4b1pk/5pb1/pB1pp2n/P2P3P/1QP5/1P1N1P1B/2KR2R1 w - - 0 20,b3d5 c8c3 b2c3 e7a3,965,78,89,1199,bodenMate master masterVsMaster mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/hTxVo88T#39,
0ubxu,5k2/p2b1r1p/2p5/1pbp4/8/2PB1PN1/PP4PP/4RK2 w - - 0 29,g3e2 f7f3 g2f3 d7h3,978,104,75,389,bodenMate endgame master mate mateIn2 sacrifice short,https://lichess.org/gMc41W3j#57,
162L5,4k2r/pr1p1ppp/2p5/8/1bP5/1P1bB3/P2N1PPP/R3K2R w KQk - 1 18,e1c1 b4a3,978,161,63,121,bodenMate mate mateIn1 middlegame oneMove,https://lichess.org/QGII9KEH#35,Sicilian_Defense Sicilian_Defense_Other_variations
